seed,phase,comparison,arm,baseline,baseline_selection,available_targets,expected_targets,complete,mean_delta_pp,positive_target_deltas
0,development,selected_vs_stronger_singleton,kd_w010_selected,singleton_ukraine,retrospective per-seed mean transfer AUC,6,6,True,0.2155110544217668,5
0,development,selected_vs_ukraine_singleton,kd_w010_selected,singleton_ukraine,prespecified same-seed constituent singleton,6,6,True,0.2155110544217668,5
0,development,selected_vs_facebook_singleton,kd_w010_selected,singleton_facebook,prespecified same-seed constituent singleton,6,6,True,7.96739455782312,6
0,development,selected_vs_weight_one,kd_w010_selected,kd_w100_selected,prespecified weight-1 control,6,6,True,0.2704583333333251,5
0,development,fixed_vs_stronger_singleton,kd_w010_fixed,singleton_ukraine,retrospective per-seed mean transfer AUC,6,6,True,-0.07073384353740164,3
0,development,fixed_vs_ukraine_singleton,kd_w010_fixed,singleton_ukraine,prespecified same-seed constituent singleton,6,6,True,-0.07073384353740164,3
0,development,fixed_vs_facebook_singleton,kd_w010_fixed,singleton_facebook,prespecified same-seed constituent singleton,6,6,True,7.681149659863952,6
0,development,fixed_vs_weight_one,kd_w010_fixed,kd_w100_fixed,prespecified weight-1 control,6,6,True,0.16076700680272746,5
1,replication,selected_vs_stronger_singleton,kd_w010_selected,singleton_ukraine,retrospective per-seed mean transfer AUC,6,6,True,0.3895841836734711,6
1,replication,selected_vs_ukraine_singleton,kd_w010_selected,singleton_ukraine,prespecified same-seed constituent singleton,6,6,True,0.3895841836734711,6
1,replication,selected_vs_facebook_singleton,kd_w010_selected,singleton_facebook,prespecified same-seed constituent singleton,6,6,True,7.745863095238093,6
1,replication,selected_vs_weight_one,kd_w010_selected,kd_w100_selected,prespecified weight-1 control,6,6,True,0.2720025510204153,5
1,replication,fixed_vs_stronger_singleton,kd_w010_fixed,singleton_ukraine,retrospective per-seed mean transfer AUC,6,6,True,0.3895841836734711,6
1,replication,fixed_vs_ukraine_singleton,kd_w010_fixed,singleton_ukraine,prespecified same-seed constituent singleton,6,6,True,0.3895841836734711,6
1,replication,fixed_vs_facebook_singleton,kd_w010_fixed,singleton_facebook,prespecified same-seed constituent singleton,6,6,True,7.745863095238093,6
1,replication,fixed_vs_weight_one,kd_w010_fixed,kd_w100_fixed,prespecified weight-1 control,6,6,True,0.2720025510204153,5
2,replication,selected_vs_stronger_singleton,kd_w010_selected,singleton_ukraine,retrospective per-seed mean transfer AUC,6,6,True,-0.21759608843537523,3
2,replication,selected_vs_ukraine_singleton,kd_w010_selected,singleton_ukraine,prespecified same-seed constituent singleton,6,6,True,-0.21759608843537523,3
2,replication,selected_vs_facebook_singleton,kd_w010_selected,singleton_facebook,prespecified same-seed constituent singleton,6,6,True,7.959055272108846,6
2,replication,selected_vs_weight_one,kd_w010_selected,kd_w100_selected,prespecified weight-1 control,6,6,True,0.02338945578232073,4
2,replication,fixed_vs_stronger_singleton,kd_w010_fixed,singleton_ukraine,retrospective per-seed mean transfer AUC,6,6,True,-0.08714795918367362,3
2,replication,fixed_vs_ukraine_singleton,kd_w010_fixed,singleton_ukraine,prespecified same-seed constituent singleton,6,6,True,-0.08714795918367362,3
2,replication,fixed_vs_facebook_singleton,kd_w010_fixed,singleton_facebook,prespecified same-seed constituent singleton,6,6,True,8.089503401360547,6
2,replication,fixed_vs_weight_one,kd_w010_fixed,kd_w100_fixed,prespecified weight-1 control,6,6,True,0.1166734693877532,3
