seed,phase,comparison,baseline,target,delta_auc_pp
0,development,selected_vs_stronger_singleton,singleton_ukraine,covid19_twitter,0.29513265306123637
0,development,selected_vs_stronger_singleton,singleton_ukraine,covid_political,0.477591836734681
0,development,selected_vs_stronger_singleton,singleton_ukraine,cp_hk_twitter,0.06680612244898132
0,development,selected_vs_stronger_singleton,singleton_ukraine,midterm,0.2761938775510231
0,development,selected_vs_stronger_singleton,singleton_ukraine,twibot20,0.2417193877551016
0,development,selected_vs_stronger_singleton,singleton_ukraine,ukr_rus_suspended,-0.06437755102042253
0,development,selected_vs_ukraine_singleton,singleton_ukraine,covid19_twitter,0.29513265306123637
0,development,selected_vs_ukraine_singleton,singleton_ukraine,covid_political,0.477591836734681
0,development,selected_vs_ukraine_singleton,singleton_ukraine,cp_hk_twitter,0.06680612244898132
0,development,selected_vs_ukraine_singleton,singleton_ukraine,midterm,0.2761938775510231
0,development,selected_vs_ukraine_singleton,singleton_ukraine,twibot20,0.2417193877551016
0,development,selected_vs_ukraine_singleton,singleton_ukraine,ukr_rus_suspended,-0.06437755102042253
0,development,selected_vs_facebook_singleton,singleton_facebook,covid19_twitter,4.503443877550994
0,development,selected_vs_facebook_singleton,singleton_facebook,covid_political,9.19027551020407
0,development,selected_vs_facebook_singleton,singleton_facebook,cp_hk_twitter,8.824540816326543
0,development,selected_vs_facebook_singleton,singleton_facebook,midterm,11.349204081632658
0,development,selected_vs_facebook_singleton,singleton_facebook,twibot20,7.731117346938754
0,development,selected_vs_facebook_singleton,singleton_facebook,ukr_rus_suspended,6.205785714285705
0,development,selected_vs_weight_one,kd_w100_selected,covid19_twitter,0.19616326530609296
0,development,selected_vs_weight_one,kd_w100_selected,covid_political,0.05457142857143715
0,development,selected_vs_weight_one,kd_w100_selected,cp_hk_twitter,0.5252602040816567
0,development,selected_vs_weight_one,kd_w100_selected,midterm,0.49987244897957694
0,development,selected_vs_weight_one,kd_w100_selected,twibot20,-0.01284183673471162
