first,second,domain_auc
ukr_rus_twitter,covid19_twitter,0.5931906250000001
ukr_rus_twitter,midterm,0.754588875
ukr_rus_twitter,covid_political,0.8964652499999999
ukr_rus_twitter,ukr_rus_suspended,0.698833125
ukr_rus_twitter,twibot20,0.725495
ukr_rus_twitter,cp_hk_twitter,0.787271875
ukr_rus_twitter,facebook_page_reference,0.940182625
covid19_twitter,midterm,0.749881125
covid19_twitter,covid_political,0.8972874999999999
covid19_twitter,ukr_rus_suspended,0.787132625
covid19_twitter,twibot20,0.71377475
covid19_twitter,cp_hk_twitter,0.7773166249999999
covid19_twitter,facebook_page_reference,0.9392225000000001
midterm,covid_political,0.7788262499999999
midterm,ukr_rus_suspended,0.771564375
midterm,twibot20,0.742858625
midterm,cp_hk_twitter,0.8301293749999998
midterm,facebook_page_reference,0.96885575
covid_political,ukr_rus_suspended,0.8807195000000001
covid_political,twibot20,0.793390375
covid_political,cp_hk_twitter,0.937041375
covid_political,facebook_page_reference,0.9807652500000001
ukr_rus_suspended,twibot20,0.8245288749999999
ukr_rus_suspended,cp_hk_twitter,0.8404537499999999
ukr_rus_suspended,facebook_page_reference,0.9541214999999998
twibot20,cp_hk_twitter,0.88337775
twibot20,facebook_page_reference,0.94643575
cp_hk_twitter,facebook_page_reference,0.9757836249999999
