pair,target,model,auc,ap,bce,positive_bce,negative_bce,calibrated_bce,balanced_accuracy,baseline,baseline_auc,test_best_single,cosine_auc
Ukraine + Facebook,covid19_twitter,A,0.9645024489795917,0.9078427545398892,0.18915725780761325,1.020581863587083,0.02287233665171933,0.1503203245919718,0.9097857142857142,A,0.9645024489795917,0.9645024489795917,0.934914030612245
Ukraine + Facebook,covid19_twitter,B,0.9224193367346939,0.7921087675269936,0.25743634074412425,0.5785846352445827,0.19320668184403259,0.2321217809109448,0.8375714285714286,A,0.9645024489795917,0.9645024489795917,0.9120859183673469
Ukraine + Facebook,covid19_twitter,A→B,0.9608238775510205,0.8939412657546734,0.28696641190390837,0.2537922089962584,0.2936012524854384,0.1622038604570912,0.8962857142857142,A,0.9645024489795917,0.9645024489795917,0.9389039285714285
Ukraine + Facebook,covid19_twitter,B→A,0.9696780612244897,0.9132730606932074,0.1664896864381969,0.847532485783465,0.030281126569143287,0.1440252579253661,0.9151428571428571,A,0.9645024489795917,0.9645024489795917,0.9421796938775511
Ukraine + Facebook,covid19_twitter,Interleaved,0.9578359183673469,0.8865967307211635,0.19105969420422808,0.9713567014289258,0.035000292759288495,0.168030529749403,0.897,A,0.9645024489795917,0.9645024489795917,0.942605612244898
Ukraine + Facebook,covid19_twitter,Ensemble,0.9630113775510203,,0.16596632576661985,,,0.16596632576661985,0.9021428571428571,A,0.9645024489795917,,
Ukraine + Facebook,midterm,A,0.9477927551020409,0.814713936033095,0.2499066988880323,1.1245603223731917,0.07497597419100041,0.2126744269164904,0.8875,A,0.9477927551020409,0.9477927551020409,0.901559693877551
Ukraine + Facebook,midterm,B,0.8370626530612244,0.5623290782252882,0.4259399438526903,0.7427909458214085,0.36256974345894666,0.33388557525810375,0.7568571428571429,A,0.9477927551020409,0.9477927551020409,0.8308371428571429
Ukraine + Facebook,midterm,A→B,0.9193222448979592,0.739781708128175,0.5867302768193938,0.29444240481767336,0.6451878512197379,0.25420212881857707,0.8454285714285714,A,0.9477927551020409,0.9477927551020409,0.8829468367346939
Ukraine + Facebook,midterm,B→A,0.9511801530612245,0.8134618960166615,0.2409818950210126,1.0239862479639124,0.08438102443243266,0.2104771713343819,0.8862142857142857,A,0.9477927551020409,0.9477927551020409,0.9069859183673469
Ukraine + Facebook,midterm,Interleaved,0.9231356122448979,0.7498010054060242,0.27202903925556354,1.0843422859801546,0.10956638991064535,0.24927820836901965,0.8427142857142857,A,0.9477927551020409,0.9477927551020409,0.8924951020408162
Ukraine + Facebook,midterm,Ensemble,0.935399387755102,,0.23701323505888772,,,0.23701323505888772,0.8638571428571429,A,0.9477927551020409,,
Ukraine + Facebook,covid_political,A,0.9610995918367348,0.8814895835514444,0.18231552834547526,0.8419389553958951,0.050390842935391304,0.17027618950620202,0.9041428571428571,A,0.9610995918367348,0.9610995918367348,0.8618358163265306
Ukraine + Facebook,covid_political,B,0.8739727551020409,0.6690574433216755,0.5007840310919467,0.3959024133240538,0.5217603546455253,0.29374819839989263,0.7974285714285714,A,0.9610995918367348,0.9610995918367348,0.8251614285714286
Ukraine + Facebook,covid_political,A→B,0.9340308163265305,0.8208894972452135,0.6718221185682374,0.17000599621786802,0.7721853430383113,0.21323086464678412,0.8634285714285714,A,0.9610995918367348,0.9610995918367348,0.8532423469387755
Ukraine + Facebook,covid_political,B→A,0.9616471428571428,0.8788224782200382,0.18041628894573866,0.8149210000577997,0.05351534672332649,0.17180382437008535,0.9048571428571428,A,0.9610995918367348,0.9610995918367348,0.8717127551020407
Ukraine + Facebook,covid_political,Interleaved,0.9457877040816327,0.8463115137366247,0.1960596832907621,0.6509837717365008,0.10507486560161436,0.19464457647286293,0.8782857142857143,A,0.9610995918367348,0.9610995918367348,0.8758000000000001
Ukraine + Facebook,covid_political,Ensemble,0.951355918367347,,0.19865105270416408,,,0.19865105270416408,0.8865714285714286,A,0.9610995918367348,,
Ukraine + Facebook,ukr_rus_suspended,A,0.9539764285714286,0.8630863613969781,0.19496795328132277,0.728145894238005,0.08833236508998633,0.18410405272205804,0.8942857142857144,A,0.9539764285714286,0.9539764285714286,0.919223724489796
Ukraine + Facebook,ukr_rus_suspended,B,0.8912747959183673,0.6378813207432843,0.5020232103463422,0.3698054972654375,0.5284667529625232,0.28931360649734933,0.8200714285714286,A,0.9539764285714286,0.9539764285714286,0.8817377551020408
Ukraine + Facebook,ukr_rus_suspended,A→B,0.9330431632653061,0.7832601797369263,0.7479538720804682,0.17791247794300682,0.8619621509079605,0.2270853721485331,0.8642142857142857,A,0.9539764285714286,0.9539764285714286,0.9084079591836735
Ukraine + Facebook,ukr_rus_suspended,B→A,0.949337755102041,0.8530018054598492,0.21140057940183019,0.6868537492671736,0.1163099454287615,0.1910079355379951,0.8836428571428572,A,0.9539764285714286,0.9539764285714286,0.9218069897959182
Ukraine + Facebook,ukr_rus_suspended,Interleaved,0.9390440816326531,0.8179867893057148,0.22534617211186997,0.6704084846414142,0.1363337096059611,0.21105491055626252,0.8680714285714286,A,0.9539764285714286,0.9539764285714286,0.9206458163265306
Ukraine + Facebook,ukr_rus_suspended,Ensemble,0.9466951020408163,,0.21356967866613386,,,0.21356967866613386,0.8790714285714285,A,0.9539764285714286,,
Ukraine + Facebook,twibot20,A,0.9439454081632653,0.8179175692111076,0.21484241164385476,0.762032915913734,0.1054043107898789,0.20848186715988248,0.8789285714285715,A,0.9439454081632653,0.9439454081632653,0.9254953061224488
