pair,source,total_step,source_updates,positive_examples,selected,auc,bce,delta_to_selected_single_pp,matched_exposure_delta_pp,matched_budget_delta_pp
covid19_twitter + covid_political,covid19_twitter,2000,1000,1023352,False,94.52151205539704,0.20293853136916873,-3.6995450258255014,,-1.4758087635040273
covid19_twitter + covid_political,covid19_twitter,4000,2000,2046704,False,95.85493326187134,0.16946335668784795,-2.366123819351207,-0.14238755702973283,-1.0643697261810248
covid19_twitter + covid_political,covid19_twitter,6000,3000,3070056,False,96.67241358757018,0.1521957713764198,-1.5486434936523685,,-0.7573142528533916
covid19_twitter + covid_political,covid19_twitter,8000,4000,4093408,False,96.95625886917114,0.1401840190441929,-1.264798212051399,0.03695588111878312,-0.7307054281234682
covid19_twitter + covid_political,covid19_twitter,10000,5000,5116760,False,97.24618203639983,0.13354281814986108,-0.9748750448227095,,-0.5226891040802095
covid19_twitter + covid_political,covid19_twitter,12000,6000,6140112,False,97.40367925167084,0.12908291362725283,-0.817377829551702,-0.026048588752725088,-0.46370446681975874
covid19_twitter + covid_political,covid19_twitter,14000,7000,7163464,False,97.48901851177216,0.12621833239532845,-0.7320385694503773,,-0.46268742084502046
covid19_twitter + covid_political,covid19_twitter,16000,8000,8186816,False,97.50974693298339,0.12491080606547965,-0.7113101482391526,-0.17721736431122181,-0.4470247983932807
covid19_twitter + covid_political,covid19_twitter,18000,9000,9209520,False,97.64079701900482,0.12282301935452623,-0.580260062217719,,-0.36553678512571963
covid19_twitter + covid_political,covid19_twitter,20000,10000,10232872,False,97.6638526916504,0.12152935128844167,-0.5572043895721412,-0.10501844882964129,-0.3644964218139646
covid19_twitter + covid_political,covid19_twitter,22000,11000,11256224,False,97.67668466567993,0.12077139249488099,-0.5443724155426155,,-0.36671967506408665
covid19_twitter + covid_political,covid19_twitter,24000,12000,12279576,False,97.73054676055908,0.12086796400540584,-0.490510320663462,-0.13683695793151873,-0.37742938995360964
covid19_twitter + covid_political,covid19_twitter,26000,13000,13302928,False,97.74857170581816,0.11998586095672278,-0.4724853754043745,,-0.38147184848785765
covid19_twitter + covid_political,covid19_twitter,28000,14000,14326280,True,97.76660442352296,0.1189771691342765,-0.45445265769957777,-0.18510150909422096,-0.3630860805511338
covid19_twitter + covid_political,covid19_twitter,30000,15000,15349632,False,97.75192370414733,0.11882492027200671,-0.46913337707520375,,-0.3910836935043238
covid19_twitter + covid_political,covid19_twitter,32000,16000,16372984,False,97.7781110048294,0.11853990982906204,-0.4429460763931359,-0.17866072654726395,-0.3916478157043546
covid19_twitter + covid_political,covid19_twitter,34000,17000,17396336,False,97.73001623153688,0.1194262506772314,-0.4910408496856644,,-0.42368092536925195
covid19_twitter + covid_political,covid_political,2000,1000,1021392,False,97.77619950771333,0.1502030881679752,0.43207888603211675,,0.7304391622543482
covid19_twitter + covid_political,covid_political,4000,2000,2042784,False,98.3729409456253,0.11235649084771217,1.0288203239441018,1.3271806001663333,1.0822375774383497
covid19_twitter + covid_political,covid_political,6000,3000,3064176,False,98.61007585525513,0.0941775229328989,1.2659552335739233,,1.740627169609077
covid19_twitter + covid_political,covid_political,8000,4000,4085568,False,98.67013924121856,0.08643540366778038,1.3260186195373502,1.379435873031598,1.9909766435623033
covid19_twitter + covid_political,covid_political,10000,5000,5106960,False,98.81093389987944,0.08030157161876703,1.4668132781982424,,1.856419038772572
covid19_twitter + covid_political,covid_political,12000,6000,6128352,False,98.83373250961303,0.0786875129714533,1.4896118879318188,1.9642838239669724,1.7439754724502543
covid19_twitter + covid_political,covid_political,14000,7000,7149744,False,98.84679934978486,0.077425459128636,1.5026787281036458,,1.5026787281036458
covid19_twitter + covid_political,covid_political,16000,8000,8170973,False,98.70404591560363,0.08146805431302122,1.359925293922426,2.024883317947379,2.001009392738351
covid19_twitter + covid_political,covid_political,18000,9000,9192365,False,98.85138747692108,0.07639724446438902,1.5072668552398638,,2.207207274436951
covid19_twitter + covid_political,covid_political,20000,10000,10213757,False,98.85135922431947,0.07662599742644154,1.5072386026382611,1.8968443632125909,1.9393124103546322
covid19_twitter + covid_political,covid_political,22000,11000,11235149,False,98.8474145412445,0.07702382572888376,1.5032939195632977,,
covid19_twitter + covid_political,covid_political,24000,12000,12256541,False,98.85601708889008,0.07625295345041307,1.511896467208873,1.7662600517273086,
covid19_twitter + covid_political,covid_political,26000,13000,13277933,False,98.79201300144196,0.07846445593514167,1.4478923797607512,,
covid19_twitter + covid_political,covid_political,28000,14000,14299325,True,98.80814020633697,0.07736137025805556,1.4640195846557624,1.4640195846557624,
covid19_twitter + covid_political,covid_political,30000,15000,15320717,False,98.70073275566101,0.08254206233294968,1.3566121339798065,,
covid19_twitter + covid_political,covid_political,32000,16000,16341946,False,98.77014336585998,0.07919691030006155,1.4260227441787787,2.0671068429947037,
covid19_twitter + covid_political,covid_political,34000,17000,17363338,False,98.63079719543457,0.08550175716234995,1.2866765737533647,,
covid19_twitter + cp_hk_twitter,covid19_twitter,2000,1000,1023352,False,95.08243703842163,0.19770339404091664,-3.1386200428009103,,-0.9148837804794363
covid19_twitter + cp_hk_twitter,covid19_twitter,4000,2000,2046704,False,96.42215251922607,0.1626224632269679,-1.7989045619964616,0.4248317003250124,-0.49715046882627956
covid19_twitter + cp_hk_twitter,covid19_twitter,6000,3000,3070056,False,96.94534792900085,0.14558300159597518,-1.2757091522216935,,-0.4843799114227165
