run_id	kind	target	sources	seed
specialist_covid_political_s1	specialist	covid_political	covid_political	1
loo_covid_political_s1	leave_one_out	covid_political	ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed	1
specialist_ukr_rus_suspended_s1	specialist	ukr_rus_suspended	ukr_rus_suspended	1
loo_ukr_rus_suspended_s1	leave_one_out	ukr_rus_suspended	covid_political,election2020,twibot20,facebook_page_reference,cora,pubmed	1
specialist_election2020_s1	specialist	election2020	election2020	1
loo_election2020_s1	leave_one_out	election2020	covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed	1
specialist_twibot20_s1	specialist	twibot20	twibot20	1
loo_twibot20_s1	leave_one_out	twibot20	covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora,pubmed	1
specialist_facebook_page_reference_s1	specialist	facebook_page_reference	facebook_page_reference	1
loo_facebook_page_reference_s1	leave_one_out	facebook_page_reference	covid_political,ukr_rus_suspended,election2020,twibot20,cora,pubmed	1
specialist_cora_s1	specialist	cora	cora	1
loo_cora_s1	leave_one_out	cora	covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed	1
specialist_pubmed_s1	specialist	pubmed	pubmed	1
loo_pubmed_s1	leave_one_out	pubmed	covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora	1
specialist_covid_political_s2	specialist	covid_political	covid_political	2
loo_covid_political_s2	leave_one_out	covid_political	ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed	2
specialist_ukr_rus_suspended_s2	specialist	ukr_rus_suspended	ukr_rus_suspended	2
loo_ukr_rus_suspended_s2	leave_one_out	ukr_rus_suspended	covid_political,election2020,twibot20,facebook_page_reference,cora,pubmed	2
specialist_election2020_s2	specialist	election2020	election2020	2
loo_election2020_s2	leave_one_out	election2020	covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed	2
specialist_twibot20_s2	specialist	twibot20	twibot20	2
loo_twibot20_s2	leave_one_out	twibot20	covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora,pubmed	2
specialist_facebook_page_reference_s2	specialist	facebook_page_reference	facebook_page_reference	2
loo_facebook_page_reference_s2	leave_one_out	facebook_page_reference	covid_political,ukr_rus_suspended,election2020,twibot20,cora,pubmed	2
specialist_cora_s2	specialist	cora	cora	2
loo_cora_s2	leave_one_out	cora	covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed	2
specialist_pubmed_s2	specialist	pubmed	pubmed	2
loo_pubmed_s2	leave_one_out	pubmed	covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora	2
