target,checkpoint_step,metric,seeds,mean_loo_minus_specialist,sample_std,loo_wins
cora,100,accuracy,3,-0.06621177659843314,0.004709286114122845,0
cora,100,f1_macro,3,-0.06667160628286632,0.005288497962389737,0
cora,100,roc_auc_ovr_macro,3,-0.03513492474135834,0.004382974052277182,0
cora,300,accuracy,3,-0.21607278241091732,0.016571260799389254,0
cora,300,f1_macro,3,-0.23168528452838355,0.011060563950628025,0
cora,300,roc_auc_ovr_macro,3,-0.09222699477760414,0.003949499933644476,0
cora,900,accuracy,3,-0.11902956785443512,0.012782195072090536,0
cora,900,f1_macro,3,-0.1450979800992039,0.013013029799546392,0
cora,900,roc_auc_ovr_macro,3,-0.05231687051498768,0.002281253793277594,0
cora,2500,accuracy,3,-0.01958554460449835,0.00752760728259108,0
cora,2500,f1_macro,3,-0.046809395814672174,0.010913086209061227,0
cora,2500,roc_auc_ovr_macro,3,-0.013143470470668217,0.0028100104352117125,0
covid_political,100,accuracy,3,-0.027276271847293605,0.008859297946692317,0
covid_political,100,f1_macro,3,-0.03384845760961545,0.00860076239464387,0
covid_political,100,roc_auc_ovr_macro,3,-0.04263302653779969,0.005671276900920967,0
covid_political,300,accuracy,3,0.03792656257946392,0.00989156849411782,3
covid_political,300,f1_macro,3,0.027647701795973274,0.009699910137467096,3
covid_political,300,roc_auc_ovr_macro,3,-0.029950849706444682,0.004583175316563253,0
covid_political,900,accuracy,3,0.030929495329637735,0.003545091054921744,3
covid_political,900,f1_macro,3,0.024065741001513114,0.0024709255917378116,3
covid_political,900,roc_auc_ovr_macro,3,-0.011807809890872897,0.0007532070900848322,0
covid_political,2500,accuracy,3,-0.05717167607520046,0.029446882501932736,0
covid_political,2500,f1_macro,3,-0.06251000448335275,0.02555236947706657,0
covid_political,2500,roc_auc_ovr_macro,3,-0.059760945199679415,0.008620117058713283,0
election2020,100,accuracy,3,-0.16212151932954855,0.004549889141073062,0
election2020,100,f1_macro,3,-0.16324587478978825,0.0046608281053936995,0
election2020,100,roc_auc_ovr_macro,3,-0.09672526153905392,0.003454190630737541,0
election2020,300,accuracy,3,-0.08925554203838874,0.0023003823962448045,0
election2020,300,f1_macro,3,-0.08974044704428201,0.0023520336364576473,0
election2020,300,roc_auc_ovr_macro,3,-0.039970094109308775,0.0015869420589613168,0
election2020,900,accuracy,3,0.01784688429305222,0.004309348496460454,3
election2020,900,f1_macro,3,0.01846820846614272,0.004396636959221808,3
election2020,900,roc_auc_ovr_macro,3,0.00868072755452783,0.001292560801742161,3
election2020,2500,accuracy,3,0.03779315355501489,0.0035564235648973793,3
election2020,2500,f1_macro,3,0.038530276521528184,0.003692482276004571,3
election2020,2500,roc_auc_ovr_macro,3,0.01188757092761461,0.0003572182049611598,3
facebook_page_reference,100,accuracy,3,0.008722149227027473,0.007330027785721047,3
facebook_page_reference,100,f1_macro,3,0.00454671660745772,0.003484873478650779,3
facebook_page_reference,100,roc_auc_ovr_macro,3,0.006025377791028852,0.00012013296728016422,3
facebook_page_reference,300,accuracy,3,-0.04682874706077858,0.005237583438098269,0
facebook_page_reference,300,f1_macro,3,-0.0724313053016769,0.003181364565068495,0
facebook_page_reference,300,roc_auc_ovr_macro,3,-0.044151143097368895,0.003018345482267764,0
facebook_page_reference,900,accuracy,3,-0.038202889367240374,0.006572787470272053,0
facebook_page_reference,900,f1_macro,3,-0.05463485146281525,0.0034444696107667574,0
facebook_page_reference,900,roc_auc_ovr_macro,3,-0.020349362476128435,0.004373360639727892,0
facebook_page_reference,2500,accuracy,3,0.004687223355977367,0.0012109435984541928,3
facebook_page_reference,2500,f1_macro,3,-0.017014884669343273,0.00024355443685666835,0
facebook_page_reference,2500,roc_auc_ovr_macro,3,0.023130710406998694,0.0035097826006601908,3
pubmed,100,accuracy,3,-0.05482467279592281,0.020418070948830674,0
pubmed,100,f1_macro,3,-0.04840827455398381,0.02239424211055799,0
