arm,source,checkpoint_role,additional_step,logical_step,checkpoint,validation_auc_pct,validation_auc_minus_singleton_pp,validation_bce,hard_label_training_probe_bce,singleton_reference_step,singleton_reference_auc_pct,supervised_updates,kd_updates,positive_examples,negative_examples,supervised_positive_examples,supervised_negative_examples,kd_positive_examples,kd_negative_examples,training_arm,start_fallback
kd_extended,ukr_rus_twitter,last logged checkpoint,60000.0,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_060000.pt,98.83364694118498,-0.14072959423067077,0.08421843759715558,0.08088664077222348,44000,98.97437653541566,50000,0,51176314,255881570,51176314,255881570,0,0,,
kd_extended,facebook_page_reference,last logged checkpoint,60000.0,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_060000.pt,95.95266935825347,0.5681360483169584,0.17206161171197892,0.12639937549829483,6000,95.38453330993651,5000,45000,50688709,253443545,5069279,25346395,45619430,228097150,,
ukraine_only,ukr_rus_twitter,last logged checkpoint,60000.0,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/ukraine_only/checkpoints/additional_060000.pt,99.0468756198883,0.07249908447264364,0.07418971210718155,0.06687511801719667,44000,98.97437653541566,80000,0,81882649,409413245,81882649,409413245,0,0,,
ukraine_only,facebook_page_reference,last logged checkpoint,60000.0,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/ukraine_only/checkpoints/additional_060000.pt,91.81298532485962,-3.571547985076895,0.30885766297578815,0.299123415350914,6000,95.38453330993651,5000,15000,20275950,101379750,5069279,25346395,15206671,76033355,,
kd_fixed,ukr_rus_twitter,fixed 60000 added updates; 50000 cumulative Ukraine updates,60000.0,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_060000.pt,98.83364694118498,-0.14072959423067077,0.08421843759715558,0.08088664077222348,44000,98.97437653541566,50000,0,51176314,255881570,51176314,255881570,0,0,kd_extended,False
kd_fixed,facebook_page_reference,fixed 60000 added updates; 50000 cumulative Ukraine updates,60000.0,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_060000.pt,95.95266935825347,0.5681360483169584,0.17206161171197892,0.12639937549829483,6000,95.38453330993651,5000,45000,50688709,253443545,5069279,25346395,45619430,228097150,kd_extended,False
ukraine_exposure,ukr_rus_twitter,same added Ukraine exposure as KD endpoint,30000.0,70000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/ukraine_only/checkpoints/additional_030000.pt,98.95836770534515,-0.01600883007050191,0.07857330851256847,0.07266838178038595,44000,98.97437653541566,50000,0,51176314,255881570,51176314,255881570,0,0,ukraine_only,False
ukraine_exposure,facebook_page_reference,same added Ukraine exposure as KD endpoint,30000.0,70000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/ukraine_only/checkpoints/additional_030000.pt,92.59821212291719,-2.786321187019325,0.30323232263326644,0.28879808336496354,6000,95.38453330993651,5000,15000,20275950,101379750,5069279,25346395,15206671,76033355,ukraine_only,False
ukraine_updates,ukr_rus_twitter,same added optimizer updates as KD endpoint; not equal compute,60000.0,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/ukraine_only/checkpoints/additional_060000.pt,99.0468756198883,0.07249908447264364,0.07418971210718155,0.06687511801719667,44000,98.97437653541566,80000,0,81882649,409413245,81882649,409413245,0,0,ukraine_only,False
ukraine_updates,facebook_page_reference,same added optimizer updates as KD endpoint; not equal compute,60000.0,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/ukraine_only/checkpoints/additional_060000.pt,91.81298532485962,-3.571547985076895,0.30885766297578815,0.299123415350914,6000,95.38453330993651,5000,15000,20275950,101379750,5069279,25346395,15206671,76033355,ukraine_only,False
kd_extended_selected,ukr_rus_twitter,max Ukraine validation AUC subject to Facebook singleton AUC; common 2000 Ukraine grid and <= 30000 added Ukraine updates,52000.0,92000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_052000.pt,98.86328427791595,-0.11109225749970086,0.08184475786983965,0.07894492670893669,44000,98.97437653541566,46000,0,47083047,235415235,47083047,235415235,0,0,kd_extended,False
kd_extended_selected,facebook_page_reference,max Ukraine validation AUC subject to Facebook singleton AUC; common 2000 Ukraine grid and <= 30000 added Ukraine updates,52000.0,92000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_052000.pt,96.09082586765291,0.7062925577163925,0.16943589150905605,0.1260596461594105,6000,95.38453330993651,5000,41000,46633519,233167595,5069279,25346395,41564240,207821200,kd_extended,False
ukraine_only_selected,ukr_rus_twitter,max Ukraine validation AUC subject to Facebook singleton AUC; common 2000 Ukraine grid and <= 30000 added Ukraine updates,2000.0,42000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/ukraine_only/checkpoints/additional_002000.pt,98.80374796390534,-0.17062857151032285,0.08486948907375337,0.08218319676816463,44000,98.97437653541566,22000,0,22517979,112589895,22517979,112589895,0,0,ukraine_only,False
ukraine_only_selected,facebook_page_reference,max Ukraine validation AUC subject to Facebook singleton AUC; common 2000 Ukraine grid and <= 30000 added Ukraine updates,2000.0,42000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/ukraine_only/checkpoints/additional_002000.pt,95.4865519762039,0.10201866626738942,0.21194032654166217,0.171549716591835,6000,95.38453330993651,5000,15000,20275950,101379750,5069279,25346395,15206671,76033355,ukraine_only,False
async_kd,ukr_rus_twitter,original selected endpoint,,40000,,98.74585928916932,-0.2285172462463403,0.08812026716768742,0.08655679523944854,44000,98.97437653541566,20000,0,20470890,102354450,20470890,102354450,0,0,,
async_kd,facebook_page_reference,original selected endpoint,,40000,,96.10667834281921,0.7221450328826928,0.1697579078376293,0.12690456099808214,6000,95.38453330993651,5000,15000,20275950,101379750,5069279,25346395,15206671,76033355,,
