source,target,scaled_cosine_error_mean,masked_mse_mean,cosine_error_mean,checkpoint_step,n_nodes
ukr_rus_twitter,ukr_rus_twitter,0.02061816081404686,0.06717109084129333,0.1386973962187767,26000,75000
ukr_rus_twitter,covid19_twitter,0.021732087060809136,0.0676544539630413,0.14242879450321197,26000,75000
ukr_rus_twitter,midterm,0.0183815136551857,0.06880415603518486,0.13076567500829697,26000,41154
ukr_rus_twitter,covid_political,0.01607707589864731,0.07069852203130722,0.12264940738677979,26000,11801
ukr_rus_twitter,election2020,0.01730812881141901,0.068828434497118,0.1280583083629608,26000,11840
ukr_rus_twitter,ukr_rus_suspended,0.019354382529854774,0.06741250678896904,0.13458981961011887,26000,6624
ukr_rus_twitter,twibot20,0.019779710099101067,0.06856841817498208,0.1356697753071785,26000,21641
ukr_rus_twitter,cp_hk_twitter,0.02352321557700634,0.06572561860084533,0.14895483255386352,26000,38520
ukr_rus_twitter,facebook_page_reference,0.029734350554645062,0.06376768574118614,0.16671091914176941,26000,22427
covid19_twitter,ukr_rus_twitter,0.019698012992739676,1.3593586325645446,0.13568875640630723,66000,75000
covid19_twitter,covid19_twitter,0.01989082954823971,1.3646507501602172,0.13622608482837678,66000,75000
covid19_twitter,midterm,0.017415230348706245,1.392302405834198,0.12753721624612807,66000,41154
covid19_twitter,covid_political,0.015199726261198521,1.4328023552894593,0.1193266473710537,66000,11801
covid19_twitter,election2020,0.01660669781267643,1.3876677632331849,0.1253076359629631,66000,11840
covid19_twitter,ukr_rus_suspended,0.019325707107782364,1.349011278152466,0.13467248231172563,66000,6624
covid19_twitter,twibot20,0.01839806027710438,1.3947838068008422,0.13087359368801116,66000,21641
covid19_twitter,cp_hk_twitter,0.021649855189025402,1.34654803276062,0.14293689876794816,66000,38520
covid19_twitter,facebook_page_reference,0.027923979237675665,1.2817190766334534,0.1615674003958702,66000,22427
midterm,ukr_rus_twitter,0.022341059148311616,0.020032358169555665,0.1441478833556175,18000,75000
midterm,covid19_twitter,0.023252543807029725,0.02004185877740383,0.1471310794353485,18000,75000
midterm,midterm,0.016727382130920888,0.020802714489400388,0.12354715317487716,18000,41154
midterm,covid_political,0.014690578822046519,0.020972131192684172,0.11601456329226494,18000,11801
midterm,election2020,0.01441573053598404,0.020896394550800324,0.11537730693817139,18000,11840
midterm,ukr_rus_suspended,0.02046656310558319,0.020149467140436174,0.13755468726158143,18000,6624
midterm,twibot20,0.020516879484057428,0.02031691502779722,0.1375407472252846,18000,21641
midterm,cp_hk_twitter,0.024489958584308625,0.020506841689348222,0.1518133357167244,18000,38520
midterm,facebook_page_reference,0.03371762409806252,0.019503922387957572,0.1778039038181305,18000,22427
covid_political,ukr_rus_twitter,0.026077309250831605,0.013414483051747084,0.15494695752859117,16000,75000
covid_political,covid19_twitter,0.02702282927930355,0.013456209842115641,0.15780884623527527,16000,75000
covid_political,midterm,0.019893110916018485,0.0136821947991848,0.13290123045444488,16000,41154
covid_political,covid_political,0.013356458116322755,0.014324083644896745,0.10918307602405548,16000,11801
covid_political,election2020,0.01327445711940527,0.014562770258635283,0.10948933139443398,16000,11840
covid_political,ukr_rus_suspended,0.023634254559874536,0.01353091923519969,0.14679957032203675,16000,6624
covid_political,twibot20,0.021455798484385013,0.013786605000495911,0.1393103927373886,16000,21641
covid_political,cp_hk_twitter,0.030613249726593496,0.013255690317600965,0.16885646432638168,16000,38520
covid_political,facebook_page_reference,0.03647494874894619,0.01326505308970809,0.18486649245023729,16000,22427
election2020,ukr_rus_twitter,0.03108836766332388,0.007986605260521173,0.17048132419586182,14000,75000
election2020,covid19_twitter,0.032431550696492194,0.008026877138763665,0.1742967739701271,14000,75000
election2020,midterm,0.023230628110468388,0.008102311752736568,0.14459450393915177,14000,41154
election2020,covid_political,0.016946454904973506,0.008274226449429989,0.12371803894639015,14000,11801
election2020,election2020,0.011065441090613604,0.00852122511714697,0.09806546717882156,14000,11840
election2020,ukr_rus_suspended,0.02710815370082855,0.008001393452286721,0.15769064724445342,14000,6624
election2020,twibot20,0.02712964005768299,0.008095125202089548,0.1581211730837822,14000,21641
election2020,cp_hk_twitter,0.03502382412552833,0.007997846696525812,0.18147460371255875,14000,38520
election2020,facebook_page_reference,0.042984215542674065,0.007919118460267782,0.20143678933382034,14000,22427
ukr_rus_suspended,ukr_rus_twitter,0.0220328938215971,0.021341489627957344,0.14309479892253876,18000,75000
ukr_rus_suspended,covid19_twitter,0.023951652646064758,0.02130380105227232,0.14936602711677552,18000,75000
ukr_rus_suspended,midterm,0.01920738648623228,0.022134854830801486,0.13249171078205108,18000,41154
ukr_rus_suspended,covid_political,0.01605661157518625,0.023104311898350716,0.12161346897482872,18000,11801
ukr_rus_suspended,election2020,0.01546587711200118,0.023532366566359996,0.11972281485795974,18000,11840
