experiment,training_regime,pretrain_dataset,pretrain_task,finetune_dataset,finetune_task,eval_dataset,eval_task,shots,test_acc,test_roc_auc
1,NM->NM,midterm,NM,covid,NM,ukr_rus,NM,1,0.907,0.969
1,NM->NM,midterm,NM,covid,NM,ukr_rus,NM,5,0.944,0.987
1,NM->NM,midterm,NM,covid,NM,ukr_rus,NM,10,0.949,0.989
1,NM->NM,midterm,NM,covid,NM,ukr_rus,LP,1,0.546,0.748
1,NM->NM,midterm,NM,covid,NM,ukr_rus,LP,5,0.522,0.824
1,NM->NM,midterm,NM,covid,NM,ukr_rus,LP,10,0.515,0.826
1,NM->NM,midterm,NM,covid,NM,ukr_rus,PL,1,0.519,0.525
1,NM->NM,midterm,NM,covid,NM,ukr_rus,PL,5,0.554,0.573
1,NM->NM,midterm,NM,covid,NM,ukr_rus,PL,10,0.58,0.604
2,NM->NM,midterm,NM,ukr_rus,NM,covid,NM,1,0.933,0.982
2,NM->NM,midterm,NM,ukr_rus,NM,covid,NM,5,0.967,0.994
2,NM->NM,midterm,NM,ukr_rus,NM,covid,NM,10,0.967,0.995
2,NM->NM,midterm,NM,ukr_rus,NM,covid,LP,1,0.534,0.792
2,NM->NM,midterm,NM,ukr_rus,NM,covid,LP,5,0.516,0.843
2,NM->NM,midterm,NM,ukr_rus,NM,covid,LP,10,0.512,0.85
2,NM->NM,midterm,NM,ukr_rus,NM,covid,PL,1,0.517,0.522
2,NM->NM,midterm,NM,ukr_rus,NM,covid,PL,5,0.526,0.53
2,NM->NM,midterm,NM,ukr_rus,NM,covid,PL,10,0.547,0.57
3,NM->NM,covid,NM,ukr_rus,NM,midterm,NM,1,0.645,0.832
3,NM->NM,covid,NM,ukr_rus,NM,midterm,NM,5,0.666,0.857
3,NM->NM,covid,NM,ukr_rus,NM,midterm,NM,10,0.677,0.868
3,NM->NM,covid,NM,ukr_rus,NM,midterm,LP,1,0.506,0.815
3,NM->NM,covid,NM,ukr_rus,NM,midterm,LP,5,0.514,0.848
3,NM->NM,covid,NM,ukr_rus,NM,midterm,LP,10,0.521,0.867
3,NM->NM,covid,NM,ukr_rus,NM,midterm,PL,1,0.748,0.823
3,NM->NM,covid,NM,ukr_rus,NM,midterm,PL,5,0.807,0.876
3,NM->NM,covid,NM,ukr_rus,NM,midterm,PL,10,0.83,0.896
4,LP->LP,midterm,LP,covid,LP,ukr_rus,NM,1,0.808,0.897
4,LP->LP,midterm,LP,covid,LP,ukr_rus,NM,5,0.835,0.922
4,LP->LP,midterm,LP,covid,LP,ukr_rus,NM,10,0.834,0.924
4,LP->LP,midterm,LP,covid,LP,ukr_rus,LP,1,0.735,0.828
4,LP->LP,midterm,LP,covid,LP,ukr_rus,LP,5,0.686,0.856
4,LP->LP,midterm,LP,covid,LP,ukr_rus,LP,10,0.64,0.85
4,LP->LP,midterm,LP,covid,LP,ukr_rus,PL,1,0.509,0.515
4,LP->LP,midterm,LP,covid,LP,ukr_rus,PL,5,0.521,0.525
4,LP->LP,midterm,LP,covid,LP,ukr_rus,PL,10,0.526,0.534
5,LP->LP,midterm,LP,ukr_rus,LP,covid,NM,1,0.814,0.897
5,LP->LP,midterm,LP,ukr_rus,LP,covid,NM,5,0.848,0.933
5,LP->LP,midterm,LP,ukr_rus,LP,covid,NM,10,0.846,0.932
5,LP->LP,midterm,LP,ukr_rus,LP,covid,LP,1,0.777,0.857
5,LP->LP,midterm,LP,ukr_rus,LP,covid,LP,5,0.776,0.868
5,LP->LP,midterm,LP,ukr_rus,LP,covid,LP,10,0.752,0.857
5,LP->LP,midterm,LP,ukr_rus,LP,covid,PL,1,0.509,0.512
5,LP->LP,midterm,LP,ukr_rus,LP,covid,PL,5,0.522,0.534
5,LP->LP,midterm,LP,ukr_rus,LP,covid,PL,10,0.528,0.539
6,LP->LP,covid,LP,ukr_rus,LP,midterm,NM,1,0.634,0.832
6,LP->LP,covid,LP,ukr_rus,LP,midterm,NM,5,0.681,0.873
6,LP->LP,covid,LP,ukr_rus,LP,midterm,NM,10,0.692,0.882
6,LP->LP,covid,LP,ukr_rus,LP,midterm,LP,1,0.736,0.814
6,LP->LP,covid,LP,ukr_rus,LP,midterm,LP,5,0.735,0.838
6,LP->LP,covid,LP,ukr_rus,LP,midterm,LP,10,0.735,0.847
6,LP->LP,covid,LP,ukr_rus,LP,midterm,PL,1,0.559,0.585
6,LP->LP,covid,LP,ukr_rus,LP,midterm,PL,5,0.615,0.663
6,LP->LP,covid,LP,ukr_rus,LP,midterm,PL,10,0.644,0.701
7,NM->LP,midterm,NM,covid,LP,ukr_rus,NM,1,0.847,0.931
7,NM->LP,midterm,NM,covid,LP,ukr_rus,NM,5,0.88,0.956
7,NM->LP,midterm,NM,covid,LP,ukr_rus,NM,10,0.877,0.956
7,NM->LP,midterm,NM,covid,LP,ukr_rus,LP,1,0.748,0.84
7,NM->LP,midterm,NM,covid,LP,ukr_rus,LP,5,0.778,0.872
7,NM->LP,midterm,NM,covid,LP,ukr_rus,LP,10,0.766,0.864
7,NM->LP,midterm,NM,covid,LP,ukr_rus,PL,1,0.494,0.497
7,NM->LP,midterm,NM,covid,LP,ukr_rus,PL,5,0.504,0.504
7,NM->LP,midterm,NM,covid,LP,ukr_rus,PL,10,0.505,0.507
8,NM->LP,midterm,NM,ukr_rus,LP,covid,NM,1,0.858,0.938
8,NM->LP,midterm,NM,ukr_rus,LP,covid,NM,5,0.881,0.957
8,NM->LP,midterm,NM,ukr_rus,LP,covid,NM,10,0.884,0.958
8,NM->LP,midterm,NM,ukr_rus,LP,covid,LP,1,0.769,0.849
8,NM->LP,midterm,NM,ukr_rus,LP,covid,LP,5,0.8,0.868
8,NM->LP,midterm,NM,ukr_rus,LP,covid,LP,10,0.788,0.864
8,NM->LP,midterm,NM,ukr_rus,LP,covid,PL,1,0.52,0.534
8,NM->LP,midterm,NM,ukr_rus,LP,covid,PL,5,0.561,0.581
8,NM->LP,midterm,NM,ukr_rus,LP,covid,PL,10,0.569,0.595
9,NM->LP,covid,NM,ukr_rus,LP,midterm,NM,1,0.608,0.8
9,NM->LP,covid,NM,ukr_rus,LP,midterm,NM,5,0.613,0.81
9,NM->LP,covid,NM,ukr_rus,LP,midterm,NM,10,0.617,0.814
9,NM->LP,covid,NM,ukr_rus,LP,midterm,LP,1,0.729,0.797
9,NM->LP,covid,NM,ukr_rus,LP,midterm,LP,5,0.735,0.82
9,NM->LP,covid,NM,ukr_rus,LP,midterm,LP,10,0.689,0.826
9,NM->LP,covid,NM,ukr_rus,LP,midterm,PL,1,0.684,0.738
9,NM->LP,covid,NM,ukr_rus,LP,midterm,PL,5,0.721,0.794
9,NM->LP,covid,NM,ukr_rus,LP,midterm,PL,10,0.75,0.82
10,LP->NM,midterm,LP,covid,NM,ukr_rus,NM,1,0.906,0.97
10,LP->NM,midterm,LP,covid,NM,ukr_rus,NM,5,0.941,0.986
10,LP->NM,midterm,LP,covid,NM,ukr_rus,NM,10,0.946,0.988
10,LP->NM,midterm,LP,covid,NM,ukr_rus,LP,1,0.604,0.689
10,LP->NM,midterm,LP,covid,NM,ukr_rus,LP,5,0.613,0.743
10,LP->NM,midterm,LP,covid,NM,ukr_rus,LP,10,0.611,0.751
10,LP->NM,midterm,LP,covid,NM,ukr_rus,PL,1,0.541,0.562
10,LP->NM,midterm,LP,covid,NM,ukr_rus,PL,5,0.578,0.604
10,LP->NM,midterm,LP,covid,NM,ukr_rus,PL,10,0.604,0.636
11,LP->NM,midterm,LP,ukr_rus,NM,covid,NM,1,0.933,0.982
11,LP->NM,midterm,LP,ukr_rus,NM,covid,NM,5,0.961,0.993
11,LP->NM,midterm,LP,ukr_rus,NM,covid,NM,10,0.962,0.993
11,LP->NM,midterm,LP,ukr_rus,NM,covid,LP,1,0.611,0.723
11,LP->NM,midterm,LP,ukr_rus,NM,covid,LP,5,0.613,0.74
11,LP->NM,midterm,LP,ukr_rus,NM,covid,LP,10,0.607,0.747
11,LP->NM,midterm,LP,ukr_rus,NM,covid,PL,1,0.528,0.533
11,LP->NM,midterm,LP,ukr_rus,NM,covid,PL,5,0.548,0.567
11,LP->NM,midterm,LP,ukr_rus,NM,covid,PL,10,0.568,0.594
12,LP->NM,covid,LP,ukr_rus,NM,midterm,NM,1,0.752,0.915
12,LP->NM,covid,LP,ukr_rus,NM,midterm,NM,5,0.804,0.946
12,LP->NM,covid,LP,ukr_rus,NM,midterm,NM,10,0.816,0.951
12,LP->NM,covid,LP,ukr_rus,NM,midterm,LP,1,0.646,0.775
12,LP->NM,covid,LP,ukr_rus,NM,midterm,LP,5,0.666,0.795
12,LP->NM,covid,LP,ukr_rus,NM,midterm,LP,10,0.684,0.812
12,LP->NM,covid,LP,ukr_rus,NM,midterm,PL,1,0.729,0.803
12,LP->NM,covid,LP,ukr_rus,NM,midterm,PL,5,0.823,0.894
12,LP->NM,covid,LP,ukr_rus,NM,midterm,PL,10,0.854,0.924
