run_id,display_name,state,dataset,task_name,prefix,pretrained_model_run,n_shots,n_way,n_query,zero_shot,test_accuracy,train_accuracy,test_f1,test_roc_auc,created_at,steps,tags,input_dim,graph,shot_label,eval1_dataset,trained_on_display_name,month/day,graph_type,input_feature_type
30wf4h39,train1_covid19_interaction_minilm250k_pl_27_04_2026_18_29_04,finished,covid19_twitter,pl,train1_covid19_interaction_minilm250k_pl,,3.0,2.0,3.0,False,0.8165333333333333,,0.8179412543000794,0.8802631466666666,2026-04-28 01:29:06+00:00,23001.0,[],384.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,interaction,emb_only
gce5jtpu,train1_covid19_interaction_minilm250k_lp_27_04_2026_18_28_33,finished,covid19_twitter,lp,train1_covid19_interaction_minilm250k_lp,,1.0,1.0,3.0,False,0.8358666666666666,,0.8542505327965901,0.9391662044444444,2026-04-28 01:28:35+00:00,30000.0,[],384.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,1.0,covid19_twitter,,4/28,interaction,emb_only
zidwuuap,train1_covid19_interaction_minilm250k_nm_27_04_2026_18_26_56,crashed,covid19_twitter,nm,train1_covid19_interaction_minilm250k_nm,,3.0,3.0,8.0,False,0.9572833333333334,,0.9572823392103724,0.996056548125,2026-04-28 01:26:58+00:00,81144.0,[],384.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,interaction,emb_only
g4poa2hw,train1_covid19_retweet_minilm250k_pl_27_04_2026_18_25_49,finished,covid19_twitter,pl,train1_covid19_retweet_minilm250k_pl,,3.0,2.0,3.0,False,0.8308666666666666,,0.8134421648650636,0.8932405066666668,2026-04-28 01:25:51+00:00,24000.0,[],384.0,/scratch1/eibl/data/covid19_twitter/graphs/retweet_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,retweet,emb_only
f5f7iu8f,train1_covid19_retweet_minilm250k_lp_27_04_2026_18_25_17,finished,covid19_twitter,lp,train1_covid19_retweet_minilm250k_lp,,1.0,1.0,3.0,False,0.8588,,0.8718072872533592,0.9468194133333332,2026-04-28 01:25:19+00:00,30000.0,[],384.0,/scratch1/eibl/data/covid19_twitter/graphs/retweet_graph_minilm_250k_hf03_labeled.pt,1.0,covid19_twitter,,4/28,retweet,emb_only
d2mtpze9,train1_covid19_retweet_minilm250k_nm_27_04_2026_18_20_30,crashed,covid19_twitter,nm,train1_covid19_retweet_minilm250k_nm,,3.0,3.0,8.0,False,0.9666333333333332,,0.9666313373829392,0.9975434385416668,2026-04-28 01:20:33+00:00,84000.0,[],384.0,/scratch1/eibl/data/covid19_twitter/graphs/retweet_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,retweet,emb_only
mjo6a23f,train1_midterm_interaction_minilm250k_pl_27_04_2026_18_16_46,finished,midterm,pl,train1_midterm_interaction_minilm250k_pl,,4.0,2.0,3.0,False,0.9786,,0.9787964858973512,0.9925400088888888,2026-04-28 01:16:48+00:00,6000.0,[],384.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,4.0,midterm,,4/28,interaction,emb_only
esepylqx,train1_midterm_interaction_minilm250k_lp_27_04_2026_18_15_40,finished,midterm,lp,train1_midterm_interaction_minilm250k_lp,,1.0,1.0,3.0,False,0.7514666666666666,,0.7815027546594772,0.8500643466666667,2026-04-28 01:15:42+00:00,30000.0,[],384.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,1.0,midterm,,4/28,interaction,emb_only
1rsnygam,train1_midterm_interaction_minilm250k_nm_27_04_2026_18_09_42,crashed,midterm,nm,train1_midterm_interaction_minilm250k_nm,,3.0,3.0,24.0,False,0.8675222222222222,,0.8675259091263129,0.972495584861111,2026-04-28 01:09:44+00:00,22000.0,[],384.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,3.0,midterm,,4/28,interaction,emb_only
vas9rjbu,train1_midterm_retweet_minilm250k_pl_27_04_2026_18_08_37,finished,midterm,pl,train1_midterm_retweet_minilm250k_pl,,4.0,2.0,3.0,False,0.9843333333333332,,0.9845749917952084,0.9955661955555556,2026-04-28 01:08:44+00:00,6000.0,[],384.0,/scratch1/eibl/data/midterm/graphs/retweet_graph_minilm_250k.pt,4.0,midterm,,4/28,retweet,emb_only
fiie8k3k,train1_midterm_retweet_minilm250k_nm_27_04_2026_18_04_59,crashed,midterm,nm,train1_midterm_retweet_minilm250k_nm,,3.0,3.0,24.0,False,0.8650166666666667,,0.8650051198640224,0.9725685835185184,2026-04-28 01:05:05+00:00,24598.0,[],384.0,/scratch1/eibl/data/midterm/graphs/retweet_graph_minilm_250k.pt,3.0,midterm,,4/28,retweet,emb_only
2kfpxncm,train1_midterm_retweet_minilm250k_lp_27_04_2026_18_04_59,finished,midterm,lp,train1_midterm_retweet_minilm250k_lp,,1.0,1.0,3.0,False,0.7857333333333333,,0.8141981731992138,0.8898476799999999,2026-04-28 01:05:05+00:00,30000.0,[],384.0,/scratch1/eibl/data/midterm/graphs/retweet_graph_minilm_250k.pt,1.0,midterm,,4/28,retweet,emb_only
tl57l0go,train1_covid19_twitter_lp_interaction_250k_all_27_04_2026_18_02_02,finished,covid19_twitter,lp,train1_covid19_twitter_lp_interaction_250k_all,,1.0,1.0,3.0,False,0.8692,,0.881206103172681,0.9544473866666666,2026-04-28 01:02:08+00:00,30000.0,[],395.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,1.0,covid19_twitter,,4/28,interaction,all
o7s0f1xf,train1_midterm_lp_interaction_250k_constant1_27_04_2026_18_02_01,finished,midterm,lp,train1_midterm_lp_interaction_250k_constant1,,1.0,1.0,3.0,False,0.6086666666666667,,0.6279158215010142,0.6600490844444444,2026-04-28 01:02:08+00:00,30000.0,[],1.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,1.0,midterm,,4/28,interaction,constant1
8je6wbfb,train1_midterm_nm_interaction_250k_all_27_04_2026_18_02_01,crashed,midterm,nm,train1_midterm_nm_interaction_250k_all,,3.0,3.0,24.0,False,0.8623444444444445,,0.8623390149317984,0.9705440308564816,2026-04-28 01:02:06+00:00,24000.0,[],395.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,3.0,midterm,,4/28,interaction,all
ju8g7859,train1_midterm_lp_interaction_250k_stats_only_27_04_2026_18_01_57,finished,midterm,lp,train1_midterm_lp_interaction_250k_stats_only,,1.0,1.0,3.0,False,0.7368666666666667,,0.7521507064364207,0.8299659022222223,2026-04-28 01:02:03+00:00,30000.0,[],11.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,1.0,midterm,,4/28,interaction,stats_only
wu0cbted,train1_covid19_twitter_nm_interaction_250k_stats_only_27_04_2026_18_01_52,crashed,covid19_twitter,nm,train1_covid19_twitter_nm_interaction_250k_stats_only,,3.0,3.0,8.0,False,0.9502666666666668,,0.9502673210368364,0.9953027789583334,2026-04-28 01:01:58+00:00,104297.0,[],11.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,interaction,stats_only
ar2zfvur,train1_midterm_pl_interaction_250k_all_27_04_2026_18_01_51,finished,midterm,pl,train1_midterm_pl_interaction_250k_all,,4.0,2.0,3.0,False,0.9756,,0.975658419792498,0.9944984355555556,2026-04-28 01:01:56+00:00,6000.0,[],395.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,4.0,midterm,,4/28,interaction,all
fudn7aj7,train1_midterm_pl_interaction_250k_stats_only_27_04_2026_18_01_48,finished,midterm,pl,train1_midterm_pl_interaction_250k_stats_only,,4.0,2.0,3.0,False,0.8149333333333333,,0.7749310848062267,0.96557152,2026-04-28 01:01:54+00:00,6000.0,[],11.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,4.0,midterm,,4/28,interaction,stats_only
90uwfgis,train1_covid19_twitter_pl_interaction_250k_all_27_04_2026_18_01_46,finished,covid19_twitter,pl,train1_covid19_twitter_pl_interaction_250k_all,,3.0,2.0,3.0,False,0.806,,0.8068754977435625,0.8775951111111111,2026-04-28 01:01:51+00:00,22001.0,[],395.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,interaction,all
n3d69bg6,train1_midterm_nm_interaction_250k_stats_only_27_04_2026_18_01_45,crashed,midterm,nm,train1_midterm_nm_interaction_250k_stats_only,,3.0,3.0,24.0,False,0.8621666666666666,,0.8621639399384208,0.970364186875,2026-04-28 01:01:50+00:00,57000.0,[],11.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,3.0,midterm,,4/28,interaction,stats_only
a0dzbib0,train1_covid19_twitter_nm_interaction_250k_constant1_27_04_2026_18_01_45,finished,covid19_twitter,nm,train1_covid19_twitter_nm_interaction_250k_constant1,,3.0,3.0,8.0,False,0.6969833333333333,,0.6969264133302825,0.8815423579166667,2026-04-28 01:01:50+00:00,58001.0,[],1.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,interaction,constant1
t5srd2sy,train1_covid19_twitter_lp_interaction_250k_stats_only_27_04_2026_18_01_42,finished,covid19_twitter,lp,train1_covid19_twitter_lp_interaction_250k_stats_only,,1.0,1.0,3.0,False,0.8264666666666667,,0.8452345561567275,0.9225898666666666,2026-04-28 01:01:47+00:00,30000.0,[],11.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,1.0,covid19_twitter,,4/28,interaction,stats_only
gzecqqj3,train1_covid19_twitter_pl_interaction_250k_stats_only_27_04_2026_18_01_41,finished,covid19_twitter,pl,train1_covid19_twitter_pl_interaction_250k_stats_only,,3.0,2.0,3.0,False,0.7949333333333334,,0.7715049769722181,0.8530679466666667,2026-04-28 01:01:46+00:00,24000.0,[],11.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,interaction,stats_only
qpgqeb18,train1_midterm_lp_interaction_250k_all_27_04_2026_18_01_15,finished,midterm,lp,train1_midterm_lp_interaction_250k_all,,1.0,1.0,3.0,False,0.7746,,0.8016659822842729,0.8809510666666667,2026-04-28 01:01:17+00:00,30000.0,[],395.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,1.0,midterm,,4/28,interaction,all
w1t6nlgi,train1_midterm_nm_interaction_250k_emb_only_27_04_2026_18_01_11,crashed,midterm,nm,train1_midterm_nm_interaction_250k_emb_only,,3.0,3.0,24.0,False,0.8624555555555555,,0.8624547875836681,0.9704526561111112,2026-04-28 01:01:16+00:00,23731.0,[],384.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,3.0,midterm,,4/28,interaction,emb_only
9ugfbskd,train1_covid19_twitter_nm_interaction_250k_emb_only_27_04_2026_18_01_10,crashed,covid19_twitter,nm,train1_covid19_twitter_nm_interaction_250k_emb_only,,3.0,3.0,8.0,False,0.9584,,0.9584002202504716,0.9966486110416666,2026-04-28 01:01:16+00:00,79000.0,[],384.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,interaction,emb_only
esuwi6jc,train1_midterm_lp_interaction_250k_emb_only_27_04_2026_18_01_10,finished,midterm,lp,train1_midterm_lp_interaction_250k_emb_only,,1.0,1.0,3.0,False,0.7516,,0.7826644890340644,0.8526597511111111,2026-04-28 01:01:14+00:00,30000.0,[],384.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,1.0,midterm,,4/28,interaction,emb_only
racmhz1f,train1_midterm_pl_interaction_250k_emb_only_27_04_2026_18_01_10,finished,midterm,pl,train1_midterm_pl_interaction_250k_emb_only,,4.0,2.0,3.0,False,0.9752,,0.9753446447507952,0.9953249244444444,2026-04-28 01:01:13+00:00,6000.0,[],384.0,/scratch1/eibl/data/midterm/graphs/interaction_graph_minilm_250k.pt,4.0,midterm,,4/28,interaction,emb_only
qtxzsd6g,train1_covid19_twitter_lp_interaction_250k_emb_only_27_04_2026_18_01_10,finished,covid19_twitter,lp,train1_covid19_twitter_lp_interaction_250k_emb_only,,1.0,1.0,3.0,False,0.8356666666666667,,0.8530376199844989,0.9373838933333334,2026-04-28 01:01:13+00:00,30000.0,[],384.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,1.0,covid19_twitter,,4/28,interaction,emb_only
7wywuhjb,train1_covid19_twitter_lp_interaction_250k_constant1_27_04_2026_18_01_11,finished,covid19_twitter,lp,train1_covid19_twitter_lp_interaction_250k_constant1,,1.0,1.0,3.0,False,0.5956,,0.6708627238198589,0.6118278755555555,2026-04-28 01:01:13+00:00,30000.0,[],1.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,1.0,covid19_twitter,,4/28,interaction,constant1
7m219gxl,train1_covid19_twitter_pl_interaction_250k_constant1_27_04_2026_18_01_10,finished,covid19_twitter,pl,train1_covid19_twitter_pl_interaction_250k_constant1,,3.0,2.0,3.0,False,0.5705333333333333,,0.5319674513222901,0.5996759911111111,2026-04-28 01:01:13+00:00,24000.0,[],1.0,/scratch1/eibl/data/covid19_twitter/graphs/interaction_graph_minilm_250k_hf03_labeled.pt,3.0,covid19_twitter,,4/28,interaction,constant1
