arm,source_left,source_right,mean_roc_auc,mean_residual_best,worst_residual_best,fraction_above_best,cells
covid__covpol,covid,covid_political,0.850119375314749,-0.003509054193094741,-0.021754322791921465,0.37037037037037035,27
covid__election,covid,election2020,0.8533222619093647,-0.002259189471532676,-0.038830186443767345,0.5185185185185185,27
covid__facebook,covid,facebook_page_reference,0.8439454452897093,-0.005905399499116126,-0.023157259787636164,0.14814814814814814,27
covid__hongkong,covid,cp_hk,0.8552281908351546,-0.005645038529424855,-0.06554040963622354,0.3333333333333333,27
covid__midterm,covid,midterm,0.8476080197433352,-0.004443606806593047,-0.019724098704326898,0.3333333333333333,27
covid__twibot,covid,twibot20,0.8533548208133572,0.0008457528524776359,-0.013333277729735804,0.4444444444444444,27
covid__ukrsusp,covid,ukr_rus_suspended,0.8620458265576986,0.0010389159211913438,-0.009475891754544996,0.5185185185185185,27
covpol__election,covid_political,election2020,0.7766421722218858,0.02020231264608876,-0.040549563950505574,0.7037037037037037,27
covpol__facebook,covid_political,facebook_page_reference,0.7985798130902192,0.012449704260966168,-0.05461454295563972,0.7037037037037037,27
covpol__hongkong,covid_political,cp_hk,0.8131604133437876,0.01324248769629404,-0.06971127109966058,0.6296296296296297,27
covpol__twibot,covid_political,twibot20,0.8400059672100284,-0.00330140188736013,-0.02236748276085665,0.2962962962962963,27
covpol__ukrsusp,covid_political,ukr_rus_suspended,0.8358429234197364,0.03343208061983961,-0.023023303897901415,0.7407407407407407,27
election__facebook,election2020,facebook_page_reference,0.8049432624244041,0.010358043821277195,-0.04000865536174558,0.7407407407407407,27
election__hongkong,election2020,cp_hk,0.8099858121041696,2.3101669212492687e-05,-0.06321222138130811,0.5185185185185185,27
election__twibot,election2020,twibot20,0.8443626292313146,-0.0002782474024948574,-0.039156312641056124,0.7407407407407407,27
election__ukrsusp,election2020,ukr_rus_suspended,0.8429598859342021,0.030289165808221767,-0.03969654009259982,0.8148148148148148,27
hongkong__facebook,cp_hk,facebook_page_reference,0.8243166533415751,0.023151195374079187,-0.07326449087296405,0.7407407407407407,27
midterm__covpol,midterm,covid_political,0.820388341929467,0.010364295929835253,-0.04031568601213675,0.7407407407407407,27
midterm__election,midterm,election2020,0.8065116666082931,-0.005838470389965832,-0.041784724421884745,0.4074074074074074,27
midterm__facebook,midterm,facebook_page_reference,0.8359181915155722,0.023383595563848756,-0.02006928345252712,0.7777777777777778,27
midterm__hongkong,midterm,cp_hk,0.8211437317451146,0.0011109011281850855,-0.06537455361464928,0.6666666666666666,27
midterm__twibot,midterm,twibot20,0.8377478377724669,-0.003000947499386899,-0.013933452518506861,0.2962962962962963,27
midterm__ukrsusp,midterm,ukr_rus_suspended,0.8450177821619757,0.019173832993245515,-0.007460052117533977,0.8518518518518519,27
twibot__facebook,twibot20,facebook_page_reference,0.8392879285118132,-0.0007242374188750909,-0.03543415124388971,0.25925925925925924,27
twibot__hongkong,twibot20,cp_hk,0.8417003252446372,-0.0077323944784824785,-0.06341122197008686,0.4444444444444444,27
ukr__covid,ukr_rus,covid,0.8603440978517933,0.0018837597635057352,-0.013092170912643919,0.6666666666666666,27
ukr__covpol,ukr_rus,covid_political,0.8566251635602201,-0.0035223325499578267,-0.015197718965595963,0.2962962962962963,27
ukr__election,ukr_rus,election2020,0.8592291607203103,-0.0035482202148680773,-0.0388768475631186,0.5185185185185185,27
ukr__facebook,ukr_rus,facebook_page_reference,0.8472444744503919,-0.009264134254390585,-0.03200747802339743,0.2962962962962963,27
ukr__hongkong,ukr_rus,cp_hk,0.8615146058120338,-0.005857417247507439,-0.06365978388950733,0.4074074074074074,27
ukr__midterm,ukr_rus,midterm,0.8549159331187739,-0.0033575462351052143,-0.02033745324474623,0.37037037037037035,27
ukr__twibot,ukr_rus,twibot20,0.8615085715027554,0.001610678335411492,-0.012512304316992018,0.5925925925925926,27
ukr__ukrsusp,ukr_rus,ukr_rus_suspended,0.8675516873280918,0.0007527951029018552,-0.01210200868803879,0.5555555555555556,27
ukrsusp__facebook,ukr_rus_suspended,facebook_page_reference,0.841623474547791,0.03910863216809388,-0.0097908025500415,0.8888888888888888,27
ukrsusp__hongkong,ukr_rus_suspended,cp_hk,0.835030374262068,0.022661881611265016,-0.06517744954975191,0.7037037037037037,27
ukrsusp__twibot,ukr_rus_suspended,twibot20,0.8554216412038386,0.002345840019487591,-0.013182737909514297,0.4074074074074074,27
