arm	left	right	prefix	config
ukr__covid	ukr_rus	covid	paper_pair_ukr__covid	train_ukr__covid.yaml
ukr__midterm	ukr_rus	midterm	paper_pair_ukr__midterm	train_ukr__midterm.yaml
ukr__covpol	ukr_rus	covid_political	paper_pair_ukr__covpol	train_ukr__covpol.yaml
ukr__election	ukr_rus	election2020	paper_pair_ukr__election	train_ukr__election.yaml
ukr__ukrsusp	ukr_rus	ukr_rus_suspended	paper_pair_ukr__ukrsusp	train_ukr__ukrsusp.yaml
ukr__twibot	ukr_rus	twibot20	paper_pair_ukr__twibot	train_ukr__twibot.yaml
ukr__hongkong	ukr_rus	cp_hk	paper_pair_ukr__hongkong	train_ukr__hongkong.yaml
ukr__facebook	ukr_rus	facebook_page_reference	paper_pair_ukr__facebook	train_ukr__facebook.yaml
covid__midterm	covid	midterm	paper_pair_covid__midterm	train_covid__midterm.yaml
covid__covpol	covid	covid_political	paper_pair_covid__covpol	train_covid__covpol.yaml
covid__election	covid	election2020	paper_pair_covid__election	train_covid__election.yaml
covid__ukrsusp	covid	ukr_rus_suspended	paper_pair_covid__ukrsusp	train_covid__ukrsusp.yaml
covid__twibot	covid	twibot20	paper_pair_covid__twibot	train_covid__twibot.yaml
covid__hongkong	covid	cp_hk	paper_pair_covid__hongkong	train_covid__hongkong.yaml
covid__facebook	covid	facebook_page_reference	paper_pair_covid__facebook	train_covid__facebook.yaml
midterm__covpol	midterm	covid_political	paper_pair_midterm__covpol	train_midterm__covpol.yaml
midterm__election	midterm	election2020	paper_pair_midterm__election	train_midterm__election.yaml
midterm__ukrsusp	midterm	ukr_rus_suspended	paper_pair_midterm__ukrsusp	train_midterm__ukrsusp.yaml
midterm__twibot	midterm	twibot20	paper_pair_midterm__twibot	train_midterm__twibot.yaml
midterm__hongkong	midterm	cp_hk	paper_pair_midterm__hongkong	train_midterm__hongkong.yaml
midterm__facebook	midterm	facebook_page_reference	paper_pair_midterm__facebook	train_midterm__facebook.yaml
covpol__election	covid_political	election2020	paper_pair_covpol__election	train_covpol__election.yaml
covpol__ukrsusp	covid_political	ukr_rus_suspended	paper_pair_covpol__ukrsusp	train_covpol__ukrsusp.yaml
covpol__twibot	covid_political	twibot20	paper_pair_covpol__twibot	train_covpol__twibot.yaml
covpol__hongkong	covid_political	cp_hk	paper_pair_covpol__hongkong	train_covpol__hongkong.yaml
covpol__facebook	covid_political	facebook_page_reference	paper_pair_covpol__facebook	train_covpol__facebook.yaml
election__ukrsusp	election2020	ukr_rus_suspended	paper_pair_election__ukrsusp	train_election__ukrsusp.yaml
election__twibot	election2020	twibot20	paper_pair_election__twibot	train_election__twibot.yaml
election__hongkong	election2020	cp_hk	paper_pair_election__hongkong	train_election__hongkong.yaml
election__facebook	election2020	facebook_page_reference	paper_pair_election__facebook	train_election__facebook.yaml
ukrsusp__twibot	ukr_rus_suspended	twibot20	paper_pair_ukrsusp__twibot	train_ukrsusp__twibot.yaml
ukrsusp__hongkong	ukr_rus_suspended	cp_hk	paper_pair_ukrsusp__hongkong	train_ukrsusp__hongkong.yaml
ukrsusp__facebook	ukr_rus_suspended	facebook_page_reference	paper_pair_ukrsusp__facebook	train_ukrsusp__facebook.yaml
twibot__hongkong	twibot20	cp_hk	paper_pair_twibot__hongkong	train_twibot__hongkong.yaml
twibot__facebook	twibot20	facebook_page_reference	paper_pair_twibot__facebook	train_twibot__facebook.yaml
hongkong__facebook	cp_hk	facebook_page_reference	paper_pair_hongkong__facebook	train_hongkong__facebook.yaml
