stream,method,uses_target_query_outcomes,uses_discovery_query_labels,n,accuracy,auc,nll,accuracy_gain_over_fixed_b,episode_bootstrap_gain_ci_low,episode_bootstrap_gain_ci_high,fraction_choose_b
original,fixed_b,False,False,3072,0.8857421875,0.9286826625071365,0.33212966537778604,0.0,0.0,0.0,1.0
original,fixed_c,False,False,3072,0.5511067708333334,0.5643202192588967,0.6874749909063228,-0.33463541666666663,-0.3636067708333333,-0.3050130208333333,0.0
original,raw_alignment_tie_b,False,False,3072,0.7942708333333334,0.9056323573389882,0.38136521148158753,-0.09147135416666663,-0.1142578125,-0.0703125,0.8668619791666666
original,u1_alignment_tie_b,False,False,3072,0.8916015625,0.9294294409102031,0.33043420872901147,0.005859375,0.0009765625,0.0107421875,0.98046875
original,learned_stage_consensus_tie_b,False,False,3072,0.8284505208333334,0.8772556275997064,0.4520718923206885,-0.05729166666666663,-0.07682291666666667,-0.0390625,0.6764322916666666
original,calibrated_full_confidence,False,True,3072,0.8828125,0.9282604226137076,0.3334523157832661,-0.0029296875,-0.0068359375,0.0009765625,0.9742838541666666
original,oracle_expert,True,False,3072,0.9264322916666666,0.9523357427344153,0.2831976425336023,0.04069010416666663,0.033528645833333336,0.048502604166666664,0.9593098958333334
original,raw_joint_ridge_direct,False,False,3072,0.7389322916666666,0.8091016909985591,0.6396370273331948,-0.14680989583333337,-0.171875,-0.123046875,
fresh,fixed_b,False,False,3072,0.8955078125,0.9408172936716244,0.30224188795663415,0.0,0.0,0.0,1.0
fresh,fixed_c,False,False,3072,0.5641276041666666,0.5927477330837521,0.6812760399251726,-0.33138020833333337,-0.3619791666666667,-0.3014322916666667,0.0
fresh,raw_alignment_tie_b,False,False,3072,0.8040364583333334,0.9205947730370914,0.3486964023665477,-0.09147135416666663,-0.10970052083333333,-0.07421875,0.8655598958333334
fresh,u1_alignment_tie_b,False,False,3072,0.9026692708333334,0.9420143339640685,0.2990647781023201,0.00716145833333337,0.0026041666666666665,0.01171875,0.9817708333333334
fresh,learned_stage_consensus_tie_b,False,False,3072,0.8365885416666666,0.8998839413484165,0.40891751169463014,-0.05891927083333337,-0.07356770833333333,-0.045247395833333336,0.6842447916666666
fresh,calibrated_full_confidence,False,True,3072,0.8938802083333334,0.940674445733043,0.30283122651532796,-0.0016276041666666297,-0.005208333333333333,0.001953125,0.9768880208333334
fresh,oracle_expert,True,False,3072,0.9358723958333334,0.9593654838687798,0.26108823759873195,0.04036458333333337,0.032877604166666664,0.048177083333333336,0.9596354166666666
fresh,raw_joint_ridge_direct,False,False,3072,0.73828125,0.8250973231059296,0.6353855775373507,-0.1572265625,-0.17903645833333334,-0.1357421875,
