stream,model,decoder,full_model_outcome,n,conditional_accuracy
original,ss_ukr_rus,full_model,both_correct,1568,1.0
original,ss_ukr_rus,full_model,b_only,1153,1.0
original,ss_ukr_rus,full_model,c_only,125,0.0
original,ss_ukr_rus,full_model,both_wrong,226,0.0
original,ss_ukr_rus,raw_center/prototype,both_correct,1568,0.7901785714285714
original,ss_ukr_rus,raw_center/prototype,b_only,1153,0.7519514310494363
original,ss_ukr_rus,raw_center/prototype,c_only,125,0.432
original,ss_ukr_rus,raw_center/prototype,both_wrong,226,0.4336283185840708
original,ss_ukr_rus,raw_center/ridge,both_correct,1568,0.7901785714285714
original,ss_ukr_rus,raw_center/ridge,b_only,1153,0.7502168256721596
original,ss_ukr_rus,raw_center/ridge,c_only,125,0.432
original,ss_ukr_rus,raw_center/ridge,both_wrong,226,0.42920353982300885
original,ss_ukr_rus,raw_context/prototype,both_correct,1568,0.8386479591836735
original,ss_ukr_rus,raw_context/prototype,b_only,1153,0.8725065047701648
original,ss_ukr_rus,raw_context/prototype,c_only,125,0.416
original,ss_ukr_rus,raw_context/prototype,both_wrong,226,0.5265486725663717
original,ss_ukr_rus,raw_context/ridge,both_correct,1568,0.7487244897959183
original,ss_ukr_rus,raw_context/ridge,b_only,1153,0.6903729401561145
original,ss_ukr_rus,raw_context/ridge,c_only,125,0.384
original,ss_ukr_rus,raw_context/ridge,both_wrong,226,0.42035398230088494
original,ss_ukr_rus,raw_joint/prototype,both_correct,1568,0.7838010204081632
original,ss_ukr_rus,raw_joint/prototype,b_only,1153,0.629661751951431
original,ss_ukr_rus,raw_joint/prototype,c_only,125,0.48
original,ss_ukr_rus,raw_joint/prototype,both_wrong,226,0.3893805309734513
original,ss_ukr_rus,raw_joint/ridge,both_correct,1568,0.8341836734693877
original,ss_ukr_rus,raw_joint/ridge,b_only,1153,0.7007805724197745
original,ss_ukr_rus,raw_joint/ridge,c_only,125,0.512
original,ss_ukr_rus,raw_joint/ridge,both_wrong,226,0.39823008849557523
original,ss_ukr_rus,S0_conv_center/prototype,both_correct,1568,0.8335459183673469
original,ss_ukr_rus,S0_conv_center/prototype,b_only,1153,0.7918473547267997
original,ss_ukr_rus,S0_conv_center/prototype,c_only,125,0.344
original,ss_ukr_rus,S0_conv_center/prototype,both_wrong,226,0.35398230088495575
original,ss_ukr_rus,S0_conv_center/ridge,both_correct,1568,0.8341836734693877
original,ss_ukr_rus,S0_conv_center/ridge,b_only,1153,0.8022549869904597
