stream,model,decoder,full_model_outcome,n,conditional_accuracy
original,ss_twibot20,full_model,both_correct,225,1.0
original,ss_twibot20,full_model,b_only,27,1.0
original,ss_twibot20,full_model,c_only,1,0.0
original,ss_twibot20,full_model,both_wrong,3,0.0
original,ss_twibot20,raw_center/prototype,both_correct,225,0.7911111111111111
original,ss_twibot20,raw_center/prototype,b_only,27,0.7407407407407407
original,ss_twibot20,raw_center/prototype,c_only,1,1.0
original,ss_twibot20,raw_center/prototype,both_wrong,3,0.0
original,ss_twibot20,raw_center/ridge,both_correct,225,0.7644444444444445
original,ss_twibot20,raw_center/ridge,b_only,27,0.7407407407407407
original,ss_twibot20,raw_center/ridge,c_only,1,1.0
original,ss_twibot20,raw_center/ridge,both_wrong,3,0.0
original,ss_twibot20,raw_context/prototype,both_correct,225,1.0
original,ss_twibot20,raw_context/prototype,b_only,27,1.0
original,ss_twibot20,raw_context/prototype,c_only,1,0.0
original,ss_twibot20,raw_context/prototype,both_wrong,3,0.0
original,ss_twibot20,raw_context/ridge,both_correct,225,1.0
original,ss_twibot20,raw_context/ridge,b_only,27,1.0
original,ss_twibot20,raw_context/ridge,c_only,1,0.0
original,ss_twibot20,raw_context/ridge,both_wrong,3,0.0
original,ss_twibot20,raw_joint/prototype,both_correct,225,0.8977777777777778
original,ss_twibot20,raw_joint/prototype,b_only,27,0.9259259259259259
original,ss_twibot20,raw_joint/prototype,c_only,1,0.0
original,ss_twibot20,raw_joint/prototype,both_wrong,3,0.0
original,ss_twibot20,raw_joint/ridge,both_correct,225,0.9244444444444444
original,ss_twibot20,raw_joint/ridge,b_only,27,0.9259259259259259
original,ss_twibot20,raw_joint/ridge,c_only,1,0.0
original,ss_twibot20,raw_joint/ridge,both_wrong,3,0.0
original,ss_twibot20,S0_conv_center/prototype,both_correct,225,0.84
original,ss_twibot20,S0_conv_center/prototype,b_only,27,0.8888888888888888
original,ss_twibot20,S0_conv_center/prototype,c_only,1,1.0
original,ss_twibot20,S0_conv_center/prototype,both_wrong,3,0.0
original,ss_twibot20,S0_conv_center/ridge,both_correct,225,0.8355555555555556
original,ss_twibot20,S0_conv_center/ridge,b_only,27,0.8518518518518519
original,ss_twibot20,S0_conv_center/ridge,c_only,1,1.0
original,ss_twibot20,S0_conv_center/ridge,both_wrong,3,0.0
original,ss_twibot20,S0_pool/prototype,both_correct,225,1.0
