stream,model,full_model_outcome,n,raw_joint_ridge_accuracy,u1_ridge_accuracy,full_accuracy,encoder_repairs_rate,encoder_breaks_rate,inference_repairs_rate,inference_breaks_rate
original,ss_twibot20,all,256,0.91015625,0.984375,0.984375,0.07421875,0.0,0.0,0.0
original,ss_twibot20,both_correct,225,0.9244444444444444,1.0,1.0,0.07555555555555556,0.0,0.0,0.0
original,ss_twibot20,b_only,27,0.9259259259259259,1.0,1.0,0.07407407407407407,0.0,0.0,0.0
original,ss_twibot20,c_only,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
original,ss_twibot20,both_wrong,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
original,ss_cp_hk,all,256,0.91015625,0.9296875,0.8828125,0.0625,0.04296875,0.02734375,0.07421875
original,ss_cp_hk,both_correct,225,0.9244444444444444,0.9688888888888889,1.0,0.06222222222222222,0.017777777777777778,0.03111111111111111,0.0
original,ss_cp_hk,b_only,27,0.9259259259259259,0.7037037037037037,0.0,0.037037037037037035,0.25925925925925924,0.0,0.7037037037037037
original,ss_cp_hk,c_only,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0
original,ss_cp_hk,both_wrong,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh,ss_twibot20,all,256,0.87890625,0.9765625,0.97265625,0.09765625,0.0,0.0,0.00390625
fresh,ss_twibot20,both_correct,227,0.9118942731277533,1.0,1.0,0.0881057268722467,0.0,0.0,0.0
fresh,ss_twibot20,b_only,22,0.7727272727272727,1.0,1.0,0.22727272727272727,0.0,0.0,0.0
fresh,ss_twibot20,c_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh,ss_twibot20,both_wrong,4,0.25,0.25,0.0,0.0,0.0,0.0,0.25
fresh,ss_cp_hk,all,256,0.87890625,0.921875,0.8984375,0.0859375,0.04296875,0.03125,0.0546875
fresh,ss_cp_hk,both_correct,227,0.9118942731277533,0.973568281938326,1.0,0.08370044052863436,0.022026431718061675,0.02643171806167401,0.0
fresh,ss_cp_hk,b_only,22,0.7727272727272727,0.6363636363636364,0.0,0.09090909090909091,0.22727272727272727,0.0,0.6363636363636364
fresh,ss_cp_hk,c_only,3,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0
fresh,ss_cp_hk,both_wrong,4,0.25,0.0,0.0,0.0,0.25,0.0,0.0
