view,stream,cluster,n,selected_k,discovery_silhouette,accuracy_b,accuracy_c,b_minus_c_accuracy,b_only_rate,c_only_rate,oracle_accuracy
metadata,original,0,310,8,0.3937851150861782,0.635483870967742,0.5,0.13548387096774195,0.2967741935483871,0.16129032258064516,0.7967741935483871
metadata,original,1,484,8,0.3937851150861782,0.621900826446281,0.5661157024793388,0.05578512396694213,0.24793388429752067,0.1921487603305785,0.8140495867768595
metadata,original,2,518,8,0.3937851150861782,0.611969111969112,0.525096525096525,0.08687258687258692,0.2702702702702703,0.1833976833976834,0.7953667953667953
metadata,original,3,446,8,0.3937851150861782,0.5829596412556054,0.4820627802690583,0.1008968609865471,0.27802690582959644,0.17713004484304934,0.7600896860986547
metadata,original,4,427,8,0.3937851150861782,0.5995316159250585,0.49414519906323184,0.1053864168618267,0.26229508196721313,0.15690866510538642,0.7564402810304449
metadata,original,5,371,8,0.3937851150861782,0.5983827493261455,0.42857142857142855,0.169811320754717,0.31536388140161725,0.14555256064690028,0.7439353099730458
metadata,original,6,347,8,0.3937851150861782,0.579250720461095,0.48703170028818443,0.09221902017291062,0.27089337175792505,0.1786743515850144,0.7579250720461095
metadata,original,7,169,8,0.3937851150861782,0.6153846153846154,0.5562130177514792,0.059171597633136175,0.23668639053254437,0.17751479289940827,0.7928994082840237
metadata,fresh,0,346,8,0.3937851150861782,0.6069364161849711,0.4797687861271676,0.12716763005780346,0.2832369942196532,0.15606936416184972,0.7630057803468208
metadata,fresh,1,436,8,0.3937851150861782,0.6146788990825688,0.5045871559633027,0.11009174311926606,0.3073394495412844,0.19724770642201836,0.8119266055045872
metadata,fresh,2,528,8,0.3937851150861782,0.5871212121212122,0.5208333333333334,0.06628787878787878,0.25,0.18371212121212122,0.7708333333333334
metadata,fresh,3,398,8,0.3937851150861782,0.5452261306532663,0.5251256281407035,0.02010050251256279,0.23115577889447236,0.21105527638190955,0.7562814070351759
metadata,fresh,4,392,8,0.3937851150861782,0.5918367346938775,0.5382653061224489,0.0535714285714286,0.2602040816326531,0.2066326530612245,0.798469387755102
metadata,fresh,5,351,8,0.3937851150861782,0.6296296296296297,0.5156695156695157,0.11396011396011396,0.2535612535612536,0.1396011396011396,0.7692307692307693
metadata,fresh,6,455,8,0.3937851150861782,0.5274725274725275,0.4967032967032967,0.03076923076923077,0.27472527472527475,0.24395604395604395,0.7714285714285715
metadata,fresh,7,166,8,0.3937851150861782,0.608433734939759,0.5120481927710844,0.09638554216867468,0.25301204819277107,0.1566265060240964,0.7650602409638554
raw_center,original,0,2680,2,0.35468754172325134,0.6011194029850746,0.5011194029850746,0.09999999999999998,0.2746268656716418,0.1746268656716418,0.7757462686567164
raw_center,original,1,392,2,0.35468754172325134,0.6301020408163265,0.5255102040816326,0.10459183673469385,0.2627551020408163,0.15816326530612246,0.7882653061224489
raw_center,fresh,0,2651,2,0.35468754172325134,0.5831761599396454,0.5130139569973595,0.07016220294228592,0.26744624669935874,0.1972840437570728,0.7804602036967182
raw_center,fresh,1,421,2,0.35468754172325134,0.6009501187648456,0.505938242280285,0.09501187648456055,0.2494061757719715,0.1543942992874109,0.7553444180522565
raw_context,original,0,443,2,0.6292266845703125,0.5936794582392777,0.5349887133182845,0.05869074492099324,0.25733634311512416,0.1986455981941309,0.7923250564334086
raw_context,original,1,2629,2,0.6292266845703125,0.606694560669456,0.499049068086725,0.10764549258273104,0.27577025484975276,0.1681247622670217,0.7748193229364777
raw_context,fresh,0,441,2,0.6292266845703125,0.5827664399092971,0.5170068027210885,0.06575963718820865,0.24489795918367346,0.17913832199546487,0.7619047619047619
raw_context,fresh,1,2631,2,0.6292266845703125,0.5860889395667047,0.5112124667426834,0.07487647282402132,0.26833903458760927,0.19346256176358798,0.7795515013302927
raw_joint,original,0,443,2,0.4836491644382477,0.5936794582392777,0.5349887133182845,0.05869074492099324,0.25733634311512416,0.1986455981941309,0.7923250564334086
raw_joint,original,1,2629,2,0.4836491644382477,0.606694560669456,0.499049068086725,0.10764549258273104,0.27577025484975276,0.1681247622670217,0.7748193229364777
raw_joint,fresh,0,441,2,0.4836491644382477,0.5827664399092971,0.5170068027210885,0.06575963718820865,0.24489795918367346,0.17913832199546487,0.7619047619047619
raw_joint,fresh,1,2631,2,0.4836491644382477,0.5860889395667047,0.5112124667426834,0.07487647282402132,0.26833903458760927,0.19346256176358798,0.7795515013302927
