batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,0,0,4334,0,0,1.0,False,False
0,0,1,62981,0,0,1.0,False,False
0,0,2,934,68,68,1.0,False,False
0,0,3,66842,0,0,1.0,False,False
0,0,4,59978,9,9,1.0,False,False
0,0,5,74026,0,0,1.0,False,False
0,0,6,34373,10,10,1.0,False,False
0,0,7,42771,0,0,1.0,False,False
0,0,8,10264,0,0,1.0,False,False
0,0,9,75816,0,0,1.0,False,False
0,0,10,39173,40,40,1.0,False,False
0,0,11,26796,10,10,1.0,False,False
0,0,12,52526,0,0,1.0,False,False
0,0,13,12852,29,29,1.0,False,False
0,0,14,16487,94,94,1.0,False,False
0,0,15,77104,20,20,1.0,False,False
0,0,16,14243,10,10,1.0,False,False
0,0,17,34285,0,0,1.0,False,False
0,0,18,3300,10,10,1.0,False,False
0,0,19,9914,91,91,1.0,False,False
0,0,20,39412,0,0,1.0,False,False
0,0,21,72470,10,10,1.0,False,False
0,0,22,60115,0,0,1.0,False,False
0,0,23,4982,14,14,1.0,False,False
0,0,24,78223,60,60,1.0,False,False
0,0,25,23702,0,0,1.0,False,False
0,0,26,35973,20,20,1.0,False,False
0,0,27,3424,50,50,1.0,False,False
0,0,28,52148,10,10,1.0,False,False
0,0,29,12502,0,0,1.0,False,False
0,0,30,13749,23,23,1.0,False,False
0,0,31,67376,20,20,1.0,False,False
0,0,32,74180,60,60,1.0,False,False
0,0,33,34881,0,0,1.0,False,False
0,0,34,9642,70,70,1.0,False,False
0,0,35,54899,0,0,1.0,False,False
0,0,36,4068,0,0,1.0,False,False
0,0,37,71751,30,30,1.0,False,False
0,0,38,7916,30,30,1.0,False,False
0,0,39,17250,20,20,1.0,False,False
0,0,40,42828,0,0,1.0,False,False
0,0,41,44234,0,0,1.0,False,False
0,0,42,42873,0,0,1.0,False,False
0,0,43,24396,0,0,1.0,False,False
0,0,44,76779,17,17,1.0,False,False
0,0,45,8116,20,20,1.0,False,False
0,0,46,40729,0,0,1.0,False,False
0,0,47,39247,30,30,1.0,False,False
0,0,48,24695,0,0,1.0,False,False
0,0,49,43148,91,91,1.0,False,False
0,0,50,57782,30,30,1.0,False,False
0,0,51,73347,10,10,1.0,False,False
0,0,52,65691,10,10,1.0,False,False
0,0,53,23457,14,14,1.0,False,False
0,0,54,69428,0,0,1.0,False,False
0,0,55,71409,0,0,1.0,False,False
0,0,56,11324,23,23,1.0,False,False
0,0,57,78281,0,0,1.0,False,False
0,0,58,23252,29,29,1.0,False,False
0,0,59,9995,83,83,1.0,False,False
