batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,0,0,58421,7,7,1.0,False,False
0,0,1,78712,10,10,1.0,False,False
0,0,2,64815,5,5,1.0,False,False
0,0,3,8321,9,9,1.0,False,False
0,0,4,142855,20,20,1.0,False,False
0,0,5,112134,15,15,1.0,False,False
0,0,6,108005,3,3,1.0,False,False
0,0,7,83520,5,5,1.0,False,False
0,0,8,92640,4,4,1.0,False,False
0,0,9,125058,3,3,1.0,False,False
0,0,10,126684,10,10,1.0,False,False
0,0,11,46606,4,4,1.0,False,False
0,0,12,44299,20,20,1.0,False,False
0,0,13,52537,2,2,1.0,False,False
0,0,14,45776,10,10,1.0,False,False
0,0,15,109034,16,16,1.0,False,False
0,0,16,43990,9,9,1.0,False,False
0,0,17,148018,3,3,1.0,False,False
0,0,18,42174,66,66,1.0,False,False
0,0,19,56758,19,19,1.0,False,False
0,0,20,21464,1,1,1.0,False,False
0,0,21,146420,1,1,1.0,False,False
0,0,22,1096,6,6,1.0,False,False
0,0,23,75993,4,4,1.0,False,False
0,0,24,87757,1,1,1.0,False,False
0,0,25,59980,10,10,1.0,False,False
0,0,26,124982,2,2,1.0,False,False
0,0,27,141402,2,2,1.0,False,False
0,0,28,111056,1,1,1.0,False,False
0,0,29,1841,3,3,1.0,False,False
0,0,30,137821,0,0,1.0,False,False
0,0,31,46731,2,2,1.0,False,False
0,0,32,71725,12,12,1.0,False,False
0,0,33,103468,19,19,1.0,False,False
0,0,34,105546,2,2,1.0,False,False
0,0,35,99944,11,11,1.0,False,False
0,0,36,113460,10,10,1.0,False,False
0,0,37,98104,1,1,1.0,False,False
0,0,38,91888,0,0,1.0,False,False
0,0,39,36237,0,0,1.0,False,False
0,0,40,83916,1,1,1.0,False,False
0,0,41,147819,11,11,1.0,False,False
0,0,42,11000,2,2,1.0,False,False
0,0,43,148867,1,1,1.0,False,False
0,0,44,83504,1,1,1.0,False,False
0,0,45,133794,34,34,1.0,False,False
0,0,46,123557,0,0,1.0,False,False
0,0,47,62311,87,87,1.0,False,False
0,0,48,19011,0,0,1.0,False,False
0,0,49,81867,7,7,1.0,False,False
