stream,scope,schedule,reference,metric,mean_delta_rung2,mean_delta_rungs3_4,rung2_minus_larger_interaction,crossed_seed_target_bootstrap_low,crossed_seed_target_bootstrap_high
fresh,all_targets,blocked,interleaved,accuracy,-0.002517361111111116,-0.005023871527777779,0.002506510416666663,-0.012879774305555543,0.015039062499999978
fresh,all_targets,blocked,interleaved,roc_auc,-0.0010189904106987946,-0.004142205509138693,0.003123215098439899,-0.01324286755220393,0.018725479973687113
fresh,all_targets,replay100,interleaved,accuracy,0.0038411458333333258,-0.0013563368055555544,0.00519748263888888,-0.01070963541666669,0.02342664930555555
fresh,all_targets,replay100,interleaved,roc_auc,0.0029605488718291717,-0.0016222376882294184,0.00458278656005859,-0.01089363098144528,0.021830820154260723
fresh,above_chance_targets,blocked,interleaved,accuracy,-0.002170138888888895,-0.0020480685763888903,-0.00012207031250000477,-0.015082465277777762,0.011935763888888876
fresh,above_chance_targets,blocked,interleaved,roc_auc,-0.004727310604519326,-0.0033365296728816995,-0.0013907809316376267,-0.018952575730688807,0.016697406768798856
fresh,above_chance_targets,replay100,interleaved,accuracy,0.002197265624999991,-0.0002305772569444429,0.0024278428819444337,-0.015787760416666692,0.02202690972222221
fresh,above_chance_targets,replay100,interleaved,roc_auc,-0.0010142797305260354,-0.0007206275139326063,-0.0002936522165934291,-0.016923833776403427,0.013054927190144857
original,all_targets,blocked,interleaved,accuracy,0.00944010416666666,0.0012369791666666666,0.008203124999999992,-0.006217447916666675,0.028190104166666667
original,all_targets,blocked,interleaved,roc_auc,0.004759517716772728,-0.0028033103471920857,0.007562828063964814,-0.008161714341905464,0.025531133015950523
original,all_targets,replay100,interleaved,accuracy,0.005772569444444434,0.004242621527777783,0.0015299479166666517,-0.014908854166666693,0.02532714843749997
original,all_targets,replay100,interleaved,roc_auc,0.002238629188066632,0.002840659059124214,-0.000602029871057582,-0.012561220063103565,0.010162654923804007
original,above_chance_targets,blocked,interleaved,accuracy,0.0007324218749999908,-0.0018717447916666667,0.0026041666666666574,-0.008789062500000019,0.015448676215277781
original,above_chance_targets,blocked,interleaved,roc_auc,-0.0018173264868465895,-0.005299588780344274,0.0034822622934976843,-0.01235324953809204,0.022593274528597593
original,above_chance_targets,replay100,interleaved,accuracy,0.0013563368055555431,0.0023735894097222285,-0.0010172526041666854,-0.013427734375000019,0.01543511284722222
original,above_chance_targets,replay100,interleaved,roc_auc,-0.0014563725318437932,0.001089072521821934,-0.002545445053665727,-0.017218784049705248,0.005875599237135876
