target,rung,seed,method,reference,target_supported_at_0_55,delta_accuracy,delta_roc_auc,delta_nll
election2020,2,0,support_loo,discovery_auc_fixed,True,0.0,-0.0001220703125,0.00011721094872199633
election2020,2,1,support_loo,discovery_auc_fixed,True,0.0,-0.00091552734375,0.037155420770794576
election2020,2,2,support_loo,discovery_auc_fixed,True,0.0,6.103515625e-05,-2.567572064829382e-05
election2020,3,0,support_loo,discovery_auc_fixed,True,0.0,-0.0050048828125,0.05936851566720075
election2020,3,1,support_loo,discovery_auc_fixed,True,-0.00390625,-0.0003662109375,0.024087725630968213
election2020,3,2,support_loo,discovery_auc_fixed,True,0.00390625,-0.00439453125,0.041731253160045154
election2020,4,0,support_loo,discovery_auc_fixed,True,0.0,0.00067138671875,-0.024494285163707052
election2020,4,1,support_loo,discovery_auc_fixed,True,0.0,0.00048828125,-8.5862843909143e-05
election2020,4,2,support_loo,discovery_auc_fixed,True,0.0,0.00201416015625,0.033397245451026014
ukr_rus_suspended,2,0,support_loo,discovery_auc_fixed,False,-0.00390625,-0.0089111328125,0.019861229437818873
ukr_rus_suspended,2,1,support_loo,discovery_auc_fixed,False,0.0078125,0.01446533203125,0.00880422945490611
ukr_rus_suspended,2,2,support_loo,discovery_auc_fixed,False,0.04296875,-0.0064697265625,0.008353822638497266
ukr_rus_suspended,3,0,support_loo,discovery_auc_fixed,False,0.0078125,-0.0028076171875,-0.008788881252659864
ukr_rus_suspended,3,1,support_loo,discovery_auc_fixed,False,-0.01171875,0.00567626953125,0.024104773290949955
ukr_rus_suspended,3,2,support_loo,discovery_auc_fixed,False,-0.01171875,0.01190185546875,-0.011190005350796284
ukr_rus_suspended,4,0,support_loo,discovery_auc_fixed,False,0.03125,0.02105712890625,-0.24623089242618512
ukr_rus_suspended,4,1,support_loo,discovery_auc_fixed,False,-0.01953125,0.00146484375,-0.009106000470849862
ukr_rus_suspended,4,2,support_loo,discovery_auc_fixed,False,-0.0234375,0.0010986328125,-0.04261194208929986
twibot20,2,0,support_loo,discovery_auc_fixed,True,-0.001953125,-0.0022739834255642855,0.024439635353408207
twibot20,2,1,support_loo,discovery_auc_fixed,True,-0.00618489583333337,-0.007680257161458259,0.06889371346108542
twibot20,2,2,support_loo,discovery_auc_fixed,True,-0.0205078125,-0.01823700798882366,0.0245271383048824
twibot20,3,0,support_loo,discovery_auc_fixed,True,-0.00651041666666663,-0.016878128051757924,0.06619026938611905
twibot20,3,1,support_loo,discovery_auc_fixed,True,-0.0166015625,-0.020773357815212723,0.07842049327569522
twibot20,3,2,support_loo,discovery_auc_fixed,True,-0.00911458333333337,-0.012352625528971317,0.04157895056159
twibot20,4,0,support_loo,discovery_auc_fixed,True,-0.0185546875,-0.03716850280761719,0.3789804137066498
twibot20,4,1,support_loo,discovery_auc_fixed,True,-0.021484375,-0.025561226738823772,0.0397855773445448
twibot20,4,2,support_loo,discovery_auc_fixed,True,0.01139322916666663,-0.0071139865451388395,-0.051623580783594636
covid_political,2,0,support_loo,discovery_auc_fixed,True,-0.0048828125,-0.000732421874999889,-0.00460252142508788
covid_political,2,1,support_loo,discovery_auc_fixed,True,0.00813802083333326,0.0025973849826388395,-0.01678639765829698
covid_political,2,2,support_loo,discovery_auc_fixed,True,0.01822916666666663,-0.0011483651620370905,-0.008410928882545243
covid_political,3,0,support_loo,discovery_auc_fixed,True,-0.005859375,-0.004010800962094829,0.03464841360796517
covid_political,3,1,support_loo,discovery_auc_fixed,True,0.01595052083333337,-0.0056723135489004095,0.03678658687871994
covid_political,3,2,support_loo,discovery_auc_fixed,True,0.01497395833333337,-0.0010274251302085924,-0.04136160224664831
covid_political,4,0,support_loo,discovery_auc_fixed,True,-0.02018229166666663,-0.00692805537471064,0.10393181168457849
covid_political,4,1,support_loo,discovery_auc_fixed,True,0.02213541666666663,-0.0036649350766783106,-0.05127677635410849
covid_political,4,2,support_loo,discovery_auc_fixed,True,0.0107421875,-0.006026656539351749,-0.020477979331975427
facebook_page_reference,2,0,support_loo,discovery_auc_fixed,True,-0.005859375,-0.005413055419921875,0.13442410036958563
facebook_page_reference,2,1,support_loo,discovery_auc_fixed,True,-0.0107421875,-0.022979736328125,0.014707737725463965
facebook_page_reference,2,2,support_loo,discovery_auc_fixed,True,0.0009765625,-0.002185821533203125,-0.008700639803400856
facebook_page_reference,3,0,support_loo,discovery_auc_fixed,True,-0.0078125,-0.0126800537109375,0.07755806059291326
facebook_page_reference,3,1,support_loo,discovery_auc_fixed,True,-0.0078125,-0.01782989501953125,0.052335599448670944
facebook_page_reference,3,2,support_loo,discovery_auc_fixed,True,-0.0068359375,0.0022068023681640625,-0.022573980937202087
facebook_page_reference,4,0,support_loo,discovery_auc_fixed,True,-0.0029296875,-0.02048492431640625,0.08481512080362763
facebook_page_reference,4,1,support_loo,discovery_auc_fixed,True,0.013671875,0.018522262573242188,0.09023689358355524
facebook_page_reference,4,2,support_loo,discovery_auc_fixed,True,0.01171875,0.005397796630859375,0.09607943218226234
election2020,2,0,trace_health_fusion,discovery_auc_fixed,True,0.0,0.00323486328125,-0.048562714441536314
election2020,2,1,trace_health_fusion,discovery_auc_fixed,True,0.0,-0.00079345703125,0.014173072880349802
election2020,2,2,trace_health_fusion,discovery_auc_fixed,True,0.0,-0.00067138671875,-0.005804230549725786
election2020,3,0,trace_health_fusion,discovery_auc_fixed,True,0.0,-0.00103759765625,-0.007812528338840496
election2020,3,1,trace_health_fusion,discovery_auc_fixed,True,-0.00390625,0.00018310546875,0.010362342243260256
election2020,3,2,trace_health_fusion,discovery_auc_fixed,True,0.00390625,-0.00067138671875,0.004751979445909743
election2020,4,0,trace_health_fusion,discovery_auc_fixed,True,0.0,0.0020751953125,-0.02172497845437954
election2020,4,1,trace_health_fusion,discovery_auc_fixed,True,0.0,-0.000732421875,0.0036437783643128024
election2020,4,2,trace_health_fusion,discovery_auc_fixed,True,0.00390625,0.00048828125,-0.00598580582220673
ukr_rus_suspended,2,0,trace_health_fusion,discovery_auc_fixed,False,0.01171875,-0.00262451171875,-0.02105710719824372
ukr_rus_suspended,2,1,trace_health_fusion,discovery_auc_fixed,False,-0.05078125,-0.02392578125,0.009963173332888875
ukr_rus_suspended,2,2,trace_health_fusion,discovery_auc_fixed,False,0.02734375,0.005859375,-0.036682529687346976
ukr_rus_suspended,3,0,trace_health_fusion,discovery_auc_fixed,False,-0.01953125,-0.01202392578125,-0.0626296491823336
ukr_rus_suspended,3,1,trace_health_fusion,discovery_auc_fixed,False,-0.00390625,0.0020751953125,-0.014091666902579791
ukr_rus_suspended,3,2,trace_health_fusion,discovery_auc_fixed,False,0.00390625,-0.0009765625,-0.02683561817259461
ukr_rus_suspended,4,0,trace_health_fusion,discovery_auc_fixed,False,0.01171875,0.010009765625,-0.4831789121445256
ukr_rus_suspended,4,1,trace_health_fusion,discovery_auc_fixed,False,-0.046875,-0.0208740234375,-0.0250871627626279
ukr_rus_suspended,4,2,trace_health_fusion,discovery_auc_fixed,False,-0.01171875,0.00701904296875,-0.053926453555922516
twibot20,2,0,trace_health_fusion,discovery_auc_fixed,True,0.021484375,0.012541664971245647,-0.10867469592984524
twibot20,2,1,trace_health_fusion,discovery_auc_fixed,True,0.005859375,-0.001206927829318527,-0.0072113412034681135
twibot20,2,2,trace_health_fusion,discovery_auc_fixed,True,-0.00032552083333337034,-0.005817413330078014,-0.08243533898631006
twibot20,3,0,trace_health_fusion,discovery_auc_fixed,True,0.00032552083333337034,-0.010552936130099888,-0.06107237342819638
twibot20,3,1,trace_health_fusion,discovery_auc_fixed,True,0.0087890625,-0.010247760348849999,-0.01605634392579658
twibot20,3,2,trace_health_fusion,discovery_auc_fixed,True,0.009765625,-0.0013612111409505578,-0.09665803628987624
twibot20,4,0,trace_health_fusion,discovery_auc_fixed,True,0.0107421875,-0.004988988240559933,0.09232909428281066
twibot20,4,1,trace_health_fusion,discovery_auc_fixed,True,-0.00813802083333326,-0.008033540513780357,-0.14193370912799808
twibot20,4,2,trace_health_fusion,discovery_auc_fixed,True,0.02734375,0.01483154296875,-0.16401372108175982
covid_political,2,0,trace_health_fusion,discovery_auc_fixed,True,0.00748697916666663,0.0020768907335069198,-0.06966919147370221
covid_political,2,1,trace_health_fusion,discovery_auc_fixed,True,0.02083333333333326,0.002458360460069531,-0.06858038320703097
covid_political,2,2,trace_health_fusion,discovery_auc_fixed,True,0.033203125,0.00525806568287035,-0.06126751652420137
covid_political,3,0,trace_health_fusion,discovery_auc_fixed,True,0.0244140625,-0.00049562807436343,-0.05317527045700132
covid_political,3,1,trace_health_fusion,discovery_auc_fixed,True,0.02766927083333337,-0.0007589834707751875,-0.07151165687590327
covid_political,3,2,trace_health_fusion,discovery_auc_fixed,True,0.02864583333333337,0.0013331660517940103,-0.08858514692800545
covid_political,4,0,trace_health_fusion,discovery_auc_fixed,True,0.01106770833333337,0.00020175509982633955,-0.03881590890392461
covid_political,4,1,trace_health_fusion,discovery_auc_fixed,True,0.02897135416666663,0.0013246889467591894,-0.09344979679463777
covid_political,4,2,trace_health_fusion,discovery_auc_fixed,True,0.01627604166666663,-0.0015287046079280886,-0.08533449148290861
facebook_page_reference,2,0,trace_health_fusion,discovery_auc_fixed,True,0.0263671875,0.009326934814453125,-0.0403413960885578
facebook_page_reference,2,1,trace_health_fusion,discovery_auc_fixed,True,0.009765625,8.7738037109375e-05,-0.12528097644166247
facebook_page_reference,2,2,trace_health_fusion,discovery_auc_fixed,True,0.021484375,0.0103912353515625,-0.1795935127920777
facebook_page_reference,3,0,trace_health_fusion,discovery_auc_fixed,True,0.0244140625,0.0128326416015625,-0.1478714378096383
facebook_page_reference,3,1,trace_health_fusion,discovery_auc_fixed,True,0.01953125,0.006992340087890625,-0.20305877426948493
