left,right,abs,frac_left,frac_right
ukraine,covid,2271751,0.19217,0.07450
ukraine,midterm,155507,0.01315,0.39025
ukraine,covid-political,501,0.00004,0.00638
ukraine,ukraine-suspended,43645,0.00369,0.99968
ukraine,election2020-political,260,0.00002,0.00331
ukraine,twibot20,21871,0.00185,0.11859
ukraine,hongkong,73402,0.00621,0.29785
ukraine,facebook-page-reference,2236,0.00019,0.01595
covid,midterm,84586,0.00277,0.21227
covid,covid-political,1697,0.00006,0.02159
covid,ukraine-suspended,12975,0.00043,0.29719
covid,election2020-political,1083,0.00004,0.01377
covid,twibot20,84595,0.00277,0.45869
covid,hongkong,95967,0.00315,0.38941
covid,facebook-page-reference,2281,0.00007,0.01627
midterm,covid-political,105,0.00026,0.00134
midterm,ukraine-suspended,4615,0.01158,0.10571
midterm,election2020-political,97,0.00024,0.00123
midterm,twibot20,3141,0.00788,0.01703
midterm,hongkong,5563,0.01396,0.02257
midterm,facebook-page-reference,274,0.00069,0.00195
covid-political,ukraine-suspended,6,0.00008,0.00014
covid-political,election2020-political,16334,0.20785,0.20763
covid-political,twibot20,35,0.00045,0.00019
covid-political,hongkong,25,0.00032,0.00010
covid-political,facebook-page-reference,2,0.00003,0.00001
ukraine-suspended,election2020-political,17,0.00039,0.00022
ukraine-suspended,twibot20,561,0.01285,0.00304
ukraine-suspended,hongkong,1597,0.03658,0.00648
ukraine-suspended,facebook-page-reference,91,0.00208,0.00065
election2020-political,twibot20,27,0.00034,0.00015
election2020-political,hongkong,30,0.00038,0.00012
election2020-political,facebook-page-reference,1,0.00001,0.00001
twibot20,hongkong,1618,0.00877,0.00657
twibot20,facebook-page-reference,253,0.00137,0.00180
hongkong,facebook-page-reference,160,0.00065,0.00114
