left,right,shared_soft_dimensions,fraction_of_smaller,random_expectation
ukraine,covid,125.3,0.949,22.9
ukraine,midterm,98.4,0.947,17.9
ukraine,twibot20,112.2,0.943,20.5
ukraine,facebook-page-reference,99.0,0.805,21.1
ukraine,covid-political,89.7,0.897,17.2
ukraine,ukraine-suspended,109.3,0.942,19.9
ukraine,election2020-political,71.5,0.861,14.3
ukraine,hongkong,109.2,0.918,20.5
covid,midterm,98.0,0.942,18.0
covid,twibot20,112.1,0.942,20.6
covid,facebook-page-reference,98.3,0.799,21.3
covid,covid-political,89.5,0.895,17.3
covid,ukraine-suspended,105.8,0.912,20.1
covid,election2020-political,71.2,0.858,14.4
covid,hongkong,110.6,0.930,20.6
midterm,twibot20,95.7,0.920,16.1
midterm,facebook-page-reference,81.8,0.786,16.7
midterm,covid-political,87.0,0.870,13.5
midterm,ukraine-suspended,94.3,0.907,15.7
midterm,election2020-political,72.4,0.872,11.2
midterm,hongkong,91.7,0.882,16.1
twibot20,facebook-page-reference,94.8,0.797,19.1
twibot20,covid-political,89.3,0.893,15.5
twibot20,ukraine-suspended,98.9,0.853,18.0
twibot20,election2020-political,70.7,0.851,12.9
twibot20,hongkong,98.4,0.826,18.4
facebook-page-reference,covid-political,77.4,0.774,16.0
facebook-page-reference,ukraine-suspended,89.3,0.770,18.6
facebook-page-reference,election2020-political,62.2,0.750,13.3
facebook-page-reference,hongkong,87.7,0.737,19.1
covid-political,ukraine-suspended,84.9,0.849,15.1
covid-political,election2020-political,78.8,0.950,10.8
covid-political,hongkong,82.2,0.822,15.5
ukraine-suspended,election2020-political,71.2,0.857,12.5
ukraine-suspended,hongkong,97.2,0.838,18.0
election2020-political,hongkong,66.8,0.804,12.9
