model_id,target,head_kind,label_seed,label_budget_per_class,head_updates,split,classes,labeled_examples,selected_nodes_fingerprint,split_fingerprint,head_initialization_fingerprint,optimizer,learning_rate,weight_decay,training_loss,training_roc_auc,training_accuracy,training_macro_f1,roc_auc,accuracy,macro_f1
graphsage_pilot_v1,covid_political,linear,0,0,0,val,2,0,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,none,0.0,0.0,,,,,0.6549512678386218,0.516842506673446,0.5073680619751678
graphsage_pilot_v1,covid_political,linear,0,0,0,test,2,0,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,none,0.0,0.0,,,,,0.6518076386829819,0.5174145163340537,0.5071283288304456
graphsage_pilot_v1,covid_political,linear,0,1,0,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6227830648422241,1.0,1.0,1.0,0.6549512678386218,0.516842506673446,0.5073680619751678
graphsage_pilot_v1,covid_political,linear,0,1,0,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6227830648422241,1.0,1.0,1.0,0.6518076386829819,0.5174145163340537,0.5071283288304456
graphsage_pilot_v1,covid_political,linear,0,1,1,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.3001500964164734,1.0,1.0,1.0,0.6495516797724155,0.5097241642303292,0.5014081681690387
graphsage_pilot_v1,covid_political,linear,0,1,1,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.3001500964164734,1.0,1.0,1.0,0.6496362172069505,0.5095334943434601,0.5006809544071091
graphsage_pilot_v1,covid_political,linear,0,1,3,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0788416117429733,1.0,1.0,1.0,0.5486553437607404,0.5068005592983348,0.4987827847457418
graphsage_pilot_v1,covid_political,linear,0,1,3,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0788416117429733,1.0,1.0,1.0,0.5444094986805093,0.5064192195245965,0.4978617393682842
graphsage_pilot_v1,covid_political,linear,0,1,10,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0046589416451752,1.0,1.0,1.0,0.5483511394721972,0.5068005592983348,0.4984851352665768
graphsage_pilot_v1,covid_political,linear,0,1,10,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0046589416451752,1.0,1.0,1.0,0.5440596496138079,0.5061014363798144,0.4973421819161647
graphsage_pilot_v1,covid_political,linear,0,1,30,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0004057460464537,1.0,1.0,1.0,0.5482448452008125,0.506991229185204,0.4985869710932717
graphsage_pilot_v1,covid_political,linear,0,1,30,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0004057460464537,1.0,1.0,1.0,0.5440119172231188,0.5062921062666836,0.4974415767774583
graphsage_pilot_v1,covid_political,linear,0,1,100,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0002153655077563,1.0,1.0,1.0,0.5482635684757025,0.5093428244565908,0.5005641276645575
graphsage_pilot_v1,covid_political,linear,0,1,100,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0002153655077563,1.0,1.0,1.0,0.544032880332287,0.5087708147959832,0.4995210846369012
graphsage_pilot_v1,covid_political,linear,0,1,300,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0001173480122815,1.0,1.0,1.0,0.5483661441872658,0.5096606076013728,0.5006200646645123
graphsage_pilot_v1,covid_political,linear,0,1,300,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.0001173480122815,1.0,1.0,1.0,0.5440074158085981,0.509215711198678,0.4996814296382987
graphsage_pilot_v1,covid_political,linear,0,1,1000,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,2.777500958472956e-05,1.0,1.0,1.0,0.5456368082622485,0.5095970509724165,0.5003716731157171
graphsage_pilot_v1,covid_political,linear,0,1,1000,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,2.777500958472956e-05,1.0,1.0,1.0,0.5404567130823392,0.509215711198678,0.4995376638498111
graphsage_pilot_v1,covid_political,linear,0,1,3000,val,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,3.993495738541242e-06,1.0,1.0,1.0,0.5440631615869724,0.515253590949536,0.5049027648710421
graphsage_pilot_v1,covid_political,linear,0,1,3000,test,2,2,83cb1f5f80360408baf933c03274febff7c6d49f773d7382e9ebea1efe88cb54,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,3.993495738541242e-06,1.0,1.0,1.0,0.5391010696948356,0.5158256006101436,0.5047204964529688
graphsage_pilot_v1,covid_political,linear,0,10,0,val,2,20,fd81701c0bd9f5dde83c0f8fe71b62765f94b2a9027e4cc8613e624847ba0206,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.7347674369812012,0.425,0.45,0.4486215538847117,0.6549512678386218,0.516842506673446,0.5073680619751678
graphsage_pilot_v1,covid_political,linear,0,10,0,test,2,20,fd81701c0bd9f5dde83c0f8fe71b62765f94b2a9027e4cc8613e624847ba0206,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.7347674369812012,0.425,0.45,0.4486215538847117,0.6518076386829819,0.5174145163340537,0.5071283288304456
graphsage_pilot_v1,covid_political,linear,0,10,1,val,2,20,fd81701c0bd9f5dde83c0f8fe71b62765f94b2a9027e4cc8613e624847ba0206,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.628282368183136,0.625,0.6,0.5833333333333333,0.6224942859761693,0.6636583195627304,0.5805381426976777
graphsage_pilot_v1,covid_political,linear,0,10,1,test,2,20,fd81701c0bd9f5dde83c0f8fe71b62765f94b2a9027e4cc8613e624847ba0206,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.628282368183136,0.625,0.6,0.5833333333333333,0.6245712973500696,0.66931485953985,0.5856833204871581
graphsage_pilot_v1,covid_political,linear,0,10,3,val,2,20,fd81701c0bd9f5dde83c0f8fe71b62765f94b2a9027e4cc8613e624847ba0206,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6118248701095581,0.645,0.65,0.6011396011396011,0.5221153299368313,0.6949917376382356,0.532771978793163
graphsage_pilot_v1,covid_political,linear,0,10,3,test,2,20,fd81701c0bd9f5dde83c0f8fe71b62765f94b2a9027e4cc8613e624847ba0206,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6118248701095581,0.645,0.65,0.6011396011396011,0.5276101327058318,0.6982331257150121,0.540314836175551
graphsage_pilot_v1,covid_political,linear,0,10,10,val,2,20,fd81701c0bd9f5dde83c0f8fe71b62765f94b2a9027e4cc8613e624847ba0206,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6204884052276611,0.585,0.65,0.6011396011396011,0.5375949442373685,0.6944197279776281,0.5459096334559206
