target,label_budget_per_class,selected_head_updates,development_validation_roc_auc,development_targets
covid_political,1,3,0.5798790123992458,"election2020,twibot20,ukr_rus_suspended"
covid_political,10,3,0.6578287326698813,"election2020,twibot20,ukr_rus_suspended"
covid_political,100,10,0.6938220580664137,"election2020,twibot20,ukr_rus_suspended"
election2020,1,3,0.5857299333550903,"covid_political,twibot20,ukr_rus_suspended"
election2020,10,10,0.6366336564852833,"covid_political,twibot20,ukr_rus_suspended"
election2020,100,10,0.6811059424356484,"covid_political,twibot20,ukr_rus_suspended"
twibot20,1,3,0.6482018562221143,"covid_political,election2020,ukr_rus_suspended"
twibot20,10,10,0.714058973805225,"covid_political,election2020,ukr_rus_suspended"
twibot20,100,10,0.7462631029047956,"covid_political,election2020,ukr_rus_suspended"
ukr_rus_suspended,1,3,0.6543857663054974,"covid_political,election2020,twibot20"
ukr_rus_suspended,10,10,0.7388564253519021,"covid_political,election2020,twibot20"
ukr_rus_suspended,100,10,0.791348516041642,"covid_political,election2020,twibot20"
