family,model_id,target,label_seed,label_efficiency_auc
GraphSAGE,graphsage_pilot_v1,covid_political,0,0.5850136266327207
GraphSAGE,graphsage_pilot_v1,covid_political,1,0.6377702706849098
GraphSAGE,graphsage_pilot_v1,covid_political,2,0.6603227021971303
GraphSAGE,graphsage_pilot_v1,election2020,0,0.5405809802959037
GraphSAGE,graphsage_pilot_v1,election2020,1,0.5314571650422631
GraphSAGE,graphsage_pilot_v1,election2020,2,0.5091990619020828
GraphSAGE,graphsage_pilot_v1,twibot20,0,0.5343153569392818
GraphSAGE,graphsage_pilot_v1,twibot20,1,0.6510107170259086
GraphSAGE,graphsage_pilot_v1,twibot20,2,0.6317046615363855
GraphSAGE,graphsage_pilot_v1,ukr_rus_suspended,0,0.5460041253550023
GraphSAGE,graphsage_pilot_v1,ukr_rus_suspended,1,0.5654449880636322
GraphSAGE,graphsage_pilot_v1,ukr_rus_suspended,2,0.4821922441381205
PRODIGY,prodigy_all9_s0,covid_political,0,0.8866332266547317
PRODIGY,prodigy_all9_s0,covid_political,1,0.8092556936895086
PRODIGY,prodigy_all9_s0,covid_political,2,0.8362534557343004
PRODIGY,prodigy_all9_s0,election2020,0,0.9614001407366847
PRODIGY,prodigy_all9_s0,election2020,1,0.9078066348947607
PRODIGY,prodigy_all9_s0,election2020,2,0.9451759142092991
PRODIGY,prodigy_all9_s0,twibot20,0,0.6135460444802825
PRODIGY,prodigy_all9_s0,twibot20,1,0.6733774260663761
PRODIGY,prodigy_all9_s0,twibot20,2,0.5852776532761916
PRODIGY,prodigy_all9_s0,ukr_rus_suspended,0,0.5105550924166541
PRODIGY,prodigy_all9_s0,ukr_rus_suspended,1,0.5250553315602865
PRODIGY,prodigy_all9_s0,ukr_rus_suspended,2,0.49921791130820525
PRODIGY,prodigy_all9_s1,covid_political,0,0.8697452566418585
PRODIGY,prodigy_all9_s1,covid_political,1,0.8334170060182448
PRODIGY,prodigy_all9_s1,covid_political,2,0.846508401841348
PRODIGY,prodigy_all9_s1,election2020,0,0.9698507664976885
PRODIGY,prodigy_all9_s1,election2020,1,0.9472435946159627
PRODIGY,prodigy_all9_s1,election2020,2,0.9375065843469809
PRODIGY,prodigy_all9_s1,twibot20,0,0.6434867623853799
PRODIGY,prodigy_all9_s1,twibot20,1,0.6834969004550927
PRODIGY,prodigy_all9_s1,twibot20,2,0.6353797600807278
PRODIGY,prodigy_all9_s1,ukr_rus_suspended,0,0.5146782331086168
PRODIGY,prodigy_all9_s1,ukr_rus_suspended,1,0.5204530267327381
PRODIGY,prodigy_all9_s1,ukr_rus_suspended,2,0.4987180847308132
PRODIGY,prodigy_all9_s2,covid_political,0,0.8530088658928723
PRODIGY,prodigy_all9_s2,covid_political,1,0.7897328200594992
PRODIGY,prodigy_all9_s2,covid_political,2,0.8720908641703617
PRODIGY,prodigy_all9_s2,election2020,0,0.9084426602095722
PRODIGY,prodigy_all9_s2,election2020,1,0.8970566439189269
PRODIGY,prodigy_all9_s2,election2020,2,0.9527065096112891
PRODIGY,prodigy_all9_s2,twibot20,0,0.6573381488707928
PRODIGY,prodigy_all9_s2,twibot20,1,0.6872485988885427
PRODIGY,prodigy_all9_s2,twibot20,2,0.6129323153251395
PRODIGY,prodigy_all9_s2,ukr_rus_suspended,0,0.521604531758087
PRODIGY,prodigy_all9_s2,ukr_rus_suspended,1,0.5119261844609974
PRODIGY,prodigy_all9_s2,ukr_rus_suspended,2,0.49867402445707576
Raw MLP,raw_mlp,covid_political,0,0.7613823629738299
Raw MLP,raw_mlp,covid_political,1,0.7148965243017906
Raw MLP,raw_mlp,covid_political,2,0.7077682768339449
Raw MLP,raw_mlp,election2020,0,0.743873537913998
Raw MLP,raw_mlp,election2020,1,0.7812128231740672
Raw MLP,raw_mlp,election2020,2,0.7891612127608604
Raw MLP,raw_mlp,twibot20,0,0.54188205682751
Raw MLP,raw_mlp,twibot20,1,0.5303428454452171
Raw MLP,raw_mlp,twibot20,2,0.5404656302011646
Raw MLP,raw_mlp,ukr_rus_suspended,0,0.5049439133219887
Raw MLP,raw_mlp,ukr_rus_suspended,1,0.5087337307367884
Raw MLP,raw_mlp,ukr_rus_suspended,2,0.5319592822352587
Raw logistic,raw_logistic,covid_political,0,0.7738055682606839
Raw logistic,raw_logistic,covid_political,1,0.786412375552812
Raw logistic,raw_logistic,covid_political,2,0.7616705371910296
Raw logistic,raw_logistic,election2020,0,0.8001970966139477
Raw logistic,raw_logistic,election2020,1,0.758120051284678
Raw logistic,raw_logistic,election2020,2,0.8377759147025978
Raw logistic,raw_logistic,twibot20,0,0.5439766058718053
Raw logistic,raw_logistic,twibot20,1,0.5222219248334388
Raw logistic,raw_logistic,twibot20,2,0.5310362319012684
Raw logistic,raw_logistic,ukr_rus_suspended,0,0.5090784270749463
Raw logistic,raw_logistic,ukr_rus_suspended,1,0.5103569159056912
Raw logistic,raw_logistic,ukr_rus_suspended,2,0.528004947856788
SAMGPT,samgpt_all9_s39,covid_political,0,0.7785631293266485
SAMGPT,samgpt_all9_s39,covid_political,1,0.7437384556788629
SAMGPT,samgpt_all9_s39,covid_political,2,0.7829907867590602
SAMGPT,samgpt_all9_s39,election2020,0,0.8244467918482105
SAMGPT,samgpt_all9_s39,election2020,1,0.8516621714771399
SAMGPT,samgpt_all9_s39,election2020,2,0.8352149033513493
SAMGPT,samgpt_all9_s39,twibot20,0,0.5807793754487839
SAMGPT,samgpt_all9_s39,twibot20,1,0.6922904856880854
SAMGPT,samgpt_all9_s39,twibot20,2,0.5449701990203142
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,0,0.5349002109159826
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,1,0.5153225622161991
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,2,0.5049469122958246
SAMGPT,samgpt_all9_s40,covid_political,0,0.767749453864334
SAMGPT,samgpt_all9_s40,covid_political,1,0.731535350285323
SAMGPT,samgpt_all9_s40,covid_political,2,0.7624008640576494
SAMGPT,samgpt_all9_s40,election2020,0,0.826069049406749
SAMGPT,samgpt_all9_s40,election2020,1,0.8454749602183737
SAMGPT,samgpt_all9_s40,election2020,2,0.8468641816100292
SAMGPT,samgpt_all9_s40,twibot20,0,0.5496114905849137
SAMGPT,samgpt_all9_s40,twibot20,1,0.6837784427190869
SAMGPT,samgpt_all9_s40,twibot20,2,0.5426311250672757
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,0,0.5342217196917666
