target,family,label_budget_per_class,test_roc_auc_mean
covid_political,GraphSAGE,1,0.595894445381333
covid_political,GraphSAGE,10,0.6019169900744535
covid_political,GraphSAGE,100,0.6473408799801473
covid_political,PRODIGY,1,0.8324415663902888
covid_political,PRODIGY,10,0.932792380736164
covid_political,PRODIGY,100,0.9481632398470722
covid_political,Raw MLP,1,0.732199839464046
covid_political,Raw MLP,10,0.8159215973918181
covid_political,Raw MLP,100,0.8448421237586724
covid_political,Raw logistic,1,0.7616064243666134
covid_political,Raw logistic,10,0.8032149522927984
covid_political,Raw logistic,100,0.845385279946847
covid_political,SAMGPT,1,0.703795158770967
covid_political,SAMGPT,10,0.6157412617377918
covid_political,SAMGPT,100,0.8600127460342883
covid_political,VISION,1,0.7438069989650491
covid_political,VISION,10,0.8223806741879431
covid_political,VISION,100,0.8725767690211734
election2020,GraphSAGE,1,0.5227990417073807
election2020,GraphSAGE,10,0.5229798330552772
election2020,GraphSAGE,100,0.5413518813622175
election2020,PRODIGY,1,0.972470113239158
election2020,PRODIGY,10,0.9779202519285486
election2020,PRODIGY,100,0.9826706719041718
election2020,Raw MLP,1,0.7563746748370989
election2020,Raw MLP,10,0.8331523590254752
election2020,Raw MLP,100,0.8914641068501673
election2020,Raw logistic,1,0.7085417301107239
election2020,Raw logistic,10,0.8551909222714622
election2020,Raw logistic,100,0.8890317241165251
election2020,SAMGPT,1,0.5470487272099691
election2020,SAMGPT,10,0.952507104299433
election2020,SAMGPT,100,0.9803223485105151
election2020,VISION,1,0.7419730137500653
election2020,VISION,10,0.841179869043143
election2020,VISION,100,0.8996521480905767
twibot20,GraphSAGE,1,0.5345548232150649
twibot20,GraphSAGE,10,0.6344495573136876
twibot20,GraphSAGE,100,0.672229687204377
twibot20,PRODIGY,1,0.5847381657509193
twibot20,PRODIGY,10,0.662113952630827
twibot20,PRODIGY,100,0.762069621255121
twibot20,Raw MLP,1,0.5281272563873863
twibot20,Raw MLP,10,0.517227819350006
twibot20,Raw MLP,100,0.5892888687463077
twibot20,Raw logistic,1,0.5098460540490449
twibot20,Raw logistic,10,0.51528732619784
twibot20,Raw logistic,100,0.6052935330730886
twibot20,SAMGPT,1,0.49128290383944623
twibot20,SAMGPT,10,0.6217501586308708
twibot20,SAMGPT,100,0.7052142900351498
twibot20,VISION,1,0.5323953277577639
twibot20,VISION,10,0.5389567092170648
twibot20,VISION,100,0.629895314887105
ukr_rus_suspended,GraphSAGE,1,0.5194049622402451
ukr_rus_suspended,GraphSAGE,10,0.5337831277606155
ukr_rus_suspended,GraphSAGE,100,0.581470492030378
ukr_rus_suspended,PRODIGY,1,0.4945096090358899
ukr_rus_suspended,PRODIGY,10,0.5235225710096212
ukr_rus_suspended,PRODIGY,100,0.5272597978271614
ukr_rus_suspended,Raw MLP,1,0.5095138345532039
ukr_rus_suspended,Raw MLP,10,0.519021269947315
ukr_rus_suspended,Raw MLP,100,0.5224071593491799
ukr_rus_suspended,Raw logistic,1,0.5017435725538374
ukr_rus_suspended,Raw logistic,10,0.5257393955000599
ukr_rus_suspended,Raw logistic,100,0.5160166878921522
ukr_rus_suspended,SAMGPT,1,0.49071539004264547
ukr_rus_suspended,SAMGPT,10,0.5330489234041881
ukr_rus_suspended,SAMGPT,100,0.5349974762802716
ukr_rus_suspended,VISION,1,0.5043226426859198
ukr_rus_suspended,VISION,10,0.5292894317290903
ukr_rus_suspended,VISION,100,0.5324190278420374
