family,label_budget_per_class,median_updates,mean_updates
GraphSAGE,1,0.0,1.1666666666666667
GraphSAGE,10,0.0,1.1666666666666667
GraphSAGE,100,1.0,26.916666666666668
PRODIGY,1,1.0,2.4722222222222223
PRODIGY,10,1.0,1.7777777777777777
PRODIGY,100,1.0,0.8333333333333334
Raw MLP,1,0.5,0.5
Raw MLP,10,1.0,0.75
Raw MLP,100,1.0,1.0
Raw logistic,1,1.0,3.0
Raw logistic,10,1.0,2.4166666666666665
Raw logistic,100,1.0,0.9166666666666666
SAMGPT,1,0.0,1.4444444444444444
SAMGPT,10,1.0,4.888888888888889
SAMGPT,100,10.0,8.916666666666666
VISION,1,1.0,1.9722222222222223
VISION,10,1.0,1.5833333333333333
VISION,100,1.0,1.6111111111111112
