         131676 function calls (130032 primitive calls) in 0.182 seconds

   Ordered by: cumulative time
   List reduced from 190 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  993/783    0.002    0.000    0.153    0.000 profile_pipeline.py:109(timed)
    244/1    0.000    0.000    0.134    0.134 dataset.py:67(__getitem__)
        3    0.000    0.000    0.134    0.045 dataset.py:74(<genexpr>)
     31/1    0.000    0.000    0.134    0.134 dataset.py:72(<listcomp>)
        1    0.000    0.000    0.134    0.134 dataset.py:76(<dictcomp>)
      210    0.009    0.000    0.106    0.001 dataset.py:23(get_subgraph)
      210    0.001    0.000    0.082    0.000 sampler.py:111(sample_node)
      210    0.012    0.000    0.081    0.000 sampler.py:24(sample_k_hop_subgraph)
      210    0.002    0.000    0.034    0.000 coalesce.py:5(coalesce)
      420    0.003    0.000    0.027    0.000 sample.py:27(sample_adj)
     1240    0.001    0.000    0.026    0.000 _ops.py:497(__call__)
        1    0.002    0.002    0.026    0.026 dataloader.py:923(__call__)
      210    0.003    0.000    0.025    0.000 dataset.py:49(add_pooling_supernode)
     1683    0.023    0.000    0.023    0.000 {built-in method torch.cat}
        1    0.000    0.000    0.022    0.022 dataloader.py:647(_sample_from_stratum)
      831    0.012    0.000    0.020    0.000 storage.py:34(__init__)
        1    0.000    0.000    0.020    0.020 batch.py:64(from_data_list)
        1    0.000    0.000    0.020    0.020 collate.py:14(collate)
      363    0.002    0.000    0.020    0.000 dataloader.py:407(_sample_center_members)
      420    0.018    0.000    0.018    0.000 {built-in method torch._ops.torch_sparse.sample_adj}
        9    0.000    0.000    0.018    0.002 collate.py:115(_collate)
     2527    0.001    0.000    0.017    0.000 data.py:443(__setattr__)
      210    0.007    0.000    0.016    0.000 storage.py:436(coalesce)
3578/2738    0.001    0.000    0.016    0.000 {built-in method builtins.setattr}
      363    0.012    0.000    0.015    0.000 sampler.py:142(random_walk)
     2953    0.003    0.000    0.015    0.000 storage.py:84(__setattr__)
      211    0.001    0.000    0.013    0.000 data.py:407(__init__)
    14537    0.006    0.000    0.011    0.000 {built-in method builtins.getattr}
     5693    0.002    0.000    0.011    0.000 storage.py:67(_pop_cache)
     3166    0.001    0.000    0.008    0.000 storage.py:106(__setitem__)
     7373    0.004    0.000    0.005    0.000 storage.py:74(__getattr__)
      420    0.001    0.000    0.005    0.000 tensor.py:16(__init__)
      201    0.000    0.000    0.004    0.000 segment_csr.py:35(segment_csr)
      201    0.000    0.000    0.004    0.000 segment_csr.py:21(segment_min_csr)
      201    0.004    0.000    0.004    0.000 {built-in method torch._ops.torch_scatter.segment_min_csr}
     1074    0.004    0.000    0.004    0.000 {built-in method torch.tensor}
      426    0.003    0.000    0.003    0.000 {built-in method torch.stack}
      199    0.000    0.000    0.003    0.000 utils.py:14(index_sort)
      199    0.000    0.000    0.003    0.000 __init__.py:304(index_sort)
     1260    0.001    0.000    0.003    0.000 data.py:154(num_nodes)
      199    0.002    0.000    0.002    0.000 {built-in method torch._ops.pyg.index_sort}
        9    0.000    0.000    0.002    0.000 collate.py:265(get_incs)
      420    0.000    0.000    0.002    0.000 tensor.py:233(coo)
    13673    0.002    0.000    0.002    0.000 storage.py:103(__getitem__)
        9    0.000    0.000    0.002    0.000 collate.py:267(<listcomp>)


