target,budget,arm,mean,std
covid_political,1,pretrained,0.8517084662147638,0.03756895441424749
covid_political,1,scratch,0.7038779120699776,0.023472865350569357
covid_political,10,pretrained,0.9428391291219882,0.010122045337010792
covid_political,10,scratch,0.8990910208849325,0.037794972875483744
covid_political,100,pretrained,0.9519927207560549,0.003335007619522645
covid_political,100,scratch,0.9468799967468039,0.004588110565963916
covid_political,1000,pretrained,0.9582790657368527,0.001197399507375815
covid_political,1000,scratch,0.9605155206924263,0.0014055253418875664
election2020,1,pretrained,0.9802797530996216,0.0028018671020246214
election2020,1,scratch,0.8695033586283014,0.15004462176604555
election2020,10,pretrained,0.9839937117091706,0.00047625439983625347
election2020,10,scratch,0.982021206910669,0.0029361625283108707
election2020,100,pretrained,0.9838255365268586,0.0008536342624207964
election2020,100,scratch,0.9839167329196975,0.00025155173984868305
election2020,1000,pretrained,0.9838408260603521,0.000531399693211576
election2020,1000,scratch,0.9850584046941757,0.00021744177199171192
facebook_page_category_top30,1,pretrained,0.5991961042333271,0.011903279473500387
facebook_page_category_top30,1,scratch,0.6840751071757405,0.01665172882944079
facebook_page_category_top30,10,pretrained,0.7599661763243335,0.007414184068998074
facebook_page_category_top30,10,scratch,0.8377166597056454,0.004132161523488191
facebook_page_category_top30,100,pretrained,0.8755241378146913,0.0005380062728793119
facebook_page_category_top30,100,scratch,0.8920800897894683,0.0005478427398104936
facebook_page_category_top30,500,pretrained,0.9028678712910283,0.00117545331875723
facebook_page_category_top30,500,scratch,0.9063022436846054,0.0004416673219800102
twibot20,1,pretrained,0.627184955229413,0.08125590987940516
twibot20,1,scratch,0.648792048442586,0.08624716644629964
twibot20,10,pretrained,0.6838337204183993,0.05832406253349899
twibot20,10,scratch,0.6979603464652666,0.02285736519896313
twibot20,100,pretrained,0.7595253333178886,0.014315327196154654
twibot20,100,scratch,0.756994897427284,0.015265671887019319
twibot20,1000,pretrained,0.8101126214829316,0.0035478116778599484
twibot20,1000,scratch,0.8086997851243499,0.009700360874861093
ukr_rus_suspended,1,pretrained,0.515597365038519,0.018723088086996437
ukr_rus_suspended,1,scratch,0.4995574643843385,0.008259520196705294
ukr_rus_suspended,10,pretrained,0.5264597350117868,0.0057757614184609125
ukr_rus_suspended,10,scratch,0.5220145060897485,0.003981486269066623
ukr_rus_suspended,100,pretrained,0.5396494116182232,0.020185163539227596
ukr_rus_suspended,100,scratch,0.5318235776920298,0.010154668125562599
ukr_rus_suspended,1000,pretrained,0.5823217345412717,0.0034874627966879107
ukr_rus_suspended,1000,scratch,0.5600096353971382,0.010139556824340762
