config,condition,accuracy,roc_auc
eval_nm_matrix_covid_to_covid19_twitter_nm_3shot_30way,intact,0.6641333333333334,0.9815348502554279
eval_nm_matrix_covid_to_covid19_twitter_nm_3shot_30way,zero,0.07275,0.67798119295977
eval_nm_matrix_covid_to_covid19_twitter_nm_3shot_30way,permute,0.6257333333333334,0.9763064651340996
eval_nm_matrix_covid_to_covid19_twitter_nm_3shot_30way,noise,0.06102777777777778,0.6216723178799489
eval_nm_matrix_covid_to_covid_political_pl_20shot_lp,intact,0.86,0.912176388888889
eval_nm_matrix_covid_to_covid_political_pl_20shot_lp,zero,0.5921666666666666,0.6129020833333333
eval_nm_matrix_covid_to_covid_political_pl_20shot_lp,permute,0.8585,0.9108361388888889
eval_nm_matrix_covid_to_covid_political_pl_20shot_lp,noise,0.5250833333333333,0.5349497777777777
eval_nm_matrix_covid_to_election2020_pl_20shot_lp,intact,0.968,0.9785539999999999
eval_nm_matrix_covid_to_election2020_pl_20shot_lp,zero,0.508,0.503422
eval_nm_matrix_covid_to_election2020_pl_20shot_lp,permute,0.969,0.978092
eval_nm_matrix_covid_to_election2020_pl_20shot_lp,noise,0.49,0.48710799999999993
eval_nm_matrix_covid_to_midterm_nm_3shot_30way,intact,0.3126,0.8836879553639846
eval_nm_matrix_covid_to_midterm_nm_3shot_30way,zero,0.08636666666666666,0.7181939051404854
eval_nm_matrix_covid_to_midterm_nm_3shot_30way,permute,0.3107388888888889,0.8851420926883781
eval_nm_matrix_covid_to_midterm_nm_3shot_30way,noise,0.06367222222222223,0.6456561489782886
eval_nm_matrix_covid_to_twibot20_nm_3shot_30way,intact,0.4062277777777778,0.9239770489623245
eval_nm_matrix_covid_to_twibot20_nm_3shot_30way,zero,0.06601111111111112,0.6711134972381864
eval_nm_matrix_covid_to_twibot20_nm_3shot_30way,permute,0.40720555555555554,0.9274843112547894
eval_nm_matrix_covid_to_twibot20_nm_3shot_30way,noise,0.05773888888888889,0.6323094005108559
eval_nm_matrix_covid_to_twibot20_nm_3shot_3way,intact,0.8306111111111111,0.9553076527777778
eval_nm_matrix_covid_to_twibot20_nm_3shot_3way,zero,0.496,0.7002509791666668
eval_nm_matrix_covid_to_twibot20_nm_3shot_3way,permute,0.838,0.9569749444444445
eval_nm_matrix_covid_to_twibot20_pl_20shot_lp,intact,0.6280833333333333,0.6801436250000001
eval_nm_matrix_covid_to_twibot20_pl_20shot_lp,zero,0.6565833333333333,0.7150951388888889
eval_nm_matrix_covid_to_twibot20_pl_20shot_lp,permute,0.619,0.6730142083333334
eval_nm_matrix_covid_to_twibot20_pl_20shot_lp,noise,0.59725,0.6289886388888889
