architecture,model_id,sources,seed,checkpoint_step,task,dataset,n_way,n_shot,n_query,episodes,queries,episode_fingerprint,roc_auc,accuracy,f1
prodigy,ss_ukr_rus,ukr_rus,0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6267875388816552,0.68359375,0.41233373639661425
prodigy,ss_ukr_rus,ukr_rus,0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5313720703125,0.52734375,0.5254901960784314
prodigy,ss_ukr_rus,ukr_rus,0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.50732421875,0.50390625,0.44541484716157204
prodigy,ss_ukr_rus,ukr_rus,0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6929662492540148,0.6585286458333334,0.7047565437658317
prodigy,ss_covid,covid,0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.617950439453125,0.5029296875,0.4287317620650954
prodigy,ss_covid,covid,0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.54083251953125,0.515625,0.6612021857923497
prodigy,ss_covid,covid,0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.551513671875,0.51953125,0.5099601593625498
prodigy,ss_covid,covid,0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.5693049960666233,0.5465494791666666,0.6588292921871173
prodigy,ss_midterm,midterm,0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5403075041594328,0.6370442708333334,0.2707652060170046
prodigy,ss_midterm,midterm,0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.50299072265625,0.4921875,0.4628099173553719
prodigy,ss_midterm,midterm,0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49755859375,0.48828125,0.48627450980392156
prodigy,ss_midterm,midterm,0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6689487033420138,0.6328125,0.7182817182817183
