rung,added,target,observed_delta_pp,mean_predicted_delta_pp,actual_auc,specialist_auc,best_available_specialist_auc
2,covid19_twitter,ukr_rus_twitter,-0.05204081632652624,-0.5737755102040887,0.6723237244897959,0.6520701530612245,0.6635456632653062
2,covid19_twitter,covid19_twitter,3.46770408163265,1.9009438775510201,0.7757903061224489,0.7710581632653061,0.7710581632653061
2,covid19_twitter,midterm,0.35372448979591464,-0.30839285714285847,0.6469716836734694,0.6316742346938775,0.6378420918367347
2,covid19_twitter,twibot20,0.48321428571428404,0.8569897959183614,0.6574107142857143,0.6533663265306122,0.6533663265306122
2,covid19_twitter,cp_hk_twitter,1.5700510204081697,0.4719387755102056,0.5727081632653062,0.5860418367346939,0.5860418367346939
2,covid19_twitter,facebook_page_reference,0.15321428571428708,-0.22831632653060874,0.7980811224489796,0.7845489795918368,0.789115306122449
3,midterm,ukr_rus_twitter,0.4234183673469394,-2.2962585034013605,0.6765579081632653,0.5889201530612245,0.6635456632653062
3,midterm,covid19_twitter,-1.9107653061224417,-3.1368962585033966,0.7566826530612245,0.6579418367346939,0.7710581632653061
3,midterm,midterm,4.507908163265306,2.1449234693877606,0.6920507653061224,0.6991058673469388,0.6991058673469388
3,midterm,twibot20,0.9040306122448993,-0.14498299319728458,0.6664510204081633,0.6404469387755102,0.6533663265306122
3,midterm,cp_hk_twitter,0.30826530612244607,-0.9692176870748304,0.5757908163265306,0.5522459183673469,0.5860418367346939
3,midterm,facebook_page_reference,0.012908163265312744,-3.529319727891156,0.7982102040816327,0.6809525510204082,0.789115306122449
4,covid_political,ukr_rus_twitter,-0.47668367346939133,-2.985017006802715,0.6717910714285714,0.5154446428571429,0.6635456632653062
4,covid_political,covid19_twitter,0.014438775510206003,-4.254226190476196,0.7568270408163266,0.5505107142857143,0.7710581632653061
4,covid_political,midterm,0.42816326530612514,-2.576071428571436,0.6963323979591837,0.5531645408163265,0.6991058673469388
4,covid_political,twibot20,0.15137755102040407,-1.476228741496588,0.6679647959183673,0.5842974489795918,0.6533663265306122
4,covid_political,cp_hk_twitter,-0.5621428571428555,-2.0163052721088426,0.5701693877551021,0.4909780612244898,0.5860418367346939
4,covid_political,facebook_page_reference,-2.2871428571428543,-3.748869047619041,0.7753387755102041,0.6015841836734694,0.789115306122449
5,election2020,ukr_rus_twitter,-0.696071428571432,-1.6931428571428597,0.6648303571428571,0.5203380102040817,0.6635456632653062
5,election2020,covid19_twitter,-0.7680102040816372,-3.2938214285714307,0.7491469387755102,0.5134464285714285,0.7710581632653061
5,election2020,midterm,-0.7486734693877506,-2.2926122448979513,0.6888456632653062,0.5158160714285714,0.6991058673469388
5,election2020,twibot20,-0.8706632653061153,-1.392522959183673,0.6592581632653062,0.5589581632653061,0.6533663265306122
5,election2020,cp_hk_twitter,-0.685255102040816,-1.0274668367346917,0.5633168367346939,0.5000938775510204,0.5860418367346939
5,election2020,facebook_page_reference,-0.5763775510204128,-3.2166989795918366,0.769575,0.553215306122449,0.789115306122449
6,ukr_rus_suspended,ukr_rus_twitter,-0.36173469387754675,-1.0111938775510199,0.6612130102040816,0.5273920918367347,0.6635456632653062
6,ukr_rus_suspended,covid19_twitter,-0.02071428571428502,-1.3204557823129237,0.7489397959183673,0.5659719387755102,0.7710581632653061
6,ukr_rus_suspended,midterm,0.01571428571428557,-1.391010204081644,0.689002806122449,0.5240599489795918,0.6991058673469388
6,ukr_rus_suspended,twibot20,-0.8838265306122528,-1.2458996598639471,0.6504198979591836,0.5399051020408163,0.6533663265306122
6,ukr_rus_suspended,cp_hk_twitter,1.0921428571428526,-0.6502414965986469,0.5742382653061224,0.5021780612244898,0.5860418367346939
6,ukr_rus_suspended,facebook_page_reference,-0.5511734693877557,-2.0629098639455834,0.7640632653061225,0.5581086734693878,0.789115306122449
7,twibot20,ukr_rus_twitter,0.18525510204081552,0.2177332361516071,0.6630655612244898,0.593193112244898,0.6635456632653062
7,twibot20,covid19_twitter,0.18168367346939052,0.9962123420796831,0.7507566326530613,0.7017295918367347,0.7710581632653061
7,twibot20,midterm,-0.7428571428571451,0.6431413994169244,0.6815742346938776,0.6386303571428571,0.6991058673469388
7,twibot20,twibot20,7.350102040816331,1.9681328960155509,0.723920918367347,0.739969387755102,0.739969387755102
7,twibot20,cp_hk_twitter,-0.7072959183673455,0.32625607385812216,0.567165306122449,0.5575280612244898,0.5860418367346939
7,twibot20,facebook_page_reference,0.6630612244897915,0.7130017006802825,0.7706938775510204,0.7111642857142857,0.789115306122449
8,cp_hk_twitter,ukr_rus_twitter,-0.41903061224489724,-0.521094205539363,0.6588752551020408,0.5384415816326531,0.6635456632653062
8,cp_hk_twitter,covid19_twitter,-1.6748469387755094,-0.7001175291545092,0.7340081632653062,0.5859474489795918,0.7710581632653061
8,cp_hk_twitter,midterm,-0.5356632653061189,-0.31037991982507673,0.6762176020408164,0.5752114795918367,0.6991058673469388
8,cp_hk_twitter,twibot20,0.3160204081632645,-0.9218977769679282,0.7270811224489796,0.5481295918367347,0.739969387755102
8,cp_hk_twitter,cp_hk_twitter,0.2987244897959207,0.7333974125364406,0.5701525510204082,0.5966244897959184,0.5966244897959184
8,cp_hk_twitter,facebook_page_reference,-1.2885204081632629,-0.823616071428579,0.7578086734693877,0.6024948979591837,0.789115306122449
9,facebook_page_reference,ukr_rus_twitter,-1.2900510204081672,0.5930831916099777,0.6459747448979591,0.6282956632653062,0.6635456632653062
9,facebook_page_reference,covid19_twitter,0.544540816326522,0.5760707199546466,0.7394535714285714,0.6868020408163266,0.7710581632653061
9,facebook_page_reference,midterm,-0.0012244897959257095,-0.12164469954648593,0.6762053571428571,0.5859900510204081,0.6991058673469388
9,facebook_page_reference,twibot20,-1.1182142857142918,0.23931760204081165,0.7158989795918367,0.6342010204081633,0.739969387755102
9,facebook_page_reference,cp_hk_twitter,0.4628061224489777,-0.2066829648526003,0.574780612244898,0.5266852040816327,0.5966244897959184
9,facebook_page_reference,facebook_page_reference,11.207500000000003,2.487799744897956,0.8698836734693878,0.88405,0.88405
