dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
cp_hk_twitter,__floor__,degree_matched,common_neighbors,0.5334673469387755,0.5480589562062294,0.4,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,degree_matched,adamic_adar,0.5335224489795919,0.5345931701540472,0.38,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,degree_matched,preferential_attachment,0.48711530612244897,0.4964824958095475,0.46,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,degree_matched,jaccard,0.5270099489795919,0.5278120383045476,0.34,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,degree_matched,raw_feature_cosine,0.5109002551020408,0.5278578128862678,0.44,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,common_neighbors,0.7747795918367347,0.9041465479023769,1.0,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,adamic_adar,0.7798533163265307,0.8948057049580481,1.0,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,preferential_attachment,0.7788867346938776,0.8215169000080395,0.96,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,jaccard,0.7342265306122449,0.7536498671141076,0.46,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,raw_feature_cosine,0.5933566326530613,0.6380969523532639,0.78,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,common_neighbors,0.7319734693877551,0.7877921653450085,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,adamic_adar,0.745254081632653,0.7776222007812083,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,preferential_attachment,0.5378474489795918,0.5725924153141131,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,jaccard,0.8371538265306122,0.8486397808317594,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,raw_feature_cosine,0.5113989795918368,0.6493982287283805,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,mtr_CL,degree_matched,encoder_cosine,0.5487413265306123,0.5242296945404793,0.42,-1,2800,1400,0.49475625,0.9994988724630418,0.0
cp_hk_twitter,mtr_CL,random,encoder_cosine,0.6907234693877551,0.6680035747634726,0.04,-1,2800,1400,0.499524125,0.9984984984984985,0.0
cp_hk_twitter,mtr_CL,hard_2hop,encoder_cosine,0.8655505102040816,0.8304867743529358,0.88,-1,2800,1400,0.492268125,0.9997496871088861,0.0
cp_hk_twitter,mtr_FP,degree_matched,encoder_cosine,0.503,0.6486994879563236,1.0,1,2800,1400,0.507091875,0.6918065647707341,0.0
cp_hk_twitter,mtr_FP,random,encoder_cosine,0.5325045918367347,0.6066788088037318,1.0,-1,2800,1400,0.4951775,0.5883383383383384,0.0
cp_hk_twitter,mtr_FP,hard_2hop,encoder_cosine,0.5426321428571429,0.6184947076277805,1.0,-1,2800,1400,0.500814,0.6943679599499374,0.0
cp_hk_twitter,mtr_MIX,degree_matched,encoder_cosine,0.5393803571428571,0.49255225362011745,0.26,1,2800,1400,0.49916875,0.9994988724630418,0.0
cp_hk_twitter,mtr_MIX,random,encoder_cosine,0.6141642857142857,0.5536609436898599,0.58,1,2800,1400,0.515001625,0.9984984984984985,0.0
cp_hk_twitter,mtr_MIX,hard_2hop,encoder_cosine,0.8793204081632653,0.8282323191416764,0.92,-1,2800,1400,0.506242375,0.9997496871088861,0.0
cp_hk_twitter,mtr_NM,degree_matched,encoder_cosine,0.5562043367346938,0.5058709021578771,0.26,1,2800,1400,0.500486,0.9994988724630418,0.0
cp_hk_twitter,mtr_NM,random,encoder_cosine,0.7890494897959184,0.7423214479986765,0.68,1,2800,1400,0.514134,0.9984984984984985,0.0
cp_hk_twitter,mtr_NM,hard_2hop,encoder_cosine,0.7704811224489796,0.6889232391158961,0.86,-1,2800,1400,0.511647125,0.9997496871088861,0.0
