model,dataset,shots,target,task,split,run,spearman,rmse,mae,r2,mse
NMFP,midterm,10,followers_count,regression,test,eval_NMFP_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_33,-0.1475420195533067,6.259995059660404,5.877204895019531,-7.636201858520508,39.187538146972656
NMCL,midterm,10,account_age_days,regression,test,eval_NMCL_to_midterm_reg_10shot_account_age_days_14_07_2026_10_57_33,-0.04274309625310604,7.4100157101525115,7.292150974273682,-31.539119720458984,54.90833282470703
NMCL,midterm,10,followers_count,regression,test,eval_NMCL_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_33,-0.1221607551242954,6.3151964528265445,5.9330220222473145,-7.789183616638184,39.88170623779297
NMCL,midterm,10,statuses_count,regression,test,eval_NMCL_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_33,-0.083515005599507,9.554456731422105,9.353433609008789,-23.616397857666016,91.28764343261719
NMFP,midterm,10,statuses_count,regression,test,eval_NMFP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_52,-0.09617662432873644,9.469058192308061,9.265989303588867,-23.17831802368164,89.6630630493164
NMFP,midterm,10,account_age_days,regression,test,eval_NMFP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_57_53,-0.2143089431703839,7.342338004216645,7.218226432800293,-30.94745635986328,53.90992736816406
CLFP,midterm,10,followers_count,regression,test,eval_CLFP_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_53,0.14477365653704058,6.274551691705533,5.9093732833862305,-7.676412582397461,39.369998931884766
CLFP,midterm,10,statuses_count,regression,test,eval_CLFP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_53,0.10059449193199393,9.529641337735587,9.335895538330078,-23.488693237304688,90.8140640258789
CLFP,midterm,10,account_age_days,regression,test,eval_CLFP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_10,0.23453618257546138,7.388115551601003,7.277579307556152,-31.347064971923828,54.584251403808594
NM,midterm,10,statuses_count,regression,test,eval_NM_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_12,-0.015710646003370084,9.600422977030263,9.402083396911621,-23.85382652282715,92.16812133789062
NM,midterm,10,followers_count,regression,test,eval_NM_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_12,-0.0555391234799399,6.36659254793227,5.9928412437438965,-7.932826995849609,40.53350067138672
NM,midterm,10,account_age_days,regression,test,eval_NM_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_12,-0.06131976801352982,7.466696229376625,7.3472137451171875,-32.038818359375,55.75155258178711
CL,midterm,10,followers_count,regression,test,eval_CL_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_28,-0.20877041472191676,6.433892285404345,6.0500006675720215,-8.122678756713867,41.39496994018555
CL,midterm,10,account_age_days,regression,test,eval_CL_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_30,-0.04165124113608132,7.531098803510178,7.4124250411987305,-32.61121368408203,56.71744918823242
FP,midterm,10,followers_count,regression,test,eval_FP_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_30,0.2846324259358063,6.144469787717079,5.770872592926025,-7.320389747619629,37.75450897216797
CL,midterm,10,statuses_count,regression,test,eval_CL_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_30,-0.21899986018861883,9.680657708389042,9.473175048828125,-24.27098846435547,93.71513366699219
FP,midterm,10,statuses_count,regression,test,eval_FP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_46,0.2095701970505021,9.379758313934962,9.182087898254395,-22.724430084228516,87.97986602783203
FP,midterm,10,account_age_days,regression,test,eval_FP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_47,0.047919034449585216,7.243621124622016,7.127015113830566,-30.09417152404785,52.47004699707031
MIX,midterm,10,followers_count,regression,test,eval_MIX_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_48,0.23438543072675194,6.106245014731364,5.737428188323975,-7.217188835144043,37.28622817993164
MIX,midterm,10,statuses_count,regression,test,eval_MIX_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_48,0.1452252921984064,9.319176655039437,9.122258186340332,-22.418960571289062,86.84705352783203
MIX,midterm,10,account_age_days,regression,test,eval_MIX_to_midterm_reg_10shot_account_age_days_14_07_2026_10_59_03,0.15309690538421655,7.1957750534174405,7.080020904541016,-29.684755325317383,51.779178619384766
NMCL,ukr_rus_twitter,10,followers_count,regression,test,eval_NMCL_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_10_59_05,-0.14863308535279204,5.332002632707088,4.81769323348999,-4.590244293212891,28.430252075195312
NMCL,ukr_rus_twitter,10,account_age_days,regression,test,eval_NMCL_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_10_59_06,-0.06075579378871471,7.35523796023352,7.224306106567383,-28.464305877685547,54.099525451660156
NMCL,ukr_rus_twitter,10,statuses_count,regression,test,eval_NMCL_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_10_59_06,-0.1495679760323161,8.069026227813163,7.656391143798828,-9.316171646118164,65.10918426513672
NMFP,ukr_rus_twitter,10,followers_count,regression,test,eval_NMFP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_10_59_22,-0.014483744496084248,5.295514587526325,4.789467811584473,-4.513995170593262,28.0424747467041
NMFP,ukr_rus_twitter,10,statuses_count,regression,test,eval_NMFP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_01_09,-0.044041023642964104,8.013901077105507,7.606076240539551,-9.175698280334473,64.22261047363281
NMFP,ukr_rus_twitter,10,account_age_days,regression,test,eval_NMFP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_01_10,-0.0519060590125298,7.303662298545258,7.173795700073242,-28.052541732788086,53.343482971191406
CLFP,ukr_rus_twitter,10,followers_count,regression,test,eval_CLFP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_01_10,0.1460616216553086,5.307143439212379,4.81353759765625,-4.538239002227783,28.165771484375
CLFP,ukr_rus_twitter,10,statuses_count,regression,test,eval_CLFP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_01_26,0.15109230019407335,8.061253177726783,7.668050765991211,-9.296304702758789,64.98380279541016
CLFP,ukr_rus_twitter,10,account_age_days,regression,test,eval_CLFP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_03_15,0.16964496648641836,7.360325065566111,7.237201690673828,-28.505077362060547,54.17438507080078
NM,ukr_rus_twitter,10,followers_count,regression,test,eval_NM_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_03_16,-0.04662857613757539,5.407601248277833,4.908641815185547,-4.749887943267822,29.242151260375977
NM,ukr_rus_twitter,10,statuses_count,regression,test,eval_NM_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_03_16,-0.01775893181251618,8.146453235450554,7.745946407318115,-9.51509952545166,66.36470031738281
NM,ukr_rus_twitter,10,account_age_days,regression,test,eval_NM_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_03_29,-0.009068103198981063,7.44086258471682,7.313297748565674,-29.154306411743164,55.36643600463867
CL,ukr_rus_twitter,10,account_age_days,regression,test,eval_CL_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_05_21,-0.06336176264052061,7.44838424673183,7.31660795211792,-29.215299606323242,55.47842788696289
CL,ukr_rus_twitter,10,followers_count,regression,test,eval_CL_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_05_21,-0.14127255679812548,5.4154840009662735,4.904922962188721,-4.766663074493408,29.32746696472168
CL,ukr_rus_twitter,10,statuses_count,regression,test,eval_CL_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_05_21,-0.187293041033842,8.166681510237096,7.75007963180542,-9.567384719848633,66.69468688964844
FP,ukr_rus_twitter,10,followers_count,regression,test,eval_FP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_05_30,0.2751051922219134,5.1718866169502276,4.665875434875488,-4.259543418884277,26.748411178588867
FP,ukr_rus_twitter,10,account_age_days,regression,test,eval_FP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_07_26,0.07353584856886206,7.199485008047695,7.071628093719482,-27.229658126831055,51.832584381103516
MIX,ukr_rus_twitter,10,followers_count,regression,test,eval_MIX_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_07_26,0.1789145789058676,5.184436858890582,4.684032440185547,-4.28510046005249,26.878385543823242
FP,ukr_rus_twitter,10,statuses_count,regression,test,eval_FP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_07_26,0.2533736249539818,7.907792856809727,7.502818584442139,-8.908019065856934,62.53318786621094
MIX,ukr_rus_twitter,10,statuses_count,regression,test,eval_MIX_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_07_32,0.14012093196939746,7.902268202416312,7.4989519119262695,-8.894180297851562,62.44584274291992
MIX,ukr_rus_twitter,10,account_age_days,regression,test,eval_MIX_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_09_31,0.07703031457886479,7.1966152606427976,7.0680694580078125,-27.207157135009766,51.7912712097168
NMCL,covid19_twitter,10,followers_count,regression,test,eval_NMCL_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_09_31,-0.15347411562157032,5.507114490621871,5.114455699920654,-6.533448696136475,30.328310012817383
NMCL,covid19_twitter,10,statuses_count,regression,test,eval_NMCL_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_09_32,-0.10961113009252611,8.143943417785382,7.83650016784668,-12.844687461853027,66.32381439208984
NMCL,covid19_twitter,10,account_age_days,regression,test,eval_NMCL_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_09_35,-0.055664879307070377,7.4105281786768,7.3228068351745605,-43.52653884887695,54.91592788696289
NMFP,covid19_twitter,10,followers_count,regression,test,eval_NMFP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_11_38,0.010695318655212756,5.434455984169167,5.049939155578613,-6.335973739624023,29.53331184387207
NMFP,covid19_twitter,10,statuses_count,regression,test,eval_NMFP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_13_48,-0.006036991820194829,8.05258728529562,7.747943878173828,-12.535819053649902,64.84416198730469
CLFP,covid19_twitter,10,followers_count,regression,test,eval_CLFP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_13_53,0.030108325013749684,5.4754924953291875,5.093768119812012,-6.4471821784973145,29.98101806640625
NMFP,covid19_twitter,10,account_age_days,regression,test,eval_NMFP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_13_53,-0.05312402040192574,7.3207450095681645,7.23353385925293,-42.45414352416992,53.59330749511719
CLFP,covid19_twitter,10,statuses_count,regression,test,eval_CLFP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_16_36,0.06602756234465669,8.12450982595931,7.826818466186523,-12.778691291809082,66.00765991210938
NM,covid19_twitter,10,followers_count,regression,test,eval_NM_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_17_40,-0.0765577187841977,5.556185792567005,5.172481060028076,-6.668300628662109,30.871200561523438
NM,covid19_twitter,10,statuses_count,regression,test,eval_NM_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_17_41,-0.02848656173396167,8.191415098200991,7.889354228973389,-13.006561279296875,67.09928131103516
CLFP,covid19_twitter,10,account_age_days,regression,test,eval_CLFP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_17_41,0.12018204061008955,7.401137249137217,7.317537784576416,-43.413761138916016,54.776832580566406
NM,covid19_twitter,10,account_age_days,regression,test,eval_NM_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_19_57,0.04410067437187024,7.460839076166901,7.3756914138793945,-44.133182525634766,55.664119720458984
CL,covid19_twitter,10,followers_count,regression,test,eval_CL_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_21_19,-0.16854985671258446,5.59294011737066,5.1996870040893555,-6.770088195800781,31.28097915649414
CL,covid19_twitter,10,account_age_days,regression,test,eval_CL_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_21_19,-0.08855457975115638,7.505862932603892,7.415299415588379,-44.67955780029297,56.33797836303711
CL,covid19_twitter,10,statuses_count,regression,test,eval_CL_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_21_19,-0.21571955538082513,8.245818494488159,7.9295806884765625,-13.193229675292969,67.99352264404297
FP,covid19_twitter,10,followers_count,regression,test,eval_FP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_23_32,0.24030445977479323,5.3252127734733445,4.939977645874023,-6.044003009796143,28.357891082763672
FP,covid19_twitter,10,statuses_count,regression,test,eval_FP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_24_47,0.23057342407236334,7.961909930105177,7.658311367034912,-12.232691764831543,63.39200973510742
FP,covid19_twitter,10,account_age_days,regression,test,eval_FP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_25_06,0.05878702053040341,7.2312213128921305,7.1456217765808105,-41.39786148071289,52.29056167602539
MIX,covid19_twitter,10,followers_count,regression,test,eval_MIX_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_25_26,0.16076912156275106,5.331860795981971,4.950477123260498,-6.061601638793945,28.428739547729492
MIX,covid19_twitter,10,statuses_count,regression,test,eval_MIX_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_27_43,0.1202911651276057,7.949625200757551,7.647272109985352,-12.191888809204102,63.19654083251953
