evaluation_graph,batch1_40000,batch9_4444,delta_exposure_matched,batch9_40000,delta_step_matched
covid19_twitter,0.6009,0.5924,-0.0086,0.6163,0.0153
covid_political,0.2519,0.2041,-0.0478,0.2228,-0.0291
cp_hk_twitter,0.2427,0.2189,-0.0238,0.2384,-0.0043
election2020,0.2805,0.2127,-0.0678,0.1748,-0.1057
facebook_page_reference,0.7688,0.7404,-0.0284,0.7792,0.0104
midterm,0.3434,0.3379,-0.0055,0.3736,0.0302
twibot20,0.4192,0.4162,-0.0030,0.4347,0.0155
ukr_rus_suspended,0.4035,0.3814,-0.0221,0.4626,0.0591
ukr_rus_twitter,0.4502,0.4415,-0.0087,0.4728,0.0226
mean,0.4179,0.3939,-0.0240,0.4195,0.0016
