order,rung,added,n_sources,model_key,covid_political,election2020,twibot20,ukr_rus_suspended
A,1,ukr_rus,1,ukr_only_nm,0.9053977916666667,0.981414,0.6315745694444445,0.5119
A,2,covid,2,merged_ukr_rus_covid_nm_wb,0.897272513888889,0.982332,0.6269567638888889,0.529814
A,3,midterm,3,merged_ukr_rus_covid_midterm_nm_wb,0.9043437361111111,0.9827980000000001,0.6015085972222223,0.509926
A,4,covid_political,4,nm_ladder_4src,0.9214825555555555,0.9826099999999999,0.60445275,0.4929500000000001
A,5,election2020,5,nm_ladder_5src,0.9189982638888888,0.9832459999999998,0.612854375,0.49465200000000004
A,6,ukr_rus_suspended,6,nm_ladder_6src,0.9272804166666667,0.984342,0.6077860138888889,0.46816599999999997
A,7,twibot20,7,nm_ladder_7src,0.9230669305555557,0.9816,0.635583361111111,0.524822
A,8,cp_hk,8,merged_ukr_rus_covid_midterm_all8_nm_wb,0.9266721805555556,0.984164,0.6258281388888889,0.507736
B,1,covid,1,nm_ss_covid19_twitter,0.9074703888888888,0.982676,0.6016128055555555,0.49838000000000005
B,2,ukr_rus,2,merged_ukr_rus_covid_nm_wb,0.897272513888889,0.982332,0.6269567638888889,0.529814
B,3,twibot20,3,nm_ladder_ordB_r3,0.9029265138888889,0.982404,0.6308568055555555,0.528542
B,4,midterm,4,nm_ladder_ordB_r4,0.907225638888889,0.983652,0.63724625,0.541622
B,5,ukr_rus_suspended,5,nm_ladder_ordB_r5,0.9013501944444443,0.9854479999999999,0.6449099027777777,0.5043799999999999
B,6,cp_hk,6,nm_ladder_ordB_r6,0.903710625,0.9859,0.6444040833333333,0.504812
B,7,covid_political,7,nm_ladder_ordB_r7,0.9137913194444444,0.985628,0.6270604861111111,0.5236099999999999
B,8,election2020,8,merged_ukr_rus_covid_midterm_all8_nm_wb,0.9266721805555556,0.984164,0.6258281388888889,0.507736
C,1,election2020,1,nm_ss_election2020,0.87996225,0.984972,0.5217645972222222,0.526674
C,2,covid_political,2,nm_ladder_ordC_r2,0.9201432222222223,0.9845839999999999,0.5096698749999999,0.5292060000000001
C,3,cp_hk,3,nm_ladder_ordC_r3,0.8969357083333334,0.9837659999999999,0.6103647083333333,0.523522
C,4,ukr_rus_suspended,4,nm_ladder_ordC_r4,0.9042001944444444,0.978768,0.5793662916666666,0.512682
C,5,midterm,5,nm_ladder_ordC_r5,0.9089718888888889,0.982906,0.58540725,0.50876
C,6,twibot20,6,nm_ladder_ordC_r6,0.92039275,0.986212,0.6247880972222222,0.512144
C,7,ukr_rus,7,nm_ladder_ordC_r7,0.9204266111111112,0.984472,0.6618525277777778,0.510546
C,8,covid,8,merged_ukr_rus_covid_midterm_all8_nm_wb,0.9266721805555556,0.984164,0.6258281388888889,0.507736
