dataset,model,target,transform,shots,n_query,episodes,alpha,features,spearman,rmse,r2,n_pred,n_labeled
covid19_twitter,__features_only__,followers_count,log1p,10,12,500,1.0,raw_x,0.11880405450905833,2.145919508917333,-0.13443505558988966,6000,23012850
covid19_twitter,ukr_only_nm,followers_count,log1p,10,12,500,1.0,frozen_emb,0.08825476996899885,14.611746621943347,-51.59652449716266,6000,23012850
covid19_twitter,merged_ukr_rus_covid_nm_wb,followers_count,log1p,10,12,500,1.0,frozen_emb,0.11044651336996399,126.86427744323284,-3963.8931029390023,6000,23012850
covid19_twitter,merged_ukr_rus_covid_midterm_nm_wb,followers_count,log1p,10,12,500,1.0,frozen_emb,0.11196761776441871,37.442102067646914,-344.3609481432284,6000,23012850
covid19_twitter,nm_ladder_4src,followers_count,log1p,10,12,500,1.0,frozen_emb,0.1239598029346955,18.947938146642638,-87.4456950109628,6000,23012850
covid19_twitter,nm_ladder_5src,followers_count,log1p,10,12,500,1.0,frozen_emb,0.10878169406558218,138.5715964324527,-4729.436564844197,6000,23012850
covid19_twitter,nm_ladder_6src,followers_count,log1p,10,12,500,1.0,frozen_emb,0.1056919734606218,13.663475469458179,-44.99124276474077,6000,23012850
covid19_twitter,nm_ladder_7src,followers_count,log1p,10,12,500,1.0,frozen_emb,0.10697809441364416,55.23457838785237,-750.5794015891605,6000,23012850
covid19_twitter,merged_ukr_rus_covid_midterm_all8_nm_wb,followers_count,log1p,10,12,500,1.0,frozen_emb,0.0951441622359937,41.62620900913954,-425.86102544116943,6000,23012850
covid19_twitter,nm_ss_covid19_twitter,followers_count,log1p,10,12,500,1.0,frozen_emb,0.07995340880218821,266.68779714264707,-17520.007296074902,6000,23012850
covid19_twitter,nm_ladder_ordB_r3,followers_count,log1p,10,12,500,1.0,frozen_emb,0.10235620611159774,17.43676929579577,-73.90051869413662,6000,23012850
covid19_twitter,nm_ladder_ordB_r4,followers_count,log1p,10,12,500,1.0,frozen_emb,0.10718583831832165,17.266720454169057,-72.44673561612954,6000,23012850
covid19_twitter,nm_ladder_ordB_r5,followers_count,log1p,10,12,500,1.0,frozen_emb,0.1089454710952972,19.700780683385553,-94.61359659378869,6000,23012850
covid19_twitter,nm_ladder_ordB_r6,followers_count,log1p,10,12,500,1.0,frozen_emb,0.106792441842563,15.039655082477717,-54.722235950774454,6000,23012850
covid19_twitter,nm_ladder_ordB_r7,followers_count,log1p,10,12,500,1.0,frozen_emb,0.09747562599116642,17.074233766071373,-70.81831781583936,6000,23012850
covid19_twitter,nm_ss_election2020,followers_count,log1p,10,12,500,1.0,frozen_emb,0.09540725633387273,62.822406259294084,-971.2588751245041,6000,23012850
covid19_twitter,nm_ladder_ordC_r2,followers_count,log1p,10,12,500,1.0,frozen_emb,0.0971429637568093,40.516725138163764,-403.40959650488054,6000,23012850
covid19_twitter,nm_ladder_ordC_r3,followers_count,log1p,10,12,500,1.0,frozen_emb,0.09945251104102028,43.40403756239275,-463.1015764154492,6000,23012850
covid19_twitter,nm_ladder_ordC_r4,followers_count,log1p,10,12,500,1.0,frozen_emb,0.09445242336469158,132.83315843234587,-4345.761188286229,6000,23012850
covid19_twitter,nm_ladder_ordC_r5,followers_count,log1p,10,12,500,1.0,frozen_emb,0.11517364739208105,27.841450837279613,-189.9574067076947,6000,23012850
covid19_twitter,nm_ladder_ordC_r6,followers_count,log1p,10,12,500,1.0,frozen_emb,0.10042844873869498,8.32365025686122,-16.067913365046167,6000,23012850
covid19_twitter,nm_ladder_ordC_r7,followers_count,log1p,10,12,500,1.0,frozen_emb,0.08683232453779141,111.09301482618217,-3039.3689441683587,6000,23012850
covid19_twitter,__features_only__,statuses_count,log1p,10,12,500,1.0,raw_x,0.055929440975750255,2.3975445850372927,-0.18555381900642232,6000,23012850
covid19_twitter,ukr_only_nm,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.10575696272039292,17.525478367372862,-62.34723331073648,6000,23012850
covid19_twitter,merged_ukr_rus_covid_nm_wb,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.14069678257108603,104.88649756434697,-2267.961132599412,6000,23012850
covid19_twitter,merged_ukr_rus_covid_midterm_nm_wb,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.13915481844632044,34.73853835523299,-247.89201987184555,6000,23012850
covid19_twitter,nm_ladder_4src,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.13895378513416878,10.936619927786763,-23.66914677656379,6000,23012850
covid19_twitter,nm_ladder_5src,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.13330359918010284,105.29230332947212,-2285.5523142074258,6000,23012850
covid19_twitter,nm_ladder_6src,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.1376417316042703,10.187406332500979,-20.404995800689353,6000,23012850
covid19_twitter,nm_ladder_7src,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.11924351310955188,44.976947024211306,-416.22260962290744,6000,23012850
