dataset,model,target,transform,shots,n_query,episodes,alpha,features,spearman,rmse,r2,n_pred,n_labeled
twibot20,__features_only__,followers_count,log1p,10,12,500,1.0,raw_x,0.1597396683482624,3.1302876969305395,-0.09708636434120388,6000,162988
twibot20,ukr_only_nm,followers_count,log1p,10,12,500,1.0,frozen_emb,0.29747501127227044,102.9246977822875,-1185.073245527039,6000,162988
twibot20,merged_ukr_rus_covid_nm_wb,followers_count,log1p,10,12,500,1.0,frozen_emb,0.26156135053599405,27.74195270185185,-85.16806937865736,6000,162988
twibot20,merged_ukr_rus_covid_midterm_nm_wb,followers_count,log1p,10,12,500,1.0,frozen_emb,0.33476735318195605,26.073486443489706,-75.11504755168505,6000,162988
twibot20,nm_ladder_4src,followers_count,log1p,10,12,500,1.0,frozen_emb,0.33448883293480325,86.36211298380591,-834.0622044259645,6000,162988
twibot20,nm_ladder_5src,followers_count,log1p,10,12,500,1.0,frozen_emb,0.32358211694081057,24.666710348610774,-67.12315869115147,6000,162988
twibot20,nm_ladder_6src,followers_count,log1p,10,12,500,1.0,frozen_emb,0.2656487778935868,14.93152207826785,-23.962062726509682,6000,162988
twibot20,nm_ladder_7src,followers_count,log1p,10,12,500,1.0,frozen_emb,0.2782726974485604,51.33268906756148,-294.02603286692647,6000,162988
twibot20,merged_ukr_rus_covid_midterm_all8_nm_wb,followers_count,log1p,10,12,500,1.0,frozen_emb,0.2982306036135576,39.803947281248234,-176.3881454804537,6000,162988
twibot20,nm_ss_covid19_twitter,followers_count,log1p,10,12,500,1.0,frozen_emb,0.31388299100888095,43.7301055386648,-213.10822919067866,6000,162988
twibot20,nm_ladder_ordB_r3,followers_count,log1p,10,12,500,1.0,frozen_emb,0.30356804335948984,16.95132054010298,-31.172097863069695,6000,162988
twibot20,nm_ladder_ordB_r4,followers_count,log1p,10,12,500,1.0,frozen_emb,0.3161639564563394,92.86034922609227,-964.4569958935779,6000,162988
twibot20,nm_ladder_ordB_r5,followers_count,log1p,10,12,500,1.0,frozen_emb,0.29318611967738467,62.61769201101549,-438.0019213446,6000,162988
twibot20,nm_ladder_ordB_r6,followers_count,log1p,10,12,500,1.0,frozen_emb,0.3080868181222163,76.85438091489983,-660.3168154334553,6000,162988
twibot20,nm_ladder_ordB_r7,followers_count,log1p,10,12,500,1.0,frozen_emb,0.35066258430700614,43.13609247095421,-207.33100632640176,6000,162988
twibot20,nm_ss_election2020,followers_count,log1p,10,12,500,1.0,frozen_emb,0.12936233740855096,846.0153910059508,-80135.21695487984,6000,162988
twibot20,nm_ladder_ordC_r2,followers_count,log1p,10,12,500,1.0,frozen_emb,0.17208413172022302,24.442818852173833,-65.89210873102321,6000,162988
twibot20,nm_ladder_ordC_r3,followers_count,log1p,10,12,500,1.0,frozen_emb,0.1791672754021682,44.77305637096751,-223.44285913894143,6000,162988
twibot20,nm_ladder_ordC_r4,followers_count,log1p,10,12,500,1.0,frozen_emb,0.2335699374470742,61.03777694463896,-416.1283660621787,6000,162988
twibot20,nm_ladder_ordC_r5,followers_count,log1p,10,12,500,1.0,frozen_emb,0.2869596807750034,28.76163305819749,-91.61885145983726,6000,162988
twibot20,nm_ladder_ordC_r6,followers_count,log1p,10,12,500,1.0,frozen_emb,0.2990444260388425,245.23253223264553,-6732.307893611161,6000,162988
twibot20,nm_ladder_ordC_r7,followers_count,log1p,10,12,500,1.0,frozen_emb,0.29191678975183183,30.99319789116891,-106.54868066591504,6000,162988
twibot20,__features_only__,statuses_count,log1p,10,12,500,1.0,raw_x,0.11838851675286131,2.440193280797393,-0.10625138048065774,6000,162988
