dataset,scorer,auc,average_precision,hits_at_50
ukr_rus_twitter,common_neighbors,0.6717602040816326,0.6972330397980033,0.7
ukr_rus_twitter,adamic_adar,0.6767022959183674,0.694622952169046,0.74
ukr_rus_twitter,preferential_attachment,0.4893135204081633,0.5337947251160999,1.0
ukr_rus_twitter,jaccard,0.6866688775510205,0.7140579380311242,0.72
ukr_rus_twitter,raw_feature_cosine,0.5569561224489796,0.5934175077626875,0.82
covid19_twitter,common_neighbors,0.6947015306122449,0.9292004770871056,0.98
covid19_twitter,adamic_adar,0.6959270408163265,0.9265807157641244,0.98
covid19_twitter,preferential_attachment,0.5050443877551021,0.5648680618100117,1.0
covid19_twitter,jaccard,0.694844387755102,0.9248978931038366,0.98
covid19_twitter,raw_feature_cosine,0.5855117346938775,0.6293379069143467,0.9
midterm,common_neighbors,0.5777783163265306,0.825702650671305,0.88
midterm,adamic_adar,0.578063775510204,0.8088182266508407,0.84
midterm,preferential_attachment,0.5234573979591837,0.626253205413686,1.0
midterm,jaccard,0.5755150510204081,0.7883587301305407,0.7
midterm,raw_feature_cosine,0.5672058673469388,0.5905636186799375,0.76
twibot20,common_neighbors,0.7207400510204082,0.8416607351429672,0.86
twibot20,adamic_adar,0.7237232142857143,0.8292100612462024,0.88
twibot20,preferential_attachment,0.48562882653061223,0.49264747586829205,0.48
twibot20,jaccard,0.7257515306122448,0.8440567654457524,0.98
twibot20,raw_feature_cosine,0.591559693877551,0.6200182847963208,0.9
cp_hk_twitter,common_neighbors,0.5334673469387755,0.5480589562062294,0.4
cp_hk_twitter,adamic_adar,0.5335224489795919,0.5345931701540472,0.38
cp_hk_twitter,preferential_attachment,0.48711530612244897,0.4964824958095475,0.46
cp_hk_twitter,jaccard,0.5270099489795919,0.5278120383045476,0.34
cp_hk_twitter,raw_feature_cosine,0.5109002551020408,0.5278578128862678,0.44
