dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
midterm,__floor__,degree_matched,common_neighbors,0.5777783163265306,0.825702650671305,0.88,1,2800,1400,,,0.0
midterm,__floor__,degree_matched,adamic_adar,0.578063775510204,0.8088182266508407,0.84,1,2800,1400,,,0.0
midterm,__floor__,degree_matched,preferential_attachment,0.5234573979591837,0.626253205413686,1.0,-1,2800,1400,,,0.0
midterm,__floor__,degree_matched,jaccard,0.5755150510204081,0.7883587301305407,0.7,1,2800,1400,,,0.0
midterm,__floor__,degree_matched,raw_feature_cosine,0.5672058673469388,0.5905636186799375,0.76,1,2800,1400,,,0.0
midterm,__floor__,random,common_neighbors,0.620815306122449,0.9495006785216781,1.0,1,2800,1400,,,0.0
midterm,__floor__,random,adamic_adar,0.6214288265306123,0.943963437872688,1.0,1,2800,1400,,,0.0
midterm,__floor__,random,preferential_attachment,0.6508017857142857,0.6817995589702752,0.84,1,2800,1400,,,0.0
midterm,__floor__,random,jaccard,0.6182028061224489,0.9103100573094484,0.72,1,2800,1400,,,0.0
midterm,__floor__,random,raw_feature_cosine,0.6233979591836735,0.6537427129071128,0.92,1,2800,1400,,,0.0
midterm,__floor__,hard_2hop,common_neighbors,0.7943,0.917914018607319,1.0,-1,2800,1400,,,0.0
midterm,__floor__,hard_2hop,adamic_adar,0.8164163265306122,0.9043567011952005,1.0,-1,2800,1400,,,0.0
midterm,__floor__,hard_2hop,preferential_attachment,0.5130880102040817,0.6072629087938175,1.0,-1,2800,1400,,,0.0
midterm,__floor__,hard_2hop,jaccard,0.847509693877551,0.9178836442578496,1.0,-1,2800,1400,,,0.0
midterm,__floor__,hard_2hop,raw_feature_cosine,0.486434693877551,0.5908065702781388,1.0,-1,2800,1400,,,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r1,degree_matched,encoder_cosine,0.709722193877551,0.6488957664059077,0.64,1,2800,1400,0.49134675,0.999498997995992,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r1,random,encoder_cosine,0.7582954081632653,0.708960264194901,0.7,1,2800,1400,0.49348475,0.9992492492492493,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r1,hard_2hop,encoder_cosine,0.6812540816326531,0.6456981789698008,0.88,-1,2800,1400,0.4948875,0.9994993742177722,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r2,degree_matched,encoder_cosine,0.7108482142857143,0.6517392690153799,0.62,1,2800,1400,0.488781,0.999498997995992,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r2,random,encoder_cosine,0.7683341836734694,0.7203434977817663,0.82,1,2800,1400,0.4903465,0.9992492492492493,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r2,hard_2hop,encoder_cosine,0.7021561224489796,0.6380018526270703,0.5,-1,2800,1400,0.496337,0.9994993742177722,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r3,degree_matched,encoder_cosine,0.7105086734693877,0.6565189417360302,0.64,1,2800,1400,0.491650875,0.999498997995992,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r3,random,encoder_cosine,0.7472173469387755,0.6943190740229058,0.7,1,2800,1400,0.49365325,0.9992492492492493,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r3,hard_2hop,encoder_cosine,0.7259566326530612,0.6729914301020844,0.82,-1,2800,1400,0.496721375,0.9994993742177722,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r4,degree_matched,encoder_cosine,0.7270285714285715,0.6997233828421949,0.86,1,2800,1400,0.489586875,0.999498997995992,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r4,random,encoder_cosine,0.7534596938775511,0.7279610048140571,0.92,1,2800,1400,0.49085,0.9992492492492493,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r4,hard_2hop,encoder_cosine,0.6782464285714286,0.6534334419517378,0.86,-1,2800,1400,0.4948,0.9994993742177722,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r5,degree_matched,encoder_cosine,0.7289959183673469,0.695676982557045,0.84,1,2800,1400,0.49106625,0.999498997995992,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r5,random,encoder_cosine,0.7765045918367347,0.7534673823410691,0.86,1,2800,1400,0.49340975,0.9992492492492493,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r5,hard_2hop,encoder_cosine,0.6623265306122449,0.6281874096611044,0.76,-1,2800,1400,0.4975365,0.9994993742177722,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r6,degree_matched,encoder_cosine,0.7044964285714286,0.6752257508393311,0.8,1,2800,1400,0.492083375,0.999498997995992,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r6,random,encoder_cosine,0.7329923469387755,0.70873652325566,0.76,1,2800,1400,0.4884555,0.9992492492492493,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r6,hard_2hop,encoder_cosine,0.7041908163265306,0.6935018982269531,0.9,-1,2800,1400,0.49810275,0.9994993742177722,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r7,degree_matched,encoder_cosine,0.7062377551020408,0.6703506773715505,0.74,1,2800,1400,0.493517875,0.999498997995992,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r7,random,encoder_cosine,0.7438076530612245,0.7172037586919559,0.88,1,2800,1400,0.4941695,0.9992492492492493,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r7,hard_2hop,encoder_cosine,0.7087428571428571,0.6759427513635682,0.84,-1,2800,1400,0.50037025,0.9994993742177722,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r8,degree_matched,encoder_cosine,0.7064035714285715,0.6675355694042713,0.74,1,2800,1400,0.488054625,0.999498997995992,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r8,random,encoder_cosine,0.7553372448979592,0.7250529095601262,0.78,1,2800,1400,0.494459,0.9992492492492493,0.0
midterm,matched40k__nm_ladder_h2m_ordA_r8,hard_2hop,encoder_cosine,0.6911566326530613,0.6526590163983071,0.76,-1,2800,1400,0.498190625,0.9994993742177722,0.0
midterm,sequential__nm_ladder_seq_h2m_r1,degree_matched,encoder_cosine,0.7077545918367347,0.6558674631669406,0.74,1,2800,1400,0.493813,0.999498997995992,0.0
midterm,sequential__nm_ladder_seq_h2m_r1,random,encoder_cosine,0.7539852040816326,0.7096776371926948,0.82,1,2800,1400,0.4956785,0.9992492492492493,0.0
midterm,sequential__nm_ladder_seq_h2m_r1,hard_2hop,encoder_cosine,0.695965306122449,0.6585344733426692,0.8,-1,2800,1400,0.498004875,0.9994993742177722,0.0
midterm,sequential__nm_ladder_seq_h2m_r2,degree_matched,encoder_cosine,0.7202928571428572,0.6568787587567019,0.68,1,2800,1400,0.49166225,0.999498997995992,0.0
midterm,sequential__nm_ladder_seq_h2m_r2,random,encoder_cosine,0.7674209183673469,0.7175667860436267,0.9,1,2800,1400,0.4913265,0.9992492492492493,0.0
midterm,sequential__nm_ladder_seq_h2m_r2,hard_2hop,encoder_cosine,0.7282387755102041,0.6576947264604267,0.62,-1,2800,1400,0.4969235,0.9994993742177722,0.0
midterm,sequential__nm_ladder_seq_h2m_r3,degree_matched,encoder_cosine,0.6838739795918367,0.6505442056537247,0.7,1,2800,1400,0.490035125,0.999498997995992,0.0
midterm,sequential__nm_ladder_seq_h2m_r3,random,encoder_cosine,0.6331719387755103,0.5970686008253223,0.64,1,2800,1400,0.50192975,0.9992492492492493,0.0
midterm,sequential__nm_ladder_seq_h2m_r3,hard_2hop,encoder_cosine,0.7416862244897959,0.7115771149740632,0.86,-1,2800,1400,0.504463875,0.9994993742177722,0.0
midterm,sequential__nm_ladder_seq_h2m_r4,degree_matched,encoder_cosine,0.6731948979591836,0.6628651525298559,0.82,1,2800,1400,0.494118375,0.999498997995992,0.0
midterm,sequential__nm_ladder_seq_h2m_r4,random,encoder_cosine,0.6894892857142857,0.6807849632989181,0.74,1,2800,1400,0.498232625,0.9992492492492493,0.0
midterm,sequential__nm_ladder_seq_h2m_r4,hard_2hop,encoder_cosine,0.5739051020408164,0.5920959821605969,0.92,-1,2800,1400,0.499045375,0.9994993742177722,0.0
midterm,sequential__nm_ladder_seq_h2m_r5,degree_matched,encoder_cosine,0.6634117346938776,0.6181452432542002,0.68,1,2800,1400,0.481819625,0.999498997995992,0.0
midterm,sequential__nm_ladder_seq_h2m_r5,random,encoder_cosine,0.6871586734693877,0.6307430796667508,0.58,1,2800,1400,0.497447625,0.9992492492492493,0.0
midterm,sequential__nm_ladder_seq_h2m_r5,hard_2hop,encoder_cosine,0.6651946428571428,0.5994935019936901,0.34,-1,2800,1400,0.497272,0.9994993742177722,0.0
midterm,sequential__nm_ladder_seq_h2m_r6,degree_matched,encoder_cosine,0.5814747448979591,0.5617431101256316,0.48,1,2800,1400,0.483755375,0.999498997995992,0.0
midterm,sequential__nm_ladder_seq_h2m_r6,random,encoder_cosine,0.5853933673469388,0.5598185682635054,0.48,1,2800,1400,0.49190875,0.9992492492492493,0.0
midterm,sequential__nm_ladder_seq_h2m_r6,hard_2hop,encoder_cosine,0.7577188775510204,0.7393885822733013,0.98,-1,2800,1400,0.495305625,0.9994993742177722,0.0
midterm,sequential__nm_ladder_seq_h2m_r7,degree_matched,encoder_cosine,0.6657010204081633,0.647071636347354,0.76,1,2800,1400,0.494699375,0.999498997995992,0.0
midterm,sequential__nm_ladder_seq_h2m_r7,random,encoder_cosine,0.7147443877551021,0.7059556213136707,0.88,1,2800,1400,0.495734,0.9992492492492493,0.0
midterm,sequential__nm_ladder_seq_h2m_r7,hard_2hop,encoder_cosine,0.7056372448979592,0.6914898528821326,0.92,-1,2800,1400,0.496554,0.9994993742177722,0.0
midterm,sequential__nm_ladder_seq_h2m_r8,degree_matched,encoder_cosine,0.6090989795918368,0.5564534161670542,0.44,1,2800,1400,0.493321375,0.999498997995992,0.0
midterm,sequential__nm_ladder_seq_h2m_r8,random,encoder_cosine,0.5673984693877551,0.5214649567301054,0.36,1,2800,1400,0.4865015,0.9992492492492493,0.0
