model,dataset,shots,target,task,split,run,roc_auc,accuracy,f1
matched40k__nm_ladder_h2m_ordA_r1,covid_political,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r1_to_covid_political_pl_10shot_03_08_2026_10_52_22,0.9259742222222223,0.8770833333333333,0.8740715444378041
matched40k__nm_ladder_h2m_ordA_r2,covid_political,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r2_to_covid_political_pl_10shot_03_08_2026_10_52_22,0.9308580555555556,0.885,0.8848848848848849
matched40k__nm_ladder_h2m_ordA_r3,covid_political,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r3_to_covid_political_pl_10shot_03_08_2026_10_53_26,0.9286403749999999,0.877,0.8790758643290185
matched40k__nm_ladder_h2m_ordA_r4,covid_political,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r4_to_covid_political_pl_10shot_03_08_2026_10_53_26,0.9109949305555556,0.8350833333333333,0.8461956944120619
matched40k__nm_ladder_h2m_ordA_r5,covid_political,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r5_to_covid_political_pl_10shot_03_08_2026_10_54_30,0.9109009166666666,0.8426666666666667,0.8526611518651475
matched40k__nm_ladder_h2m_ordA_r6,covid_political,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r6_to_covid_political_pl_10shot_03_08_2026_10_54_30,0.8821471388888888,0.8048333333333333,0.8144803548795945
matched40k__nm_ladder_h2m_ordA_r7,covid_political,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r7_to_covid_political_pl_10shot_03_08_2026_10_55_24,0.9289335555555557,0.8668333333333333,0.8736359323106121
matched40k__nm_ladder_h2m_ordA_r8,covid_political,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r8_to_covid_political_pl_10shot_03_08_2026_10_55_24,0.9147064166666666,0.8563333333333333,0.8610125765881974
sequential__nm_ladder_seq_h2m_r1,covid_political,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r1_to_covid_political_pl_10shot_03_08_2026_10_55_45,0.9224760277777778,0.878,0.8777759225246284
sequential__nm_ladder_seq_h2m_r2,covid_political,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r2_to_covid_political_pl_10shot_03_08_2026_10_56_27,0.9111218055555556,0.875,0.8722316865417377
sequential__nm_ladder_seq_h2m_r3,covid_political,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r3_to_covid_political_pl_10shot_03_08_2026_10_56_27,0.8973032361111112,0.8375833333333333,0.8356522472383844
sequential__nm_ladder_seq_h2m_r4,covid_political,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r4_to_covid_political_pl_10shot_03_08_2026_10_59_29,0.880561125,0.796,0.8107606679035251
sequential__nm_ladder_seq_h2m_r5,covid_political,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r5_to_covid_political_pl_10shot_03_08_2026_10_59_30,0.9343511527777778,0.8851666666666667,0.8864722359532048
