order,rung,target_step,added_dataset,dataset,role,before_auc,after_auc,delta_auc
A,2,20000,covid19_twitter,ukr_rus_twitter,incumbent,0.9381256633620688,0.9393843307790548,0.0012586674169859924
A,2,20000,covid19_twitter,covid19_twitter,newcomer,0.9686388991060024,0.9781387495689654,0.009499850462962978
A,2,20000,covid19_twitter,midterm,held_out,0.8770630454980844,0.8855703485153257,0.00850730301724123
A,2,20000,covid19_twitter,covid_political,held_out,0.849269073595147,0.8541287472701149,0.004859673674967868
A,2,20000,covid19_twitter,election2020,held_out,0.834599335632184,0.8390638321839082,0.004464496551724206
A,2,20000,covid19_twitter,ukr_rus_suspended,held_out,0.8147094114942528,0.8126481149425285,-0.0020612965517242676
A,2,20000,covid19_twitter,twibot20,held_out,0.9081055982918264,0.9187527666826312,0.010647168390804818
A,2,20000,covid19_twitter,cp_hk_twitter,held_out,0.723828675862069,0.7177069556034483,-0.006121720258620678
A,3,30000,midterm,ukr_rus_twitter,incumbent,0.9393843307790548,0.9367393613186462,-0.002644969460408597
A,3,30000,midterm,covid19_twitter,incumbent,0.9781387495689654,0.9775905853448276,-0.000548164224137837
A,3,30000,midterm,midterm,newcomer,0.8855703485153257,0.9113194200989784,0.025749071583652694
A,3,30000,midterm,covid_political,held_out,0.8541287472701149,0.8456067858077906,-0.008521961462324312
A,3,30000,midterm,election2020,held_out,0.8390638321839082,0.8325442252873562,-0.006519606896552066
A,3,30000,midterm,ukr_rus_suspended,held_out,0.8126481149425285,0.8209096988505746,0.0082615839080461
A,3,30000,midterm,twibot20,held_out,0.9187527666826312,0.9162598501756066,-0.002492916507024545
A,3,30000,midterm,cp_hk_twitter,held_out,0.7177069556034483,0.7081249866379309,-0.00958196896551744
A,4,40000,covid_political,ukr_rus_twitter,incumbent,0.9367393613186462,0.9362348061462326,-0.0005045551724136565
A,4,40000,covid_political,covid19_twitter,incumbent,0.9775905853448276,0.9769993130906768,-0.0005912722541507875
A,4,40000,covid_political,midterm,incumbent,0.9113194200989784,0.910622228320562,-0.0006971917784163173
A,4,40000,covid_political,covid_political,newcomer,0.8456067858077906,0.9088761788793104,0.0632693930715198
A,4,40000,covid_political,election2020,held_out,0.8325442252873562,0.8256297701149425,-0.006914455172413625
A,4,40000,covid_political,ukr_rus_suspended,held_out,0.8209096988505746,0.8069271034482759,-0.013982595402298736
A,4,40000,covid_political,twibot20,held_out,0.9162598501756066,0.9170381497605364,0.0007782995849298091
A,4,40000,covid_political,cp_hk_twitter,held_out,0.7081249866379309,0.7187991191091954,0.010674132471264475
A,5,50000,election2020,ukr_rus_twitter,incumbent,0.9362348061462326,0.9362404856481482,5.67950191565636e-06
A,5,50000,election2020,covid19_twitter,incumbent,0.9769993130906768,0.9770921417784164,9.282868773963227e-05
A,5,50000,election2020,midterm,incumbent,0.910622228320562,0.9097328298371647,-0.0008893984833973079
A,5,50000,election2020,covid_political,incumbent,0.9088761788793104,0.9090303801404854,0.0001542012611750465
A,5,50000,election2020,election2020,newcomer,0.8256297701149425,0.9289840413793102,0.10335427126436769
