order,rung,target_step,added_dataset,dataset,role,before_auc,after_auc,delta_auc
A,2,20000,covid19_twitter,covid19_twitter,newcomer,0.9686388991060024,0.9781387495689654,0.009499850462962978
A,3,30000,midterm,midterm,newcomer,0.8855703485153257,0.9113194200989784,0.025749071583652694
A,4,40000,covid_political,covid_political,newcomer,0.8456067858077906,0.9088761788793104,0.0632693930715198
A,5,50000,election2020,election2020,newcomer,0.8256297701149425,0.9289840413793102,0.10335427126436769
A,6,60000,ukr_rus_suspended,ukr_rus_suspended,newcomer,0.8014711678160918,0.9492033425287356,0.14773217471264377
A,7,70000,twibot20,twibot20,newcomer,0.916074172190294,0.936083129661558,0.020008957471264077
A,8,80000,cp_hk_twitter,cp_hk_twitter,newcomer,0.7190426535919541,0.8784721379310345,0.15942948433908044
C,2,20000,covid_political,covid_political,newcomer,0.807651812308429,0.908219244556194,0.10056743224776499
C,3,30000,cp_hk_twitter,cp_hk_twitter,newcomer,0.6055631727011495,0.8851082464080461,0.27954507370689663
C,4,40000,ukr_rus_suspended,ukr_rus_suspended,newcomer,0.6350330551724139,0.9545211080459772,0.3194880528735633
C,5,50000,midterm,midterm,newcomer,0.8307713589559388,0.9115008100574714,0.08072945110153262
C,6,60000,twibot20,twibot20,newcomer,0.8637547000478926,0.9343514401181352,0.07059674007024264
C,7,70000,ukr_rus_twitter,ukr_rus_twitter,newcomer,0.8784961093710089,0.9339096427203064,0.05541353334929755
C,8,80000,covid19_twitter,covid19_twitter,newcomer,0.966792074872286,0.9766509277777778,0.009858852905491822
