source,target,is_self,transfer_auc,source_ceiling,target_ceiling,regret,regret_norm,retention,donor_rank,reverse_auc,auc_asym,regret_reverse,regret_asym,retention_reverse,retention_asym,proxy_a_distance,proxy_a_distance_sym,feat_frechet,feat_mmd2,feat_centroid_cosdist,indegree_ks,outdegree_ks,homophily_gap_signed,source_centrality,target_centrality,source_outflow,target_inflow,source_donor_regret_mean,target_recv_regret_mean,source_feat_homophily,target_feat_homophily,source_label_homophily,target_label_homophily
ukr_rus_twitter,ukr_rus_twitter,True,0.947,0.947,0.947,0.0,0.0,1.0,,0.947,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,0.8493,0.7535,0.0922,0.1935,0.538806,0.538806,,
ukr_rus_twitter,covid19_twitter,False,0.973,0.947,0.9805,0.0075,0.0076,0.9924,1,0.9264,0.0466,0.0206,-0.0131,0.9782,0.0141,0.193333,0.193333,0.020563,0.000678,0.001046,0.024,0.02867,-0.008344,0.96,0.978095,0.8493,0.8202,0.0922,0.1603,0.538806,0.54715,,
ukr_rus_twitter,midterm,False,0.8811,0.947,0.9252,0.0441,0.0477,0.9523,2,0.797,0.0841,0.15,-0.1059,0.8416,0.1107,0.755,0.7825,0.046096,0.009938,0.012067,0.03597,0.10131,-0.040482,0.96,1.155,0.8493,0.783,0.0922,0.1422,0.538806,0.579288,,
ukr_rus_twitter,covid_political,False,0.8394,0.947,0.9145,0.0751,0.0821,0.9179,3,0.6301,0.2093,0.3169,-0.2418,0.6654,0.2525,1.713333,1.713333,0.109131,0.034236,0.037911,0.47647,0.84251,-0.037776,0.96,1.558214,0.8493,0.7957,0.0922,0.1188,0.538806,0.576581,,0.935516
ukr_rus_twitter,election2020,False,0.8262,0.947,0.9519,0.1257,0.1321,0.8679,2,0.6018,0.2244,0.3452,-0.2195,0.6355,0.2325,1.708333,1.716667,0.151839,0.058079,0.05976,0.89386,0.4936,-0.068085,0.96,1.579762,0.8493,0.7743,0.0922,0.1776,0.538806,0.60689,,0.951527
ukr_rus_twitter,ukr_rus_suspended,False,0.7894,0.947,0.964,0.1746,0.1811,0.8189,1,0.7695,0.0199,0.1775,-0.0029,0.8126,0.0063,0.623333,0.6325,0.035848,0.005991,0.008261,0.2009,0.25473,-0.024092,0.96,1.102738,0.8493,0.6639,0.0922,0.3001,0.538806,0.562898,,0.553761
ukr_rus_twitter,twibot20,False,0.9218,0.947,0.9487,0.0269,0.0284,0.9716,2,0.8688,0.053,0.0782,-0.0513,0.9174,0.0542,0.615,0.615833,0.034593,0.004219,0.005119,0.23519,0.38271,-0.03898,0.96,1.054762,0.8493,0.8083,0.0922,0.1404,0.538806,0.577786,,0.401495
ukr_rus_twitter,cp_hk_twitter,False,0.714,0.947,0.9055,0.1915,0.2115,0.7885,2,0.6808,0.0332,0.2662,-0.0747,0.7189,0.0696,1.073333,1.065833,0.075918,0.014941,0.020552,0.11639,0.11723,-0.01462,0.96,1.32619,0.8493,0.6376,0.0922,0.2679,0.538806,0.553426,,
covid19_twitter,ukr_rus_twitter,False,0.9264,0.9805,0.947,0.0206,0.0218,0.9782,1,0.973,-0.0466,0.0075,0.0131,0.9924,-0.0141,0.193333,0.193333,0.020563,0.000678,0.001046,0.024,0.02867,0.008344,0.978095,0.96,0.8466,0.7535,0.0901,0.1935,0.54715,0.538806,,
covid19_twitter,covid19_twitter,True,0.9805,0.9805,0.9805,0.0,0.0,1.0,,0.9805,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978095,0.978095,0.8466,0.8202,0.0901,0.1603,0.54715,0.54715,,
