model,dataset,shots,target,task,split,run,spearman,rmse,mae,r2,mse
muc10k,midterm,10,statuses_count,regression,test,eval_muc10k_to_midterm_reg_10shot_statuses_count_06_07_2026_23_22_44,-0.09282037951166076,9.483091465480852,9.281830787658691,-23.25003433227539,89.92902374267578
muc10k,midterm,10,friends_count,regression,test,eval_muc10k_to_midterm_reg_10shot_friends_count_06_07_2026_23_22_44,-0.03961497149136244,6.750524994955542,6.557682514190674,-17.04015350341797,45.56958770751953
muc10k,midterm,10,followers_count,regression,test,eval_muc10k_to_midterm_reg_10shot_followers_count_06_07_2026_23_22_44,-0.040403334756606915,6.278868873924466,5.903196811676025,-7.688356399536133,39.4241943359375
muc10k,midterm,10,favourites_count,regression,test,eval_muc10k_to_midterm_reg_10shot_favourites_count_06_07_2026_23_22_44,-0.09229034999433981,9.857120987767193,9.6212158203125,-20.473360061645508,97.16283416748047
muc10k,midterm,10,listed_count,regression,test,eval_muc10k_to_midterm_reg_10shot_listed_count_06_07_2026_23_22_57,0.009708201870321904,1.9209067534056776,1.2744332551956177,-0.7617714405059814,3.689882755279541
muc10k,ukr_rus_twitter,10,followers_count,regression,test,eval_muc10k_to_ukr_rus_twitter_reg_10shot_followers_count_06_07_2026_23_22_58,-0.02173798064653256,5.313319064559508,4.809128761291504,-4.551135540008545,28.231359481811523
muc10k,midterm,10,account_age_days,regression,test,eval_muc10k_to_midterm_reg_10shot_account_age_days_06_07_2026_23_22_58,0.02999608943001402,7.362427938785451,7.245548725128174,-31.122520446777344,54.205345153808594
muc10k,ukr_rus_twitter,10,friends_count,regression,test,eval_muc10k_to_ukr_rus_twitter_reg_10shot_friends_count_06_07_2026_23_23_10,-0.0040943211086390974,5.957194861994973,5.734429836273193,-12.737639427185059,35.4881706237793
muc10k,ukr_rus_twitter,10,statuses_count,regression,test,eval_muc10k_to_ukr_rus_twitter_reg_10shot_statuses_count_06_07_2026_23_23_11,-0.08771754054579643,8.035111623296102,7.626832008361816,-9.229634284973145,64.56301879882812
muc10k,ukr_rus_twitter,10,favourites_count,regression,test,eval_muc10k_to_ukr_rus_twitter_reg_10shot_favourites_count_06_07_2026_23_23_11,-0.11514158213734328,8.369167289557872,7.925747394561768,-8.811264991760254,70.04296112060547
muc10k,ukr_rus_twitter,10,listed_count,regression,test,eval_muc10k_to_ukr_rus_twitter_reg_10shot_listed_count_06_07_2026_23_24_35,0.04456931707800228,1.7428083468246292,1.1278061866760254,-0.6900039911270142,3.0373809337615967
muc10k,covid19_twitter,10,followers_count,regression,test,eval_muc10k_to_covid19_twitter_reg_10shot_followers_count_06_07_2026_23_24_51,-0.004698191243217378,5.490714297493915,5.108911991119385,-6.488646030426025,30.1479434967041
muc10k,ukr_rus_twitter,10,account_age_days,regression,test,eval_muc10k_to_ukr_rus_twitter_reg_10shot_account_age_days_06_07_2026_23_24_51,-0.018811823139148535,7.330735122018748,7.201410293579102,-28.268321990966797,53.73967742919922
muc10k,covid19_twitter,10,friends_count,regression,test,eval_muc10k_to_covid19_twitter_reg_10shot_friends_count_06_07_2026_23_26_09,0.013039968195045801,5.863246117066627,5.682373523712158,-15.589731216430664,34.377655029296875
muc10k,covid19_twitter,10,statuses_count,regression,test,eval_muc10k_to_covid19_twitter_reg_10shot_statuses_count_06_07_2026_23_26_27,-0.08644905738887283,8.111028778262156,7.805488109588623,-12.733003616333008,65.78878784179688
muc10k,covid19_twitter,10,listed_count,regression,test,eval_muc10k_to_covid19_twitter_reg_10shot_listed_count_06_07_2026_23_33_41,0.05799280237382844,1.6366792004889383,1.031985878944397,-0.6354027986526489,2.6787188053131104
muc10k,covid19_twitter,10,account_age_days,regression,test,eval_muc10k_to_covid19_twitter_reg_10shot_account_age_days_06_07_2026_23_33_41,0.05797134659219929,7.3838101797781945,7.299302577972412,-43.2060432434082,54.520652770996094
muc10k,covid19_twitter,10,favourites_count,regression,test,eval_muc10k_to_covid19_twitter_reg_10shot_favourites_count_06_07_2026_23_33_41,-0.11560631611902222,8.168135011459452,7.807661533355713,-10.765357971191406,66.71842956542969
muc10k,twibot20,10,friends_count,regression,test,eval_muc10k_to_twibot20_reg_10shot_friends_count_06_07_2026_23_37_23,-0.025007903580996502,7.058979878844509,6.83369255065918,-15.050586700439453,49.82919692993164
muc10k,twibot20,10,followers_count,regression,test,eval_muc10k_to_twibot20_reg_10shot_followers_count_06_07_2026_23_37_23,-0.11413079944565636,8.246062755300585,7.661863803863525,-6.405148029327393,67.99755096435547
muc10k,twibot20,10,listed_count,regression,test,eval_muc10k_to_twibot20_reg_10shot_listed_count_06_07_2026_23_38_19,-0.0001063056529900838,3.8768127877229572,2.9288535118103027,-1.3170690536499023,15.029677391052246
muc10k,twibot20,10,statuses_count,regression,test,eval_muc10k_to_twibot20_reg_10shot_statuses_count_06_07_2026_23_38_19,-0.10960671176257587,8.366137925826068,8.011826515197754,-11.242493629455566,69.99226379394531
muc10k,twibot20,10,account_age_days,regression,test,eval_muc10k_to_twibot20_reg_10shot_account_age_days_06_07_2026_23_38_20,0.029780951756631726,7.684127191780657,7.599225997924805,-44.84270477294922,59.04581069946289
task_transfer_covid_nm,midterm,10,favourites_count,regression,test,eval_task_transfer_covid_nm_to_midterm_reg_10shot_favourites_count_07_07_2026_08_41_46,-0.0042323556786347935,10.053336763389805,9.823587417602539,-21.33676528930664,101.069580078125
task_transfer_covid_nm,midterm,10,friends_count,regression,test,eval_task_transfer_covid_nm_to_midterm_reg_10shot_friends_count_07_07_2026_08_41_46,-0.042883373631016686,6.930829664716093,6.74184513092041,-18.0167179107666,48.036399841308594
task_transfer_covid_cl,midterm,10,friends_count,regression,test,eval_task_transfer_covid_cl_to_midterm_reg_10shot_friends_count_07_07_2026_08_42_00,0.02042039069887794,6.679419653803846,6.479536533355713,-16.662109375,44.614646911621094
task_transfer_covid_nm,midterm,10,listed_count,regression,test,eval_task_transfer_covid_nm_to_midterm_reg_10shot_listed_count_07_07_2026_08_42_00,0.013053096080188231,2.021880504476846,1.4105852842330933,-0.9518567323684692,4.088000774383545
task_transfer_covid_cl,midterm,10,followers_count,regression,test,eval_task_transfer_covid_cl_to_midterm_reg_10shot_followers_count_07_07_2026_08_42_00,-0.013992184248966808,6.205120851383431,5.812955856323242,-7.4854583740234375,38.50352478027344
task_transfer_covid_cl,midterm,10,statuses_count,regression,test,eval_task_transfer_covid_cl_to_midterm_reg_10shot_statuses_count_07_07_2026_08_42_13,0.1740436379599123,9.440870074892254,9.245780944824219,-23.034582138061523,89.1300277709961
task_transfer_covid_cl,midterm,10,account_age_days,regression,test,eval_task_transfer_covid_cl_to_midterm_reg_10shot_account_age_days_07_07_2026_08_42_14,-0.07473922206805847,7.307074987924401,7.180999279022217,-30.64132308959961,53.39334487915039
task_transfer_covid_cl,midterm,10,listed_count,regression,test,eval_task_transfer_covid_cl_to_midterm_reg_10shot_listed_count_07_07_2026_08_42_14,-0.09912970342239388,1.8687448431345746,1.1961069107055664,-0.6673892736434937,3.4922072887420654
task_transfer_covid_cl,midterm,10,favourites_count,regression,test,eval_task_transfer_covid_cl_to_midterm_reg_10shot_favourites_count_07_07_2026_08_42_14,0.14607408890423954,9.817465139491798,9.587815284729004,-20.30093002319336,96.38262176513672
task_transfer_covid_fp,midterm,10,friends_count,regression,test,eval_task_transfer_covid_fp_to_midterm_reg_10shot_friends_count_07_07_2026_08_42_27,-0.01350078574361783,6.629176424867683,6.4359846115112305,-16.397396087646484,43.945980072021484
task_transfer_covid_fp,midterm,10,favourites_count,regression,test,eval_task_transfer_covid_fp_to_midterm_reg_10shot_favourites_count_07_07_2026_08_42_27,0.003200499246672091,9.755855660347141,9.521501541137695,-20.034420013427734,95.17671966552734
task_transfer_covid_fp,midterm,10,listed_count,regression,test,eval_task_transfer_covid_fp_to_midterm_reg_10shot_listed_count_07_07_2026_08_42_37,-0.04216704391962282,1.8287433980325885,1.1428124904632568,-0.5967706441879272,3.3443024158477783
task_transfer_covid_nm,ukr_rus_twitter,10,friends_count,regression,test,eval_task_transfer_covid_nm_to_ukr_rus_twitter_reg_10shot_friends_count_07_07_2026_08_42_40,-0.05541417880473354,6.134251050430446,5.9140305519104,-13.566377639770508,37.62903594970703
