train_id	covid19_twitter+lp	covid19_twitter+nm	covid_political+nm	covid_political+pl	election2020+nm	election2020+pl	midterm+lp	midterm+nm	ukr_rus_suspended+nm	ukr_rus_suspended+pl	ukr_rus_twitter+lp	ukr_rus_twitter+nm	Experiment	Pretrain Strategy
covid19_twitter+nm	0.908	0.998	0.738	0.674	0.757	0.9	0.849	0.971	0.802	0.51	0.842	0.986	NM	1 graph, 1 task
midterm+nm	0.769	0.988	0.746	0.649	0.733	0.749	0.836	0.982	0.729	0.505	0.698	0.979	NM	1 graph, 1 task
ukr_rus_twitter+nm	0.843	0.991	0.73	0.693	0.738	0.904	0.713	0.956	0.754	0.507	0.826	0.992	NM	1 graph, 1 task
covid19_twitter+pl	0.543	0.549	0.505	0.65	0.503	0.61	0.516	0.521	0.502	0.516	0.511	0.527	PL	1 graph, 1 task
ukr_rus_twitter+pl	0.526	0.702	0.515	0.559	0.536	0.601	0.486	0.65	0.521	0.514	0.538	0.752	PL	1 graph, 1 task
midterm+pl	0.585	0.67	0.586	0.637	0.638	0.745	0.558	0.773	0.558	0.502	0.576	0.674	PL	1 graph, 1 task
covid19_twitter+lp	0.955	0.945	0.619	0.623	0.654	0.737	0.784	0.834	0.681	0.504	0.855	0.888	LP	1 graph, 1 task
midterm+lp	0.605	0.841	0.708	0.678	0.73	0.87	0.939	0.887	0.639	0.503	0.664	0.81	LP	1 graph, 1 task
ukr_rus_twitter+lp	0.857	0.92	0.611	0.589	0.677	0.742	0.766	0.869	0.67	0.519	0.921	0.953	LP	1 graph, 1 task
covid19_twitter+lp>ukr_rus_twitter+lp	0.913	0.941	0.561	0.599	0.543	0.568	0.81	0.857	0.658	0.527	0.916	0.953	LP>LP	2 graphs (sequential), 1 task
midterm+lp>covid19_twitter+lp	0.932	0.933	0.591	0.579	0.54	0.533	0.774	0.825	0.615	0.506	0.838	0.895	LP>LP	2 graphs (sequential), 1 task
midterm+lp>ukr_rus_twitter+lp	0.868	0.901	0.585	0.596	0.671	0.686	0.815	0.875	0.678	0.523	0.907	0.938	LP>LP	2 graphs (sequential), 1 task
covid19_twitter+nm>ukr_rus_twitter+nm	0.572	0.952	0.684	0.678	0.671	0.689	0.644	0.849	0.691	0.511	0.658	0.978	NM>NM	2 graphs (sequential), 1 task
midterm+nm>covid19_twitter+nm	0.868	0.997	0.826	0.772	0.82	0.95	0.806	0.968	0.794	0.515	0.798	0.978	NM>NM	2 graphs (sequential), 1 task
midterm+nm>ukr_rus_twitter+nm	0.821	0.985	0.721	0.667	0.712	0.877	0.805	0.949	0.736	0.503	0.797	0.988	NM>NM	2 graphs (sequential), 1 task
midterm+nm>covid19_twitter+lp	0.943	0.961	0.571	0.621	0.538	0.561	0.786	0.875	0.658	0.504	0.859	0.93	NM>LP	2 graphs (sequential), 2 tasks (sequential)
covid19_twitter+nm>ukr_rus_twitter+lp	0.857	0.884	0.626	0.636	0.632	0.587	0.777	0.803	0.653	0.539	0.891	0.916	NM>LP	2 graphs (sequential), 2 tasks (sequential)
midterm+nm>ukr_rus_twitter+lp	0.849	0.935	0.586	0.618	0.571	0.631	0.791	0.872	0.661	0.504	0.905	0.95	NM>LP	2 graphs (sequential), 2 tasks (sequential)
ukr/covid/midterm+nm	0.818	0.99	0.717	0.597	0.713	0.73	0.74	0.942	0.78	0.488	0.772	0.985	Ukr/Cov/Mid-NM	3 graphs (merged), 1 task
ukr/covid/midterm+lp	0.844	0.935	0.559	0.544	0.535	0.528	0.664	0.844	0.638	0.511	0.8	0.932	Ukr/Cov/Mid-LP	3 graphs (merged), 1 task
ukr/covid/midterm+nm/fm	0.83	0.991	0.9	0.877	0.888	0.979	0.763	0.924	0.841	0.532	0.878	0.961	NM/FM-Ukr/Cov/Mid	3 graphs (merged), 2 tasks (joint)
