task,step,all8,ukr,covid
classification,100,0.5657,0.5721,0.5721
classification,500,0.7655,0.7324,0.7168
classification,1000,0.7542,0.7445,0.7272
classification,2000,0.7614,0.747,0.7501
classification,10000,0.7673,0.7644,0.7564
classification,40000,0.7611,0.7576,0.7456
regression,100,-0.1331,-0.0663,0.1004
regression,500,-0.0546,-0.0034,0.1287
regression,1000,-0.1091,0.159,-0.2061
regression,2000,-0.1496,0.1605,-0.1792
regression,10000,-0.0834,0.1396,-0.1315
regression,40000,-0.0106,0.0071,-0.0912
