dataset,model,target,transform,shots,n_query,episodes,alpha,features,spearman,rmse,r2,n_pred,n_labeled
midterm,__features_only__,followers_count,log1p,10,12,500,1.0,raw_x,0.25969095768960315,2.1561616384413265,-0.01878797345433103,6000,333430
midterm,sat_all8_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.1241317928446073,136.24909158030138,-4067.0699349675124,6000,333430
midterm,sat_all8_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.13314614662037064,946.0362903062726,-196125.7232314152,6000,333430
midterm,sat_all8_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.18774951605315285,8.150569545423883,-13.55784511448255,6000,333430
midterm,sat_all8_s040000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.19208807171095515,8.5966076438793,-15.194792612919851,6000,333430
midterm,sat_ukr_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.16489582298669342,10.506039085388293,-23.187957895717695,6000,333430
midterm,sat_ukr_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.17148224037768767,12.26876195299049,-31.985468720239943,6000,333430
midterm,sat_ukr_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.17497240259226196,7.010807641703065,-9.771031161737115,6000,333430
midterm,sat_ukr_s040000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.18238317941361282,21.21685160604131,-97.64681263027899,6000,333430
midterm,sat_covid_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.15414224228697698,7.817740568939537,-12.393179463020106,6000,333430
midterm,sat_covid_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.14170909361093945,31.797589182500953,-220.56929086665562,6000,333430
midterm,sat_covid_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.19985032414409887,8.601434929071836,-15.212985564208168,6000,333430
midterm,sat_covid_s040000,followers_count,log1p,10,12,500,1.0,frozen_emb,0.1909684071065056,8.322845510487957,-14.17975793809712,6000,333430
midterm,sat_all8_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,0.16910222132378785,154.58145312005973,-5235.4378169451675,6000,333430
midterm,sat_all8_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,0.1398595085950094,72.1913530609181,-1141.0668956425418,6000,333430
midterm,sat_ukr_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,0.18221522140764393,231.23223119711426,-11716.040179367512,6000,333430
midterm,sat_ukr_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,0.18882981201773869,35.672856084467625,-277.8668834464981,6000,333430
midterm,sat_covid_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,0.20001469163984528,1962.2093457928265,-843745.2572718139,6000,333430
midterm,sat_covid_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,0.1342151888306938,34.25407865733374,-256.1258621674599,6000,333430
midterm,__features_only__,account_age_days,log1p,10,12,500,1.0,raw_x,0.039823129990235316,1.476818961115871,-0.25184462954907927,6000,333430
midterm,sat_all8_s001000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.045897094953968154,95.11229004162283,-5191.41251467165,6000,333430
midterm,sat_all8_s002000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.05364300353702106,1050.3813689919546,-633270.4819977855,6000,333430
midterm,sat_all8_s010000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.06401976711212194,5.859556528928697,-18.707221955504096,6000,333430
midterm,sat_all8_s040000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.08724064072190892,9.00822099528553,-45.577264126693635,6000,333430
midterm,sat_ukr_s001000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.03647833901742797,5.33593999790241,-15.342473365137714,6000,333430
midterm,sat_ukr_s002000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.06064167120977455,7.473150830350516,-31.05556282505026,6000,333430
midterm,sat_ukr_s010000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.07007706606345816,5.362193705685029,-15.503684330823972,6000,333430
midterm,sat_ukr_s040000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.06060186215307837,16.84266700496735,-161.82370614941553,6000,333430
midterm,sat_covid_s001000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.0611301621959934,5.395242944164405,-15.70774822274489,6000,333430
midterm,sat_covid_s002000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.061307270589956935,45.2323975785473,-1173.3434453631978,6000,333430
midterm,sat_covid_s010000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.07392529270149832,7.271774038085405,-29.35125556577521,6000,333430
midterm,sat_covid_s040000,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.06985853102941875,6.836132021602602,-25.82358330632854,6000,333430
midterm,sat_all8_s000100,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.0031734121742604078,401.7204096141698,-92627.30240934092,6000,333430
midterm,sat_all8_s000500,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.018061840711966353,62.48395105989341,-2239.95367184983,6000,333430
midterm,sat_ukr_s000100,account_age_days,log1p,10,12,500,1.0,frozen_emb,-0.008161644844964908,399.7538269569409,-91722.61679910694,6000,333430
midterm,sat_ukr_s000500,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.055981966937372195,67.67002680518186,-2627.382749474798,6000,333430
