source,target,historical_value,final_core_value
ukr_rus_twitter,ukr_rus_twitter,0.947028,0.9254863374534694
ukr_rus_twitter,covid19_twitter,0.973043,0.9607473647000688
ukr_rus_twitter,midterm,0.881146,0.8486467114353545
ukr_rus_twitter,covid_political,0.839448,0.8332595190782657
ukr_rus_twitter,election2020,0.826196,0.8329812252201797
ukr_rus_twitter,ukr_rus_suspended,0.789419,0.8311000222904014
ukr_rus_twitter,twibot20,0.921784,0.8969114708261015
ukr_rus_twitter,cp_hk_twitter,0.714035,0.7134749758745974
ukr_rus_twitter,facebook_page_reference,0.975288464655,0.865969851464604
covid19_twitter,ukr_rus_twitter,0.926438,0.8939426076366526
covid19_twitter,covid19_twitter,0.980542,0.9653832366183343
covid19_twitter,midterm,0.884235,0.8446188971914094
covid19_twitter,covid_political,0.849781,0.8320112432556591
covid19_twitter,election2020,0.834535,0.8378247159650956
covid19_twitter,ukr_rus_suspended,0.786113,0.8233079813449318
covid19_twitter,twibot20,0.925756,0.9041060779286526
covid19_twitter,cp_hk_twitter,0.719586,0.7120442438856394
covid19_twitter,facebook_page_reference,0.974159148851,0.8354185992730532
midterm,ukr_rus_twitter,0.796992,0.7975882579083645
midterm,covid19_twitter,0.879003,0.8802397935326529
midterm,midterm,0.925165,0.8644259330413351
midterm,covid_political,0.835314,0.820289746372179
midterm,election2020,0.80474,0.8305737917450653
midterm,ukr_rus_suspended,0.644002,0.7559030848444651
midterm,twibot20,0.861256,0.8501769935490985
midterm,cp_hk_twitter,0.625576,0.698421807216045
midterm,facebook_page_reference,0.900582342529,0.7468772464328342
covid_political,ukr_rus_twitter,0.630141,0.6644709625463375
covid_political,covid19_twitter,0.698542,0.748706214135634
covid_political,midterm,0.687779,0.7015651421985405
covid_political,covid_political,0.914533,0.8660095057268252
covid_political,election2020,0.78333,0.7868971562933648
covid_political,ukr_rus_suspended,0.551013,0.673280835699761
covid_political,twibot20,0.737411,0.765975071643961
covid_political,cp_hk_twitter,0.544398,0.6014386285767245
covid_political,facebook_page_reference,0.742021494253,0.6340169071237703
election2020,ukr_rus_twitter,0.601829,0.7076015506210912
election2020,covid19_twitter,0.655124,0.7593985960858078
election2020,midterm,0.680383,0.7506794791112
election2020,covid_political,0.787224,0.8263122817565653
election2020,election2020,0.951885,0.8894001752937434
election2020,ukr_rus_suspended,0.562676,0.7196116101239376
election2020,twibot20,0.709563,0.8014238182155564
election2020,cp_hk_twitter,0.54752,0.6495243276216062
election2020,facebook_page_reference,0.685769369253,0.6643096733824048
ukr_rus_suspended,ukr_rus_twitter,0.769504,0.8011947041727118
ukr_rus_suspended,covid19_twitter,0.830668,0.8672226216144489
ukr_rus_suspended,midterm,0.724669,0.7646232826956388
ukr_rus_suspended,covid_political,0.732532,0.7527419395373699
ukr_rus_suspended,election2020,0.727516,0.7567333396367185
ukr_rus_suspended,ukr_rus_suspended,0.964013,0.9237125739740684
ukr_rus_suspended,twibot20,0.76474,0.7478085034195033
ukr_rus_suspended,cp_hk_twitter,0.622528,0.67834656791212
ukr_rus_suspended,facebook_page_reference,0.855910643966,0.7606395426837876
twibot20,ukr_rus_twitter,0.868762,0.8553251641006762
twibot20,covid19_twitter,0.947328,0.9399179657757054
twibot20,midterm,0.860016,0.8502654883139892
twibot20,covid_political,0.843136,0.8285687229185726
twibot20,election2020,0.802463,0.8399578246577032
twibot20,ukr_rus_suspended,0.711454,0.7983559023831539
twibot20,twibot20,0.948679,0.9136178639199999
twibot20,cp_hk_twitter,0.689476,0.7186767666275932
twibot20,facebook_page_reference,0.954078383621,0.8076398403708506
cp_hk_twitter,ukr_rus_twitter,0.680769,0.7687040800335763
cp_hk_twitter,covid19_twitter,0.757893,0.855281987318134
cp_hk_twitter,midterm,0.762906,0.822408729540434
cp_hk_twitter,covid_political,0.682708,0.7513344624033377
cp_hk_twitter,election2020,0.641204,0.748384577926548
cp_hk_twitter,ukr_rus_suspended,0.602468,0.7316346208254495
cp_hk_twitter,twibot20,0.737786,0.7872273765304536
cp_hk_twitter,cp_hk_twitter,0.905549,0.8112457050674262
cp_hk_twitter,facebook_page_reference,0.804048315948,0.7698521694917787
facebook_page_reference,ukr_rus_twitter,0.786644333924,0.7946127672305052
facebook_page_reference,covid19_twitter,0.870770205635,0.8545318349111127
facebook_page_reference,midterm,0.809209662308,0.747652525920064
facebook_page_reference,covid_political,0.804823169875,0.7675268113384758
facebook_page_reference,election2020,0.775042625287,0.8030080091450863
facebook_page_reference,ukr_rus_suspended,0.65185645977,0.731951690587961
facebook_page_reference,twibot20,0.835157832631,0.8024783726852972
facebook_page_reference,cp_hk_twitter,0.626638900431,0.662274962184073
facebook_page_reference,facebook_page_reference,0.999471871408,0.8126513110723531
