source,target,roc_auc,sample_std,seeds,model,objective,checkpoint_step,protocol
covid_political,covid_political,0.8660095057268252,0.004764086624930511,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
covid_political,election2020,0.7868971562933648,0.002541473261027926,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
covid_political,twibot20,0.765975071643961,0.015315044257047319,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
covid_political,ukr_rus_suspended,0.673280835699761,0.019394899251638394,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
election2020,covid_political,0.8263122817565653,0.0035899792826737118,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
election2020,election2020,0.8894001752937434,0.0004725710963976902,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
election2020,twibot20,0.8014238182155564,0.008239928708565743,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
election2020,ukr_rus_suspended,0.7196116101239376,0.03925520206122113,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
twibot20,covid_political,0.8285687229185726,0.0023373353599867785,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
twibot20,election2020,0.8399578246577032,0.0014443616516023833,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
twibot20,twibot20,0.9136178639199999,0.0007818089702661449,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
twibot20,ukr_rus_suspended,0.7983559023831539,0.003363064116599861,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
ukr_rus_suspended,covid_political,0.7527419395373699,0.0005158092290031333,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
ukr_rus_suspended,election2020,0.7567333396367185,0.009419477598928805,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
ukr_rus_suspended,twibot20,0.7478085034195033,0.019648110969769594,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
ukr_rus_suspended,ukr_rus_suspended,0.9237125739740684,0.00047063142372029285,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes
covid_political,covid_political,0.8307075024467825,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
covid_political,election2020,0.9442138671875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
covid_political,twibot20,0.5717892116970487,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
covid_political,ukr_rus_suspended,0.55487060546875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
election2020,covid_political,0.8609301511567844,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
election2020,election2020,0.92681884765625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
election2020,twibot20,0.5550833808051215,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
election2020,ukr_rus_suspended,0.537841796875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
twibot20,covid_political,0.8833436981757877,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
twibot20,election2020,0.9847412109375,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
twibot20,twibot20,0.5931593577067057,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
twibot20,ukr_rus_suspended,0.5269775390625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
ukr_rus_suspended,covid_political,0.9100769207242476,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
ukr_rus_suspended,election2020,0.93670654296875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
ukr_rus_suspended,twibot20,0.6043474409315321,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
ukr_rus_suspended,ukr_rus_suspended,0.51470947265625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes
covid_political,covid_political,0.7474320023148149,0.0122190013327792,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
covid_political,election2020,0.6640534577546297,0.0236423213435905,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
covid_political,ukr_rus_suspended,0.5205530237268517,0.0025580286814811,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
covid_political,twibot20,0.6922743055555555,0.0042668381279031,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
election2020,covid_political,0.7361020688657408,0.022955059126335,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
election2020,election2020,0.6571180555555555,0.0647582634958259,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
election2020,ukr_rus_suspended,0.5156702112268517,0.0035793246030854,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
election2020,twibot20,0.6770562065972223,0.0218646877949266,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
twibot20,covid_political,0.736355251736111,0.0190687062996661,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
twibot20,election2020,0.6500470196759259,0.0275577911794033,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
twibot20,ukr_rus_suspended,0.5199200665509259,0.0020358309723608,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
twibot20,twibot20,0.6917136863425926,0.0105001962326823,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
ukr_rus_suspended,covid_political,0.7981951678240741,0.021139392796464,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
ukr_rus_suspended,election2020,0.7681929976851851,0.0373649430912946,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation
