source,target,roc_auc,sample_std,seeds,model,objective,checkpoint_step,protocol,available
covid,covid_political,0.8320112432556591,0.003524774494510158,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid,election2020,0.8378247159650956,0.0011081451107243202,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid,facebook_page_reference,0.8354185992730532,0.004916608271695682,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid,twibot20,0.9041060779286526,0.0005474721665702691,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid,ukr_rus_suspended,0.8233079813449318,0.0035795791076230613,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
cp_hk,covid_political,0.7513344624033377,0.02781979581245261,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
cp_hk,election2020,0.748384577926548,0.030503885563104228,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
cp_hk,facebook_page_reference,0.7698521694917787,0.015205738614170194,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
cp_hk,twibot20,0.7872273765304536,0.011607559435779008,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
cp_hk,ukr_rus_suspended,0.7316346208254495,0.01497066815603044,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
midterm,covid_political,0.820289746372179,0.005812908330306794,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
midterm,election2020,0.8305737917450653,0.002986950856206548,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
midterm,facebook_page_reference,0.7468772464328342,0.004421327442709947,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
midterm,twibot20,0.8501769935490985,0.008895832646800989,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
midterm,ukr_rus_suspended,0.7559030848444651,0.016285239070851422,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus,covid_political,0.8332595190782657,0.0009096703660695824,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus,election2020,0.8329812252201797,0.00033019946343213846,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus,facebook_page_reference,0.865969851464604,0.0011974159741871954,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus,twibot20,0.8969114708261015,0.0019842389001379795,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus,ukr_rus_suspended,0.8311000222904014,0.0044086520692987775,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid_political,covid_political,0.8660095057268252,0.004764086624930511,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid_political,election2020,0.7868971562933648,0.002541473261027926,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid_political,facebook_page_reference,0.6340169071237703,0.015182741159578945,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid_political,twibot20,0.765975071643961,0.015315044257047319,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid_political,ukr_rus_suspended,0.673280835699761,0.019394899251638394,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
election2020,covid_political,0.8263122817565653,0.0035899792826737118,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
election2020,election2020,0.8894001752937434,0.0004725710963976902,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
election2020,facebook_page_reference,0.6643096733824048,0.02042965731535825,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
election2020,twibot20,0.8014238182155564,0.008239928708565743,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
election2020,ukr_rus_suspended,0.7196116101239376,0.03925520206122113,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
facebook_page_reference,covid_political,0.7675268113384758,0.009744944172199137,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
facebook_page_reference,election2020,0.8030080091450863,0.0063417695751002015,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
facebook_page_reference,facebook_page_reference,0.8126513110723531,0.007609606814505721,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
facebook_page_reference,twibot20,0.8024783726852972,0.01009349063582761,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
facebook_page_reference,ukr_rus_suspended,0.731951690587961,0.022501070766358267,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
twibot20,covid_political,0.8285687229185726,0.0023373353599867785,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
twibot20,election2020,0.8399578246577032,0.0014443616516023833,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
twibot20,facebook_page_reference,0.8076398403708506,0.004809811831655421,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
twibot20,twibot20,0.9136178639199999,0.0007818089702661449,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
twibot20,ukr_rus_suspended,0.7983559023831539,0.003363064116599861,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus_suspended,covid_political,0.7527419395373699,0.0005158092290031333,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus_suspended,election2020,0.7567333396367185,0.009419477598928805,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus_suspended,facebook_page_reference,0.7606395426837876,0.0030189444911677184,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus_suspended,twibot20,0.7478085034195033,0.019648110969769594,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
ukr_rus_suspended,ukr_rus_suspended,0.9237125739740684,0.00047063142372029285,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
covid,covid_political,0.8817543515346763,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid,election2020,0.96954345703125,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid,facebook_page_reference,0.8759536743164062,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid,twibot20,0.5788885752360026,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid,ukr_rus_suspended,0.509307861328125,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
cp_hk,covid_political,0.884433068605062,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
cp_hk,election2020,0.947998046875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
cp_hk,facebook_page_reference,0.8651866912841797,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
cp_hk,twibot20,0.5793660481770833,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
cp_hk,ukr_rus_suspended,0.498779296875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
midterm,covid_political,0.9156832809993748,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
midterm,election2020,0.9638671875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
midterm,facebook_page_reference,0.8787994384765625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
midterm,twibot20,0.5760239495171442,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
midterm,ukr_rus_suspended,0.521240234375,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus,covid_political,0.877921696163989,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus,election2020,0.96099853515625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus,facebook_page_reference,0.87530517578125,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus,twibot20,0.5829766591389973,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus,ukr_rus_suspended,0.4935302734375,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid_political,covid_political,0.8307075024467825,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid_political,election2020,0.9442138671875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid_political,facebook_page_reference,0.9020118713378906,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid_political,twibot20,0.5717892116970487,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid_political,ukr_rus_suspended,0.55487060546875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
election2020,covid_political,0.8609301511567844,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
election2020,election2020,0.92681884765625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
election2020,facebook_page_reference,0.844818115234375,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
election2020,twibot20,0.5550833808051215,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
election2020,ukr_rus_suspended,0.537841796875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
facebook_page_reference,covid_political,0.8527589171628198,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
facebook_page_reference,election2020,0.947509765625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
facebook_page_reference,facebook_page_reference,0.89727783203125,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
facebook_page_reference,twibot20,0.5934160020616319,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
facebook_page_reference,ukr_rus_suspended,0.5384521484375,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
twibot20,covid_political,0.8833436981757877,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
twibot20,election2020,0.9847412109375,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
twibot20,facebook_page_reference,0.8588027954101562,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
twibot20,twibot20,0.5931593577067057,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
twibot20,ukr_rus_suspended,0.5269775390625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus_suspended,covid_political,0.9100769207242476,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus_suspended,election2020,0.93670654296875,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus_suspended,facebook_page_reference,0.8131637573242188,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus_suspended,twibot20,0.6043474409315321,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
ukr_rus_suspended,ukr_rus_suspended,0.51470947265625,,1,VISION,feature similarity,900,128 fixed 10-shot episodes,True
covid,covid_political,0.7273943865740741,0.009355276786468,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid,election2020,0.6469184027777778,0.0034106409820967,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid,facebook_page_reference,0.7257520030132504,0.003512229757683,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid,twibot20,0.6902578848379629,0.0059293692351319,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid,ukr_rus_suspended,0.5188982928240741,0.0020405244676643,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
cp_hk,covid_political,0.7324490017361112,0.0168030150694013,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
cp_hk,election2020,0.6627332899305555,0.0347971954487438,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
cp_hk,facebook_page_reference,0.7282662980756438,0.0033406398035386,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
cp_hk,twibot20,0.6961172598379629,0.0028067106324863,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
cp_hk,ukr_rus_suspended,0.5191243489583334,0.0042193194276717,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
midterm,covid_political,0.7222764756944445,0.0173552609229657,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
midterm,election2020,0.6219256365740741,0.0327998174743642,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
midterm,facebook_page_reference,0.7287734329269103,0.002537709099308,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
midterm,twibot20,0.7062807436342592,0.0057634792497227,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
midterm,ukr_rus_suspended,0.5218189380787037,0.0044760210599656,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
