target,pretraining_updates,roc_auc_mean,roc_auc_std,accuracy_mean,macro_f1_mean
covid_political,0,0.6509715426155472,0.012168422973582858,0.6627473412143553,0.596312536607979
covid_political,20,0.6462668613220379,0.012215851089587601,0.6554383288843694,0.5898630091334005
covid_political,60,0.6455807616647071,0.01830330384298547,0.5365662471929156,0.5170160224929975
covid_political,100,0.6445786424117984,0.015840832529883376,0.5359730519893225,0.5164526740515406
covid_political,300,0.6463057865973608,0.010658438051503386,0.6657980594042625,0.5976840371824395
covid_political,900,0.6519255742936902,0.007424448192715033,0.664823524426931,0.5968917002532127
covid_political,2000,0.6526583987787178,0.009777479985664942,0.6660522859200881,0.598198318212559
election2020,0,0.5413317127170433,0.0038023186226524013,0.5302041764320854,0.5197003165128203
election2020,20,0.5422246703341314,0.008874949135696482,0.5344904034965478,0.5071864990746973
election2020,60,0.5405110700247612,0.007284667524830789,0.5285361373281814,0.5217443971047437
election2020,100,0.5461385067823903,0.005724782198657733,0.5323578471738349,0.5248855883252591
election2020,300,0.5431467239662827,0.006860766494633237,0.5305208927176369,0.521741497340039
election2020,900,0.543044045759621,0.008323923473275447,0.5330335085830114,0.5220333660870612
election2020,2000,0.5466253282624581,0.009916934689909299,0.532273389497688,0.5254723272663543
twibot20,0,0.7352327288628387,0.00625704339012788,0.6804733727810651,0.6678229262105789
twibot20,20,0.725868721209945,0.012750367397103437,0.681177796562412,0.6657047143649616
twibot20,60,0.6951635120681733,0.030615041798001022,0.6832910679064526,0.6681346156847736
twibot20,100,0.6814516751806076,0.023583610268659263,0.68160045083122,0.6629532473831482
twibot20,300,0.6839616949885516,0.02888993706037518,0.6734291349675964,0.6632981893654784
twibot20,900,0.6973211975890683,0.02147289964946579,0.68160045083122,0.6701570785678427
twibot20,2000,0.7329183028491778,0.011090773397101215,0.6873767258382643,0.6728458860614227
ukr_rus_suspended,0,0.5731091170888333,0.0456468385646723,0.5745629577132058,0.5560012790312753
ukr_rus_suspended,20,0.5845507009984018,0.02263581201580676,0.5747696669029058,0.5586622129983568
ukr_rus_suspended,60,0.5788642549490154,0.020812508072754875,0.5682730923694779,0.5532021862532485
ukr_rus_suspended,100,0.5627720794891752,0.052270869701010254,0.5638731396172927,0.5466366798754546
ukr_rus_suspended,300,0.5669721412984062,0.040898859840461,0.545416961965509,0.5397432663290733
ukr_rus_suspended,900,0.5878585463845994,0.012615113296546592,0.5643456177651783,0.5606963218226053
ukr_rus_suspended,2000,0.5873278342154311,0.01483467315482193,0.5601523742026931,0.5396334266540076
