pretraining_updates,label_budget_per_class,head_updates,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,cells
0,0,0,0.48731600798202224,0.06790484683078826,0.49653189849977525,0.056360641396029275,0.464689871139436,0.05244136634691339,12
20,0,0,0.48262718615384664,0.05177279386687114,0.49908314214926214,0.055698136219494085,0.45388965314576213,0.041011723838949306,12
60,0,0,0.4988466174995401,0.0894021807578587,0.4900868893076762,0.09345574367466125,0.4464777482872176,0.09083554758115908,12
100,0,0,0.5097698334588551,0.09052795418812315,0.49895982896872465,0.04239004697289416,0.4415772376560247,0.04434092124521613,12
300,0,0,0.4960073346309577,0.07836883523329033,0.4956194222572905,0.05032876322259746,0.4636205421227139,0.03816264689981743,12
900,0,0,0.5194015549138996,0.07145002654185462,0.4935915931598152,0.04813286885053947,0.46563078595461,0.039281682481118005,12
2000,0,0,0.520249878446225,0.09006215360987185,0.49291428481050287,0.04633429891622558,0.46539473633043177,0.0434961243918718,12
0,1,0,0.48731600798202224,0.06790484683078826,0.49653189849977525,0.056360641396029275,0.464689871139436,0.05244136634691339,12
20,1,0,0.48262718615384664,0.05177279386687114,0.49908314214926214,0.055698136219494085,0.45388965314576213,0.041011723838949306,12
60,1,0,0.4988466174995401,0.0894021807578587,0.4900868893076762,0.09345574367466125,0.4464777482872176,0.09083554758115908,12
100,1,0,0.5097698334588551,0.09052795418812315,0.49895982896872465,0.04239004697289416,0.4415772376560247,0.04434092124521613,12
300,1,0,0.4960073346309577,0.07836883523329033,0.4956194222572905,0.05032876322259746,0.4636205421227139,0.03816264689981743,12
900,1,0,0.5194015549138996,0.07145002654185462,0.4935915931598152,0.04813286885053947,0.46563078595461,0.039281682481118005,12
2000,1,0,0.520249878446225,0.09006215360987185,0.49291428481050287,0.04633429891622558,0.46539473633043177,0.0434961243918718,12
0,1,1,0.564998205977426,0.0811174690973134,0.5331058774397722,0.06949801125129619,0.5181017803904958,0.06838194328612676,12
20,1,1,0.5553717626293129,0.07599475596135251,0.5162664429344969,0.09520653266960702,0.49883961672605776,0.09327546395460849,12
60,1,1,0.5271368895188241,0.07966790152789578,0.513632305030279,0.09689202644541589,0.49667866907475516,0.09481748047338884,12
100,1,1,0.5506035701529316,0.07523127002769124,0.5097997882752622,0.09169949275171516,0.4944085823352555,0.09270478411100834,12
300,1,1,0.5661606495563465,0.07445901945134906,0.5070786114843662,0.08840999283849124,0.4928917230405006,0.08884895083243693,12
900,1,1,0.5458528976174896,0.06722747621531194,0.5328189128610533,0.06373162838145514,0.5082937043271989,0.06442125194801776,12
2000,1,1,0.5459893583645135,0.07649737151232959,0.5148218161466313,0.042998180850699966,0.5043686550592593,0.04309613996288846,12
0,1,10,0.5628062833694195,0.07816065972053142,0.5353099312834421,0.061488906270264564,0.5264879481455759,0.06270793183917349,12
20,1,10,0.5559222189465663,0.07925367834188778,0.5387571765721587,0.06804807695342971,0.5202278014215946,0.07081530322511158,12
60,1,10,0.5540745733147322,0.06652280354387115,0.5411628263777732,0.07144429676267243,0.5248777691660903,0.06741016029987015,12
100,1,10,0.5536016748169187,0.07226266401723781,0.5352820692534116,0.06152960154881602,0.5231903609508038,0.06338844158427726,12
300,1,10,0.5746515206641829,0.07519949246791187,0.5382661203331764,0.06476339487071935,0.5202707531091032,0.061442458826202966,12
900,1,10,0.5513733939886678,0.06556468079201631,0.5272286515630797,0.05716278676742967,0.5171387137735057,0.0566660141205956,12
2000,1,10,0.5443601200500015,0.07568316285142655,0.5138299226148504,0.04454762081045881,0.5084216869605619,0.04425511636514758,12
0,1,100,0.5608237630613641,0.07437445695961131,0.5377294246162675,0.06670844148323087,0.526583691327187,0.06657256504965552,12
20,1,100,0.556644766005938,0.07418559478678961,0.5444470929197117,0.063035465965748,0.5292547717990964,0.0636321945660835,12
60,1,100,0.555912072342105,0.06217801087288531,0.5401491188599753,0.06134923178500944,0.5308958745168816,0.05992052699449068,12
100,1,100,0.5562396440123801,0.07037784692657531,0.5339363464653913,0.05553407646580122,0.5241314815779707,0.0575905900037069,12
300,1,100,0.574437242654198,0.0744444178250887,0.5338378404287837,0.0574680670494377,0.5233261262520811,0.05888002709330372,12
900,1,100,0.5563177408888983,0.061715045472365955,0.5272739354428312,0.0543355913765825,0.51841410670421,0.055445717520486375,12
2000,1,100,0.5431700162774517,0.07800086353754553,0.5174762431221247,0.04086837233418276,0.5120861230753847,0.0410864852102066,12
0,10,0,0.48731600798202224,0.06790484683078826,0.49653189849977525,0.056360641396029275,0.464689871139436,0.05244136634691339,12
20,10,0,0.48262718615384664,0.05177279386687114,0.49908314214926214,0.055698136219494085,0.45388965314576213,0.041011723838949306,12
60,10,0,0.4988466174995401,0.0894021807578587,0.4900868893076762,0.09345574367466125,0.4464777482872176,0.09083554758115908,12
100,10,0,0.5097698334588551,0.09052795418812315,0.49895982896872465,0.04239004697289416,0.4415772376560247,0.04434092124521613,12
300,10,0,0.4960073346309577,0.07836883523329033,0.4956194222572905,0.05032876322259746,0.4636205421227139,0.03816264689981743,12
900,10,0,0.5194015549138996,0.07145002654185462,0.4935915931598152,0.04813286885053947,0.46563078595461,0.039281682481118005,12
2000,10,0,0.520249878446225,0.09006215360987185,0.49291428481050287,0.04633429891622558,0.46539473633043177,0.0434961243918718,12
0,10,1,0.560903337552601,0.07111617555298634,0.5334530180163176,0.06094420356964305,0.5110631163446886,0.06790530368519403,12
20,10,1,0.5457977902053026,0.06371486759545571,0.5549460188610517,0.07057528586107543,0.5126244974349731,0.05576257029204952,12
60,10,1,0.5405037863055174,0.06038056865066618,0.5329452032010348,0.06273598089811477,0.5096494418666259,0.06849874822435516,12
100,10,1,0.5505892909640554,0.06395742365250241,0.5509444807113139,0.0750436221169962,0.5077280528429106,0.06460630815961527,12
300,10,1,0.5701559342369767,0.067349949466792,0.5511227693314865,0.07401670762360689,0.5054364443323541,0.0630948895237004,12
900,10,1,0.5411228546068236,0.046711902025244625,0.535030622807941,0.0647881468916244,0.49895145315623823,0.04329989295249477,12
2000,10,1,0.5822210615289795,0.07238237288634765,0.5532443844766471,0.06437259372069241,0.529518349439976,0.0635874121692077,12
0,10,10,0.5678934226048691,0.08146650250357203,0.5546405524595834,0.07628356708578993,0.5243938613497959,0.06663470990308433,12
20,10,10,0.5532924282254714,0.09393371894874344,0.5443688234908036,0.0820154643729201,0.5123451520355405,0.06299090403507755,12
60,10,10,0.5598727715518966,0.08069658967357178,0.5499020465452404,0.08687671579656435,0.5205292417083589,0.0703568673988334,12
100,10,10,0.5329498283285453,0.0801300633713332,0.5441275626595005,0.0740819118045531,0.504108586037174,0.058266934813703423,12
300,10,10,0.563592493599634,0.06807711595500704,0.5403751349077067,0.08007031289940605,0.5023087025245785,0.060462603397044984,12
900,10,10,0.5690808208655364,0.0715798074295124,0.554811535277947,0.08435627700387767,0.5253905791544363,0.06923876966629548,12
2000,10,10,0.5761591324894112,0.07509685875518586,0.5703479337438603,0.07934664572231427,0.5467121951555466,0.06484675192260794,12
0,10,100,0.5833972015129527,0.0815242029512656,0.5699523628178591,0.08157592284115028,0.5495446335790798,0.07089570030749948,12
20,10,100,0.5734383410323016,0.07503626382684174,0.5540102377304694,0.07219474458026165,0.5369508078695324,0.06192935671073132,12
60,10,100,0.5732023911553518,0.0753832396302009,0.556420353153337,0.07546844133532782,0.5308600291016216,0.06505377867789246,12
100,10,100,0.5663398540912513,0.07598849081592468,0.5526935104339842,0.06905124059345964,0.5255224826983704,0.05547008300640387,12
300,10,100,0.5688884750283395,0.07460533705821505,0.5741587841410613,0.06933351969831399,0.5513816922254114,0.059765316290638235,12
900,10,100,0.5736003097860798,0.0817585877139161,0.5737128983182676,0.07252411461545556,0.5505379496851738,0.06591436089581207,12
2000,10,100,0.5682102118376643,0.08068222779776744,0.566405006583842,0.08085597320858214,0.5476471687084693,0.06706926001730791,12
0,100,0,0.48731600798202224,0.06790484683078826,0.49653189849977525,0.056360641396029275,0.464689871139436,0.05244136634691339,12
20,100,0,0.48262718615384664,0.05177279386687114,0.49908314214926214,0.055698136219494085,0.45388965314576213,0.041011723838949306,12
60,100,0,0.4988466174995401,0.0894021807578587,0.4900868893076762,0.09345574367466125,0.4464777482872176,0.09083554758115908,12
100,100,0,0.5097698334588551,0.09052795418812315,0.49895982896872465,0.04239004697289416,0.4415772376560247,0.04434092124521613,12
300,100,0,0.4960073346309577,0.07836883523329033,0.4956194222572905,0.05032876322259746,0.4636205421227139,0.03816264689981743,12
900,100,0,0.5194015549138996,0.07145002654185462,0.4935915931598152,0.04813286885053947,0.46563078595461,0.039281682481118005,12
2000,100,0,0.520249878446225,0.09006215360987185,0.49291428481050287,0.04633429891622558,0.46539473633043177,0.0434961243918718,12
0,100,1,0.568399130407839,0.08174076899591069,0.5300476762200937,0.06400810454512065,0.5142439065118455,0.0662474854036617,12
20,100,1,0.5546627999897886,0.07891729009350337,0.5270882820672019,0.06336170620295224,0.5055144485263418,0.06485321509706062,12
60,100,1,0.5571487068687736,0.071397262723502,0.5304069036930699,0.06453922465461653,0.5117825359834193,0.06538821567940503,12
100,100,1,0.5505155480065805,0.06331919293632614,0.5296350347374658,0.062031317712002265,0.5112129656924634,0.06203210802900633,12
300,100,1,0.5620751447072913,0.06670017804410557,0.5269880195066788,0.06312448758752487,0.5062821123055442,0.06454242387147202,12
900,100,1,0.5786453593150477,0.04577323982911179,0.5224920156676445,0.04346664430985189,0.5066680734058889,0.03991508261052319,12
2000,100,1,0.595098883368178,0.059275644236954354,0.5423038355661784,0.06383985435708883,0.5336940127881618,0.06508288726356737,12
0,100,10,0.6085056405311045,0.08098270071508137,0.5497955546497032,0.06522623693918192,0.5420904686152263,0.06549547350342101,12
20,100,10,0.594139964842547,0.07441684190000787,0.5401143210522861,0.0604331265795245,0.5210558565595061,0.06724917999999838,12
60,100,10,0.5890376266945249,0.06948371564029583,0.542189206596996,0.0591914521182288,0.5201602357448774,0.06154929391943553,12
100,100,10,0.5824833091595977,0.05850059155915641,0.5438028715511077,0.05599722246023111,0.5208280612377787,0.053683250205003086,12
300,100,10,0.5873284735751542,0.05949603574509552,0.5431177193497815,0.05035657201865979,0.5251558193705225,0.04794786718415563,12
900,100,10,0.6121174961173176,0.0625770538171607,0.5734721987868435,0.0728725933989356,0.5569863292911207,0.06472354741133372,12
2000,100,10,0.6105982351442799,0.057154200017884994,0.6031061388754061,0.06676065245707752,0.5766867334433147,0.05769330844689459,12
0,100,100,0.6251612753210656,0.08097518014344318,0.6119969620351778,0.06576630071960747,0.5849592645906635,0.06057053568076681,12
20,100,100,0.6247277384661291,0.07332929191031466,0.6114690489615587,0.06439283097994083,0.580354108892854,0.06431541868995229,12
60,100,100,0.6150298996766642,0.06478237672905579,0.5791666361992568,0.07322283137396478,0.5650243053839408,0.0699275700133199,12
100,100,100,0.6087352259659929,0.06392783497080523,0.5784511224029175,0.07182538807775145,0.5627320474088506,0.0674741752911964,12
300,100,100,0.6100965867126503,0.0637206418026963,0.6037912622637512,0.07151117842621238,0.5806167475542575,0.06156988943888252,12
900,100,100,0.6200373410067447,0.06277561919018788,0.6109507754015852,0.06768764121025342,0.5874446166826804,0.05782573278790507,12
2000,100,100,0.6298824660264463,0.07428896795652308,0.6114636938646834,0.07022293842738428,0.5840374895485859,0.06248662652664029,12
