architecture,order,rung,source_added,training_seeds,checkpoint_step,objective,covid_political,election2020,facebook_page_reference,twibot20,ukr_rus_suspended
PRODIGY,A,1,ukr_rus,3,2500,neighbor matching,0.940166991,0.987019857,0.761138280,0.622427481,0.504699707
PRODIGY,A,2,covid,3,2500,neighbor matching,0.936536153,0.986816406,0.766874313,0.603063513,0.484232585
PRODIGY,A,3,midterm,3,2500,neighbor matching,0.926898815,0.984313965,0.748738607,0.586861293,0.471394857
PRODIGY,A,4,covid_political,3,2500,neighbor matching,0.925035453,0.982696533,0.734844208,0.591759576,0.490559896
PRODIGY,A,5,election2020,3,2500,neighbor matching,0.931009834,0.991577148,0.751661936,0.595793901,0.494120280
PRODIGY,A,6,ukr_rus_suspended,3,2500,neighbor matching,0.927399435,0.990091960,0.757830938,0.600333037,0.484639486
PRODIGY,A,7,twibot20,3,2500,neighbor matching,0.926367677,0.990641276,0.768698374,0.617452833,0.501118978
PRODIGY,A,8,cp_hk,3,2500,neighbor matching,0.925342889,0.990783691,0.737871806,0.632697423,0.474507650
PRODIGY,A,9,facebook_page_reference,3,2500,neighbor matching,0.926809334,0.991577148,0.780109406,0.622967826,0.484436035
PRODIGY,B,1,ukr_rus_suspended,3,2500,neighbor matching,0.722418043,0.972086589,0.645079295,0.617700647,0.477233887
PRODIGY,B,2,election2020,3,2500,neighbor matching,0.887660085,0.985412598,0.637830098,0.611291391,0.462036133
PRODIGY,B,3,ukr_rus,3,2500,neighbor matching,0.927087666,0.990091960,0.703669230,0.621275089,0.502726237
PRODIGY,B,4,facebook_page_reference,3,2500,neighbor matching,0.931131622,0.987263997,0.775034587,0.620211354,0.507364909
PRODIGY,B,5,cp_hk,3,2500,neighbor matching,0.917571362,0.985677083,0.757894516,0.622107894,0.486653646
PRODIGY,B,6,covid_political,3,2500,neighbor matching,0.926384820,0.986796061,0.763128281,0.623941139,0.477233887
PRODIGY,B,7,covid,3,2500,neighbor matching,0.934124888,0.987548828,0.775452296,0.620143184,0.487040202
PRODIGY,B,8,midterm,3,2500,neighbor matching,0.931239093,0.988810221,0.776947021,0.639476988,0.476420085
PRODIGY,B,9,twibot20,3,2500,neighbor matching,0.926809334,0.991577148,0.780109406,0.622967826,0.484436035
PRODIGY,C,1,twibot20,3,2500,neighbor matching,0.913907557,0.987996419,0.784132640,0.616649486,0.510640462
PRODIGY,C,2,midterm,3,2500,neighbor matching,0.896163564,0.986653646,0.780473073,0.601006190,0.521138509
PRODIGY,C,3,covid,3,2500,neighbor matching,0.935012252,0.986673991,0.776816050,0.608735049,0.495096842
PRODIGY,C,4,covid_political,3,2500,neighbor matching,0.924143567,0.985046387,0.771401087,0.592941708,0.501688639
PRODIGY,C,5,cp_hk,3,2500,neighbor matching,0.928380896,0.986816406,0.779158910,0.603164037,0.499552409
PRODIGY,C,6,facebook_page_reference,3,2500,neighbor matching,0.915986803,0.983907064,0.773821513,0.603184594,0.491455078
PRODIGY,C,7,ukr_rus,3,2500,neighbor matching,0.921777419,0.986755371,0.773513794,0.600396686,0.495930990
PRODIGY,C,8,election2020,3,2500,neighbor matching,0.925726243,0.991200765,0.768557866,0.597894386,0.480305990
PRODIGY,C,9,ukr_rus_suspended,3,2500,neighbor matching,0.926809334,0.991577148,0.780109406,0.622967826,0.484436035
VISION,A,1,ukr_rus,1,2500,feature similarity,0.887746207,0.959533691,0.879606247,0.585243013,0.482849121
VISION,A,3,midterm,1,2500,feature similarity,0.909388551,0.970642090,0.878162384,0.580116060,0.510223389
VISION,A,5,election2020,1,2500,feature similarity,0.826546061,0.914550781,0.893093109,0.577782949,0.539062500
VISION,A,7,twibot20,1,2500,feature similarity,0.827070675,0.934936523,0.887592316,0.579834832,0.556579590
VISION,A,9,facebook_page_reference,1,2500,feature similarity,0.836385227,0.946899414,0.888504028,0.583888372,0.534912109
VISION,B,1,ukr_rus_suspended,1,2500,feature similarity,0.903570221,0.941162109,0.846626282,0.597279867,0.537292480
VISION,B,3,ukr_rus,1,2500,feature similarity,0.866695595,0.920959473,0.867122650,0.581583659,0.561157227
VISION,B,5,cp_hk,1,2500,feature similarity,0.877450818,0.939270020,0.886543274,0.585756302,0.551086426
VISION,B,7,covid,1,2500,feature similarity,0.837911068,0.925292969,0.888435364,0.581933975,0.566528320
VISION,B,9,twibot20,1,2500,feature similarity,0.836385227,0.946899414,0.888504028,0.583888372,0.534912109
VISION,C,1,twibot20,1,2500,feature similarity,0.881777078,0.984008789,0.871158600,0.585653517,0.531494141
VISION,C,3,covid,1,2500,feature similarity,0.903806616,0.982055664,0.888168335,0.575390922,0.521911621
VISION,C,5,cp_hk,1,2500,feature similarity,0.835082825,0.963806152,0.894252777,0.580603494,0.545257568
VISION,C,7,ukr_rus,1,2500,feature similarity,0.850427252,0.973571777,0.891763687,0.580082364,0.540100098
VISION,C,9,ukr_rus_suspended,1,2500,feature similarity,0.836385227,0.946899414,0.888504028,0.583888372,0.534912109
