model,objective,step,loss_mean,loss_std,n,measurement,source
PRODIGY,neighbor matching,20,3.419794305165609,0.0009853526058915445,3,trailing 20-update training mean,Tucker archived W&B histories
PRODIGY,neighbor matching,60,3.245956520239512,0.01029429090387526,3,trailing 20-update training mean,Tucker archived W&B histories
PRODIGY,neighbor matching,100,3.1827142198880516,0.012420491091648942,3,trailing 20-update training mean,Tucker archived W&B histories
PRODIGY,neighbor matching,300,2.5444946845372516,0.028131774926733126,3,trailing 20-update training mean,Tucker archived W&B histories
PRODIGY,neighbor matching,900,2.04768035809199,0.004011495327999296,3,trailing 20-update training mean,Tucker archived W&B histories
PRODIGY,neighbor matching,2500,1.9195747315883636,0.0027281989154177015,3,trailing 20-update training mean,Tucker archived W&B histories
VISION,feature similarity,20,5.1474036586284635,0.3169546331566821,25,fixed native-SSL evaluation episodes,vision_native_cross_ssl_cells.csv
VISION,feature similarity,60,4.885044484212995,0.3566441873924726,25,fixed native-SSL evaluation episodes,vision_native_cross_ssl_cells.csv
VISION,feature similarity,100,4.793749847263098,0.3722994309499889,25,fixed native-SSL evaluation episodes,vision_native_cross_ssl_cells.csv
VISION,feature similarity,300,4.6166648901999,0.3958769086303203,25,fixed native-SSL evaluation episodes,vision_native_cross_ssl_cells.csv
VISION,feature similarity,900,4.528249596133828,0.4114794526151648,25,fixed native-SSL evaluation episodes,vision_native_cross_ssl_cells.csv
SAMGPT,GraphCL,20,1.4786610921223957,0.19856801833273696,3,trailing 20-update training mean,Tucker pretrain_history.jsonl
SAMGPT,GraphCL,60,0.35484535445769627,0.030192464570743007,3,trailing 20-update training mean,Tucker pretrain_history.jsonl
SAMGPT,GraphCL,180,0.013765072054229678,0.004319521030503476,3,trailing 20-update training mean,Tucker pretrain_history.jsonl
SAMGPT,GraphCL,500,0.0014516600873321296,0.00034685209405271183,3,trailing 20-update training mean,Tucker pretrain_history.jsonl
GraphSAGE,link prediction,1,1.3669503927230835,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,100,1.364784836769104,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,200,1.3420146703720093,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,300,1.5719982385635376,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,400,1.3042049407958984,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,500,0.9023647308349609,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,600,1.4163552522659302,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,700,0.8492671251296997,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,800,1.367124080657959,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,900,0.5382809638977051,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1000,0.9365730881690979,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1100,0.22367556393146515,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1200,0.9278733730316162,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1300,1.212028980255127,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1400,0.9422293305397034,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1500,1.3237122297286987,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1600,1.1477949619293213,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1700,0.19139011204242706,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1800,0.26467862725257874,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,1900,0.9592865109443665,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
GraphSAGE,link prediction,2000,0.9871759414672852,,1,sparse logged minibatch loss,Tucker pilot-v1 step-2000 results.json
