arm,rule,roc_auc
B0_40k,count_threshold,0.4781217499999999
B0_40k,in_degree,0.5151266250000001
B0_40k,out_degree,0.52383925
B0_40k,existence,0.51463125
B0_40k,conjunction,0.5128868750000001
B1_40k,count_threshold,0.5266895
B1_40k,in_degree,0.509317
B1_40k,out_degree,0.5225055
B1_40k,existence,0.524712
B1_40k,conjunction,0.52608075
E1_40k,count_threshold,0.67230525
E1_40k,in_degree,0.6272091249999999
E1_40k,out_degree,0.51459175
E1_40k,existence,0.5349835
E1_40k,conjunction,0.5341
E2_40k,count_threshold,0.58931625
E2_40k,in_degree,0.51251675
E2_40k,out_degree,0.583186875
E2_40k,existence,0.6227400000000001
E2_40k,conjunction,0.626171375
E2b_40k,count_threshold,0.6593260000000001
E2b_40k,in_degree,0.55779325
E2b_40k,out_degree,0.7099021249999999
E2b_40k,existence,0.547793
E2b_40k,conjunction,0.57415125
E4_40k,count_threshold,0.244681125
E4_40k,in_degree,0.2912025
E4_40k,out_degree,0.359377375
E4_40k,existence,0.508258625
E4_40k,conjunction,0.46750075
E4r_40k,count_threshold,0.17848125
E4r_40k,in_degree,0.147592625
E4r_40k,out_degree,0.36905
E4r_40k,existence,0.449241875
E4r_40k,conjunction,0.3765005
