dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
covid19_twitter,__floor__,degree_matched,common_neighbors,0.6947015306122449,0.9292004770871056,0.98,1,2800,1400,,,0.0
covid19_twitter,__floor__,degree_matched,adamic_adar,0.6959270408163265,0.9265807157641244,0.98,1,2800,1400,,,0.0
covid19_twitter,__floor__,degree_matched,preferential_attachment,0.5050443877551021,0.5648680618100117,1.0,-1,2800,1400,,,0.0
covid19_twitter,__floor__,degree_matched,jaccard,0.694844387755102,0.9248978931038366,0.98,1,2800,1400,,,0.0
covid19_twitter,__floor__,degree_matched,raw_feature_cosine,0.5855117346938775,0.6293379069143467,0.9,1,2800,1400,,,0.0
covid19_twitter,__floor__,random,common_neighbors,0.7048362244897959,0.9887063269719262,1.0,1,2800,1400,,,0.0
covid19_twitter,__floor__,random,adamic_adar,0.7050413265306122,0.9883399256031469,1.0,1,2800,1400,,,0.0
covid19_twitter,__floor__,random,preferential_attachment,0.6998727040816326,0.740341763115169,0.98,1,2800,1400,,,0.0
covid19_twitter,__floor__,random,jaccard,0.7046772959183674,0.9862226872168969,0.98,1,2800,1400,,,0.0
covid19_twitter,__floor__,random,raw_feature_cosine,0.6329339285714286,0.676040412599857,0.9,1,2800,1400,,,0.0
covid19_twitter,__floor__,hard_2hop,common_neighbors,0.7686775510204081,0.8671202142582207,1.0,-1,2800,1400,,,0.0
covid19_twitter,__floor__,hard_2hop,adamic_adar,0.7952573979591837,0.8567275604759155,1.0,-1,2800,1400,,,0.0
covid19_twitter,__floor__,hard_2hop,preferential_attachment,0.5766640306122449,0.5862838351651165,1.0,-1,2800,1400,,,0.0
covid19_twitter,__floor__,hard_2hop,jaccard,0.8442788265306123,0.8887934247011956,1.0,-1,2800,1400,,,0.0
covid19_twitter,__floor__,hard_2hop,raw_feature_cosine,0.5248257653061225,0.6125725118527598,1.0,-1,2800,1400,,,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r1,degree_matched,encoder_cosine,0.8777173469387755,0.8681164868254954,0.96,1,2800,1400,0.506295,0.9995,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r1,random,encoder_cosine,0.8521994897959184,0.8427512746861945,0.96,1,2800,1400,0.505356,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r1,hard_2hop,encoder_cosine,0.6708515306122449,0.6272316440818425,0.82,-1,2800,1400,0.503884,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r2,degree_matched,encoder_cosine,0.8798551020408163,0.874950301789612,0.94,1,2800,1400,0.498366125,0.9995,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r2,random,encoder_cosine,0.8708744897959184,0.8707083483941189,0.96,1,2800,1400,0.496885125,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r2,hard_2hop,encoder_cosine,0.6639586734693878,0.6180918136352914,0.74,-1,2800,1400,0.505574875,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r3,degree_matched,encoder_cosine,0.8810892857142857,0.8763812240565372,0.9,1,2800,1400,0.5073965,0.9995,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r3,random,encoder_cosine,0.8809181122448979,0.8813137810580396,0.94,1,2800,1400,0.50610875,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r3,hard_2hop,encoder_cosine,0.6642173469387755,0.6186696263449041,0.66,-1,2800,1400,0.50314475,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r4,degree_matched,encoder_cosine,0.8635744897959183,0.8700185095098674,0.94,1,2800,1400,0.496769875,0.9995,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r4,random,encoder_cosine,0.8528198979591837,0.8597443821993253,0.96,1,2800,1400,0.50179925,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r4,hard_2hop,encoder_cosine,0.6497329081632653,0.6219617625261904,0.86,-1,2800,1400,0.500885875,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r5,degree_matched,encoder_cosine,0.8800505102040816,0.8838141770965847,0.96,1,2800,1400,0.5052395,0.9995,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r5,random,encoder_cosine,0.8728469387755102,0.8793545893833555,0.98,1,2800,1400,0.50832625,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r5,hard_2hop,encoder_cosine,0.6420918367346938,0.6048706218672323,0.8,-1,2800,1400,0.50348975,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r6,degree_matched,encoder_cosine,0.8442448979591837,0.8480734035754514,0.94,1,2800,1400,0.499044375,0.9995,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r6,random,encoder_cosine,0.8383770408163266,0.8473890374822541,0.94,1,2800,1400,0.5088765,0.99975,0.0
covid19_twitter,matched40k__nm_ladder_h2m_ordA_r6,hard_2hop,encoder_cosine,0.6730900510204082,0.6569162172501047,0.86,-1,2800,1400,0.5057515,0.99975,0.0
