dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
cp_hk_twitter,__floor__,degree_matched,common_neighbors,0.5334673469387755,0.5480589562062294,0.4,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,degree_matched,adamic_adar,0.5335224489795919,0.5345931701540472,0.38,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,degree_matched,preferential_attachment,0.48711530612244897,0.4964824958095475,0.46,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,degree_matched,jaccard,0.5270099489795919,0.5278120383045476,0.34,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,degree_matched,raw_feature_cosine,0.5109002551020408,0.5278578128862678,0.44,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,common_neighbors,0.7747795918367347,0.9041465479023769,1.0,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,adamic_adar,0.7798533163265307,0.8948057049580481,1.0,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,preferential_attachment,0.7788867346938776,0.8215169000080395,0.96,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,jaccard,0.7342265306122449,0.7536498671141076,0.46,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,random,raw_feature_cosine,0.5933566326530613,0.6380969523532639,0.78,1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,common_neighbors,0.7319734693877551,0.7877921653450085,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,adamic_adar,0.745254081632653,0.7776222007812083,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,preferential_attachment,0.5378474489795918,0.5725924153141131,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,jaccard,0.8371538265306122,0.8486397808317594,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,__floor__,hard_2hop,raw_feature_cosine,0.5113989795918368,0.6493982287283805,1.0,-1,2800,1400,,,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r1,degree_matched,encoder_cosine,0.5700869897959183,0.51818625357505,0.22,1,2800,1400,0.503847875,0.9994988724630418,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r1,random,encoder_cosine,0.7211316326530612,0.6462999984683834,0.34,1,2800,1400,0.5175805,0.9987487487487487,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r1,hard_2hop,encoder_cosine,0.7256964285714286,0.6696231573564368,0.92,-1,2800,1400,0.50970625,0.9997496871088861,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r2,degree_matched,encoder_cosine,0.5617992346938776,0.5139752317113621,0.4,1,2800,1400,0.502811625,0.9994988724630418,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r2,random,encoder_cosine,0.7451701530612245,0.6762317442339985,0.52,1,2800,1400,0.516518125,0.9987487487487487,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r2,hard_2hop,encoder_cosine,0.7309334183673469,0.6635889147501316,0.84,-1,2800,1400,0.514652,0.9997496871088861,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r3,degree_matched,encoder_cosine,0.5607147959183674,0.5139877463897783,0.28,1,2800,1400,0.500588125,0.9994988724630418,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r3,random,encoder_cosine,0.7231400510204081,0.6489549257348138,0.4,1,2800,1400,0.520996375,0.9987487487487487,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r3,hard_2hop,encoder_cosine,0.7700479591836734,0.7178378367384224,0.94,-1,2800,1400,0.51136525,0.9997496871088861,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r4,degree_matched,encoder_cosine,0.5659785714285714,0.5217396310046987,0.36,1,2800,1400,0.504783875,0.9994988724630418,0.0
