arm,trained_models,model_parameters,mean_episodes,plateau_stops,cap_stops,cap_with_last_check_gain,mean_seconds_per_1000_episodes,peak_tensor_mib
baseline,8,1640514,10000.0,1,7,5,52.743663382530215,472.80126953125
exposure,8,1640514,9250.0,4,4,2,54.2623752772808,466.00830078125
schedule,8,1640514,9500.0,4,4,4,55.777416134625675,472.2421875
composition,8,1640514,10000.0,0,8,0,54.53673955798149,459.22900390625
centers,8,1640514,9000.0,5,3,2,55.029185218612355,482.08837890625
eligibility,8,1640514,9000.0,4,4,1,52.216758247216546,468.6552734375
positives,8,1640514,9750.0,2,6,4,53.59081147760153,467.9306640625
negatives,8,1640514,9250.0,5,3,2,53.69015685170889,483.61865234375
context,8,1640514,9500.0,4,4,3,58.26245988085866,489.77490234375
optimization,8,1640514,10000.0,0,8,5,55.38732445538044,476.8330078125
alignment,8,1640514,9500.0,2,6,4,59.37003133296967,472.80126953125
sharing,8,1654338,8000.0,7,1,0,74.43149579217037,530.0078125
capacity,8,4860034,9500.0,2,6,3,63.12522445842624,768.18017578125
objective,8,1640514,10000.0,1,7,4,55.02709283530712,531.876953125
region_adaptive,8,1640514,9000.0,6,2,1,56.04457372675339,482.04736328125
coverage,8,1640514,9750.0,1,7,4,54.64406326934695,474.86865234375
budget,8,1640514,5625.0,1,7,3,55.49007746409802,472.80126953125
combined,8,1640514,10000.0,2,6,4,49.05117287635803,531.876953125
