arm,rung,role,roc_auc,target_count,expected_targets,complete_panel
alignment,1,included,0.9284421602884928,1,1,True
alignment,1,not_yet_included,0.8430100073368091,7,7,True
alignment,1,unseen,0.8946828650332044,1,1,True
alignment,2,included,0.9410679226634147,2,2,True
alignment,2,not_yet_included,0.8225620650925398,6,6,True
alignment,2,unseen,0.9054600544359492,1,1,True
alignment,3,included,,1,3,False
alignment,3,unseen,0.9033623314451896,1,1,True
alignment,4,included,,1,4,False
alignment,4,unseen,0.8975893357704424,1,1,True
alignment,5,included,,1,5,False
alignment,5,unseen,0.9007442041375172,1,1,True
alignment,6,included,,1,6,False
alignment,6,unseen,0.8906029369639253,1,1,True
alignment,7,unseen,0.8977961656691013,1,1,True
alignment,8,included,0.8634322951922471,8,8,True
alignment,8,unseen,0.8978981279778756,1,1,True
baseline,1,included,0.9249875790771398,1,1,True
baseline,1,not_yet_included,0.8450447901912119,7,7,True
baseline,1,unseen,0.8991632279308363,1,1,True
baseline,2,included,0.9420527789784574,2,2,True
baseline,2,not_yet_included,0.8191884171688694,6,6,True
baseline,2,unseen,0.9026835926647844,1,1,True
baseline,3,included,0.9133306021891334,3,3,True
baseline,3,not_yet_included,0.8153038572442943,5,5,True
baseline,3,unseen,0.902123902172878,1,1,True
baseline,4,included,,1,4,False
baseline,4,unseen,0.8996014474452226,1,1,True
baseline,5,included,,1,5,False
baseline,5,unseen,0.90147029147751,1,1,True
baseline,6,included,,1,6,False
baseline,6,unseen,0.8955799664574108,1,1,True
baseline,7,included,,1,7,False
baseline,7,unseen,0.8985610515221782,1,1,True
baseline,8,included,0.861197320089258,8,8,True
baseline,8,unseen,0.8975454004331566,1,1,True
budget,1,included,0.9082857815698644,1,1,True
budget,1,not_yet_included,0.8381892535291086,7,7,True
budget,1,unseen,0.8911482398537385,1,1,True
budget,2,included,0.9356328720333932,2,2,True
budget,2,not_yet_included,0.8198311082019659,6,6,True
budget,2,unseen,0.9004679577103977,1,1,True
budget,3,included,0.9076635067947066,3,3,True
budget,3,not_yet_included,0.8157890130185533,5,5,True
