arm,step,task,dataset,target,metric,value,shots,model
all8,100,classification,covid_political,,roc_auc,0.5805381944444445,10,sat_all8_s000100
all8,100,classification,election2020,,roc_auc,0.5214759999999999,10,sat_all8_s000100
all8,100,classification,twibot20,,roc_auc,0.6678921944444445,10,sat_all8_s000100
all8,100,classification,ukr_rus_suspended,,roc_auc,0.4928979999999999,10,sat_all8_s000100
all8,500,classification,covid_political,,roc_auc,0.9006685138888888,10,sat_all8_s000500
all8,500,classification,election2020,,roc_auc,0.98665,10,sat_all8_s000500
all8,500,classification,twibot20,,roc_auc,0.6671332777777778,10,sat_all8_s000500
all8,500,classification,ukr_rus_suspended,,roc_auc,0.5076480000000001,10,sat_all8_s000500
all8,1000,classification,covid_political,,roc_auc,0.9097569305555556,10,sat_all8_s001000
all8,1000,classification,election2020,,roc_auc,0.983108,10,sat_all8_s001000
all8,1000,classification,twibot20,,roc_auc,0.6115166527777778,10,sat_all8_s001000
all8,1000,classification,ukr_rus_suspended,,roc_auc,0.51239,10,sat_all8_s001000
all8,2000,classification,covid_political,,roc_auc,0.9228838333333332,10,sat_all8_s002000
all8,2000,classification,election2020,,roc_auc,0.982588,10,sat_all8_s002000
all8,2000,classification,twibot20,,roc_auc,0.6527896111111112,10,sat_all8_s002000
all8,2000,classification,ukr_rus_suspended,,roc_auc,0.487432,10,sat_all8_s002000
all8,10000,classification,covid_political,,roc_auc,0.9322839027777778,10,sat_all8_s010000
all8,10000,classification,election2020,,roc_auc,0.9828,10,sat_all8_s010000
all8,10000,classification,twibot20,,roc_auc,0.6383755277777778,10,sat_all8_s010000
all8,10000,classification,ukr_rus_suspended,,roc_auc,0.5158020000000001,10,sat_all8_s010000
all8,40000,classification,covid_political,,roc_auc,0.9266721944444444,10,sat_all8_s040000
all8,40000,classification,election2020,,roc_auc,0.984164,10,sat_all8_s040000
all8,40000,classification,twibot20,,roc_auc,0.6258280555555555,10,sat_all8_s040000
all8,40000,classification,ukr_rus_suspended,,roc_auc,0.507736,10,sat_all8_s040000
covid,100,classification,covid_political,,roc_auc,0.5939162916666667,10,sat_covid_s000100
covid,100,classification,election2020,,roc_auc,0.515344,10,sat_covid_s000100
covid,100,classification,twibot20,,roc_auc,0.6834379305555556,10,sat_covid_s000100
covid,100,classification,ukr_rus_suspended,,roc_auc,0.495872,10,sat_covid_s000100
covid,500,classification,covid_political,,roc_auc,0.8082542222222222,10,sat_covid_s000500
covid,500,classification,election2020,,roc_auc,0.969396,10,sat_covid_s000500
covid,500,classification,twibot20,,roc_auc,0.6047034166666667,10,sat_covid_s000500
