arm,step,task,dataset,target,metric,value,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path
all8,0,classification,covid_political,,roc_auc,0.434448,sat_h2m_all8_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_covid_political_pl_10shot_01_08_2026_13_29_54/data/metrics_test_step0.json
all8,0,classification,election2020,,roc_auc,0.476256,sat_h2m_all8_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_election2020_pl_10shot_01_08_2026_13_32_49/data/metrics_test_step0.json
all8,0,classification,twibot20,,roc_auc,0.5117863055555556,sat_h2m_all8_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_twibot20_pl_10shot_01_08_2026_13_37_36/data/metrics_test_step0.json
all8,0,classification,ukr_rus_suspended,,roc_auc,0.5101600000000001,sat_h2m_all8_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_19/data/metrics_test_step0.json
all8,100,classification,covid_political,,roc_auc,0.6073449305555556,sat_h2m_all8_s000100,sat_h2m_all8_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000100_to_covid_political_pl_10shot_01_08_2026_13_29_54/data/metrics_test_step0.json
all8,100,classification,election2020,,roc_auc,0.51334,sat_h2m_all8_s000100,sat_h2m_all8_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000100_to_election2020_pl_10shot_01_08_2026_13_32_49/data/metrics_test_step0.json
all8,100,classification,twibot20,,roc_auc,0.6919313194444445,sat_h2m_all8_s000100,sat_h2m_all8_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000100_to_twibot20_pl_10shot_01_08_2026_13_37_50/data/metrics_test_step0.json
all8,100,classification,ukr_rus_suspended,,roc_auc,0.491814,sat_h2m_all8_s000100,sat_h2m_all8_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000100_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_30/data/metrics_test_step0.json
all8,500,classification,covid_political,,roc_auc,0.8738213194444444,sat_h2m_all8_s000500,sat_h2m_all8_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000500_to_covid_political_pl_10shot_01_08_2026_13_29_54/data/metrics_test_step0.json
all8,500,classification,election2020,,roc_auc,0.984032,sat_h2m_all8_s000500,sat_h2m_all8_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000500_to_election2020_pl_10shot_01_08_2026_13_33_10/data/metrics_test_step0.json
all8,500,classification,twibot20,,roc_auc,0.6935431666666667,sat_h2m_all8_s000500,sat_h2m_all8_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000500_to_twibot20_pl_10shot_01_08_2026_13_37_51/data/metrics_test_step0.json
all8,500,classification,ukr_rus_suspended,,roc_auc,0.490314,sat_h2m_all8_s000500,sat_h2m_all8_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000500_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_41/data/metrics_test_step0.json
all8,1000,classification,covid_political,,roc_auc,0.9140574027777777,sat_h2m_all8_s001000,sat_h2m_all8_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s001000_to_covid_political_pl_10shot_01_08_2026_13_30_16/data/metrics_test_step0.json
all8,1000,classification,election2020,,roc_auc,0.984252,sat_h2m_all8_s001000,sat_h2m_all8_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s001000_to_election2020_pl_10shot_01_08_2026_13_33_14/data/metrics_test_step0.json
all8,1000,classification,twibot20,,roc_auc,0.6388082222222221,sat_h2m_all8_s001000,sat_h2m_all8_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s001000_to_twibot20_pl_10shot_01_08_2026_13_38_04/data/metrics_test_step0.json
all8,1000,classification,ukr_rus_suspended,,roc_auc,0.517564,sat_h2m_all8_s001000,sat_h2m_all8_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s001000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_41/data/metrics_test_step0.json
all8,2000,classification,covid_political,,roc_auc,0.9247147499999999,sat_h2m_all8_s002000,sat_h2m_all8_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s002000_to_covid_political_pl_10shot_01_08_2026_13_30_16/data/metrics_test_step0.json
